"subset","gene","FAP_status","n_cells","detection_rate","mean_log_expression","median_log_expression"
"all_fibroblast_including_normal","CDKN2A","FAP-",2437,0.0709889208042675,0.0645165156976966,0
"all_fibroblast_including_normal","CDKN2A","FAP+",1025,0.188292682926829,0.140318661262936,0
"all_fibroblast_including_normal","CDKN2B","FAP-",2437,0.132950348789495,0.11919812872342,0
"all_fibroblast_including_normal","CDKN2B","FAP+",1025,0.239024390243902,0.165092176064118,0
"all_fibroblast_including_normal","CDKN1A","FAP-",2437,0.616331555190808,0.978766609170435,0.981559005032685
"all_fibroblast_including_normal","CDKN1A","FAP+",1025,0.677073170731707,0.754074529337018,0.711515174967594
"all_fibroblast_including_normal","LMNB1","FAP-",2437,0.0155929421419778,0.0134405841785354,0
"all_fibroblast_including_normal","LMNB1","FAP+",1025,0.064390243902439,0.0337218341131041,0
"all_fibroblast_including_normal","MKI67","FAP-",2437,0.00738613048830529,0.0068633953939176,0
"all_fibroblast_including_normal","MKI67","FAP+",1025,0.0409756097560976,0.0350744654186597,0
"all_fibroblast_including_normal","IL6","FAP-",2437,0.190398030365203,0.295867315529408,0
"all_fibroblast_including_normal","IL6","FAP+",1025,0.300487804878049,0.449379089035659,0
"all_fibroblast_including_normal","CXCL8","FAP-",2437,0.217070168239639,0.422118994179124,0
"all_fibroblast_including_normal","CXCL8","FAP+",1025,0.668292682926829,1.20450566145518,0.843808382164073
"tumor_fibroblast","CDKN2A","FAP-",576,0.119791666666667,0.100613008082181,0
"tumor_fibroblast","CDKN2A","FAP+",925,0.202162162162162,0.151523071634182,0
"tumor_fibroblast","CDKN2B","FAP-",576,0.154513888888889,0.13665176859908,0
"tumor_fibroblast","CDKN2B","FAP+",925,0.255135135135135,0.176260048445079,0
"tumor_fibroblast","CDKN1A","FAP-",576,0.532986111111111,0.726065592553261,0.53553036185902
"tumor_fibroblast","CDKN1A","FAP+",925,0.683243243243243,0.733629334432013,0.699660216987928
"tumor_fibroblast","LMNB1","FAP-",576,0.0347222222222222,0.0295083129456538,0
"tumor_fibroblast","LMNB1","FAP+",925,0.0713513513513514,0.0373674378010073,0
"tumor_fibroblast","MKI67","FAP-",576,0.0260416666666667,0.0254034083205447,0
"tumor_fibroblast","MKI67","FAP+",925,0.0454054054054054,0.0388662995179742,0
"tumor_fibroblast","IL6","FAP-",576,0.262152777777778,0.515135290838708,0
"tumor_fibroblast","IL6","FAP+",925,0.303783783783784,0.463281064448569,0
"tumor_fibroblast","CXCL8","FAP-",576,0.555555555555556,1.18540935333965,0.688093969777435
"tumor_fibroblast","CXCL8","FAP+",925,0.727567567567568,1.31991778505495,0.979113745970707
"normal_fibroblast","CDKN2A","FAP-",1861,0.0558839333691564,0.0533442536807901,0
"normal_fibroblast","CDKN2A","FAP+",100,0.06,0.0366778653289137,0
"normal_fibroblast","CDKN2B","FAP-",1861,0.126276195593767,0.113796034919884,0
"normal_fibroblast","CDKN2B","FAP+",100,0.09,0.0617893565402301,0
"normal_fibroblast","CDKN1A","FAP-",1861,0.642127888232133,1.05698035746248,1.13985095163261
"normal_fibroblast","CDKN1A","FAP+",100,0.62,0.943192582208312,0.984066403075042
"normal_fibroblast","LMNB1","FAP-",1861,0.00967221923696937,0.00846744512971215,0
"normal_fibroblast","LMNB1","FAP+",100,0,0,0
"normal_fibroblast","MKI67","FAP-",1861,0.0016120365394949,0.00112505716407492,0
"normal_fibroblast","MKI67","FAP+",100,0,0,0
"normal_fibroblast","IL6","FAP-",1861,0.168189145620634,0.228001461806594,0
"normal_fibroblast","IL6","FAP+",100,0.27,0.320785816466247,0
"normal_fibroblast","CXCL8","FAP-",1861,0.112305212251478,0.18587221993062,0
"normal_fibroblast","CXCL8","FAP+",100,0.12,0.136943518157367,0
