"signature","draw","mean_patient_difference","median_patient_difference","concordant_patients"
"SenMayo_nonoverlap",1,0.164576572174789,0.173505082307179,21
"SenMayo_nonoverlap",2,0.252275143170718,0.234781561137048,22
"SenMayo_nonoverlap",3,0.167030339087129,0.159036791312683,22
"SenMayo_nonoverlap",4,0.136429640186973,0.143590696640156,22
"SenMayo_nonoverlap",5,0.146811371281824,0.134729337104943,23
"SenMayo_nonoverlap",6,0.220795805288381,0.221338292857897,23
"SenMayo_nonoverlap",7,0.215155566431265,0.204293825705654,23
"SenMayo_nonoverlap",8,0.255530941434743,0.238276136303801,23
"SenMayo_nonoverlap",9,0.274973149472143,0.265288642767164,22
"SenMayo_nonoverlap",10,0.220355531636971,0.204065198299817,23
"SenMayo_nonoverlap",11,0.303571879574216,0.289905693735326,23
"SenMayo_nonoverlap",12,0.126805609777544,0.130290170671377,21
"SenMayo_nonoverlap",13,0.13844998419889,0.125992112148669,22
"SenMayo_nonoverlap",14,0.18272459304484,0.185232736606965,23
"SenMayo_nonoverlap",15,0.195350921499039,0.197118264862595,22
"SenMayo_nonoverlap",16,0.230461897469824,0.215562212011459,22
"SenMayo_nonoverlap",17,0.339933917731444,0.3600172528408,23
"SenMayo_nonoverlap",18,0.226666637352121,0.206226673638694,23
"SenMayo_nonoverlap",19,0.303290423652778,0.289800915765605,23
"SenMayo_nonoverlap",20,0.192171399990107,0.182421857803057,22
"SenMayo_nonoverlap",21,0.213086435731379,0.206299576390298,23
"SenMayo_nonoverlap",22,0.0812832748041435,0.0776696833802512,21
"SenMayo_nonoverlap",23,0.249039490521209,0.224757788897109,23
"SenMayo_nonoverlap",24,0.223016699238697,0.231607564572057,23
"SenMayo_nonoverlap",25,0.308246089134741,0.323962895428519,23
"SenMayo_nonoverlap",26,0.284486282420738,0.27214165137454,23
"SenMayo_nonoverlap",27,0.244676296647811,0.233775777704478,23
"SenMayo_nonoverlap",28,0.347111827436054,0.325327071257784,23
"SenMayo_nonoverlap",29,0.188113818346851,0.174146687099721,22
"SenMayo_nonoverlap",30,0.311865723768791,0.313020779935776,23
"SenMayo_nonoverlap",31,0.281686762169374,0.267846983351179,23
"SenMayo_nonoverlap",32,0.252135229348532,0.266242435931325,23
"SenMayo_nonoverlap",33,0.239709391584635,0.267560129042249,23
"SenMayo_nonoverlap",34,0.208182228189598,0.209957928582285,22
"SenMayo_nonoverlap",35,0.245692080527901,0.260159111308009,23
"SenMayo_nonoverlap",36,0.233534940367831,0.230407282466753,23
"SenMayo_nonoverlap",37,0.241666849360299,0.250997316880654,23
"SenMayo_nonoverlap",38,0.201389764183282,0.193899950164422,23
"SenMayo_nonoverlap",39,0.21185694436136,0.223817130711428,23
"SenMayo_nonoverlap",40,0.299773891395441,0.298586700350815,23
"SenMayo_nonoverlap",41,0.173123820262549,0.177116824996328,22
"SenMayo_nonoverlap",42,0.241773878985734,0.260259659460287,23
"SenMayo_nonoverlap",43,0.283794168941144,0.277670166208868,23
"SenMayo_nonoverlap",44,0.242378469347766,0.240192074200576,23
"SenMayo_nonoverlap",45,0.214324433710732,0.213162416706351,23
"SenMayo_nonoverlap",46,0.215084053324137,0.199611198573492,23
"SenMayo_nonoverlap",47,0.253539164222074,0.254346849702079,23
"SenMayo_nonoverlap",48,0.25936417723055,0.250438771034553,23
"SenMayo_nonoverlap",49,0.187965066921961,0.183508884902254,23
"SenMayo_nonoverlap",50,0.217538989554066,0.236368997979938,22
"SenMayo_nonoverlap",51,0.170966866983939,0.165510554547774,23
"SenMayo_nonoverlap",52,0.184481362708743,0.195017174609112,22
"SenMayo_nonoverlap",53,0.203401458573524,0.190822704650713,23
"SenMayo_nonoverlap",54,0.254927168859799,0.253917720620194,23
"SenMayo_nonoverlap",55,0.17955212364204,0.175828549069899,22
"SenMayo_nonoverlap",56,0.18464957040848,0.184150343165476,22
"SenMayo_nonoverlap",57,0.273781651618936,0.273447933811558,23
"SenMayo_nonoverlap",58,0.190707202432211,0.180550565293996,23
"SenMayo_nonoverlap",59,0.190756875230582,0.183213680775093,22
"SenMayo_nonoverlap",60,0.256519819651639,0.284059871661819,22
"SenMayo_nonoverlap",61,0.289263383289921,0.264450928879506,23
"SenMayo_nonoverlap",62,0.194118253756427,0.189325907097446,22
"SenMayo_nonoverlap",63,0.167212390682024,0.160379313402921,23
"SenMayo_nonoverlap",64,0.164813862620687,0.180879294642611,22
"SenMayo_nonoverlap",65,0.138003191075318,0.14553880387616,22
"SenMayo_nonoverlap",66,0.231649240066938,0.218776477232637,23
"SenMayo_nonoverlap",67,0.283815120017229,0.275940216273257,23
"SenMayo_nonoverlap",68,0.215793040407161,0.208181344620486,23
"SenMayo_nonoverlap",69,0.207991138909005,0.207534363591888,22
"SenMayo_nonoverlap",70,0.139594555011692,0.13237827399444,23
"SenMayo_nonoverlap",71,0.242694768025294,0.225512054591659,23
"SenMayo_nonoverlap",72,0.256161811628312,0.26291224439168,23
"SenMayo_nonoverlap",73,0.155057460430338,0.160039926697251,22
"SenMayo_nonoverlap",74,0.169584097137973,0.1819671509983,23
"SenMayo_nonoverlap",75,0.187202186217176,0.184877407899323,22
"SenMayo_nonoverlap",76,0.253332625757421,0.25846648737223,23
"SenMayo_nonoverlap",77,0.258242550776535,0.252318776320924,23
"SenMayo_nonoverlap",78,0.229704000205976,0.229202886608823,23
"SenMayo_nonoverlap",79,0.201816153148744,0.186511864497852,23
"SenMayo_nonoverlap",80,0.308443458685199,0.336197542434309,23
"SenMayo_nonoverlap",81,0.303199275384416,0.303569444080762,23
"SenMayo_nonoverlap",82,0.210901386043951,0.20311561380816,23
"SenMayo_nonoverlap",83,0.227491335461437,0.224244847994256,23
"SenMayo_nonoverlap",84,0.17264631424219,0.165883824583315,22
"SenMayo_nonoverlap",85,0.238666280908393,0.22861676181653,23
"SenMayo_nonoverlap",86,0.236844175344208,0.227973510606313,23
"SenMayo_nonoverlap",87,0.192609136861784,0.183189960190764,23
"SenMayo_nonoverlap",88,0.140012898039706,0.11736697991809,22
"SenMayo_nonoverlap",89,0.261829665383255,0.273362469862503,23
"SenMayo_nonoverlap",90,0.231064854666328,0.206731539245823,23
"SenMayo_nonoverlap",91,0.273540089463489,0.278228286498644,23
"SenMayo_nonoverlap",92,0.291012888328347,0.275084983730292,23
"SenMayo_nonoverlap",93,0.209321787331457,0.20712269549364,23
"SenMayo_nonoverlap",94,0.2615285382082,0.245105279397301,23
"SenMayo_nonoverlap",95,0.190757120341013,0.188736106689821,23
"SenMayo_nonoverlap",96,0.148861271442303,0.160462662171395,23
"SenMayo_nonoverlap",97,0.247751956494068,0.237343052241053,23
"SenMayo_nonoverlap",98,0.142357661003448,0.138863028015039,22
"SenMayo_nonoverlap",99,0.206815450772109,0.227150591833137,23
"SenMayo_nonoverlap",100,0.234131387809827,0.222559275392442,23
"SenMayo_nonoverlap",101,0.212703481242912,0.238230882145446,23
"SenMayo_nonoverlap",102,0.220882662075608,0.200250936789821,23
"SenMayo_nonoverlap",103,0.258171536347718,0.272299768471764,23
"SenMayo_nonoverlap",104,0.26312707829179,0.247582860338336,23
"SenMayo_nonoverlap",105,0.167108197183338,0.142428126467309,23
"SenMayo_nonoverlap",106,0.186233166035213,0.196282203116072,23
"SenMayo_nonoverlap",107,0.162230880145351,0.166214827777757,22
"SenMayo_nonoverlap",108,0.21373263530992,0.20404092933962,23
"SenMayo_nonoverlap",109,0.173525744863378,0.18810748094559,22
"SenMayo_nonoverlap",110,0.239802523446538,0.234073113607452,23
"SenMayo_nonoverlap",111,0.126045539444751,0.127471633622236,22
"SenMayo_nonoverlap",112,0.155224866559055,0.141054647064582,23
"SenMayo_nonoverlap",113,0.232564793162947,0.212736080549409,23
"SenMayo_nonoverlap",114,0.257726906739371,0.270405625163292,23
"SenMayo_nonoverlap",115,0.221999431262909,0.210897026804964,23
"SenMayo_nonoverlap",116,0.294250351093674,0.303867215309374,23
"SenMayo_nonoverlap",117,0.20297428516992,0.17796931958521,23
"SenMayo_nonoverlap",118,0.208345573957592,0.203817699219856,23
"SenMayo_nonoverlap",119,0.207181229300692,0.208673134218451,23
"SenMayo_nonoverlap",120,0.216541375825246,0.186890532178638,23
"SenMayo_nonoverlap",121,0.184283352924678,0.165431704863513,22
"SenMayo_nonoverlap",122,0.349399796759559,0.327838616302893,23
"SenMayo_nonoverlap",123,0.251689112305022,0.2626827237948,22
"SenMayo_nonoverlap",124,0.203399748999427,0.193689000272549,23
"SenMayo_nonoverlap",125,0.299815527699462,0.290254100889436,23
"SenMayo_nonoverlap",126,0.168344429284879,0.169003497556561,22
"SenMayo_nonoverlap",127,0.196416072563858,0.182256273021655,23
"SenMayo_nonoverlap",128,0.254030259417262,0.242377405035685,23
"SenMayo_nonoverlap",129,0.183412073309579,0.170742982340817,23
"SenMayo_nonoverlap",130,0.18845057027503,0.188305885230232,23
"SenMayo_nonoverlap",131,0.228696224151525,0.212635686511469,23
"SenMayo_nonoverlap",132,0.091317169309385,0.110641185057311,19
"SenMayo_nonoverlap",133,0.272849068053589,0.287881507601324,23
"SenMayo_nonoverlap",134,0.115053937640922,0.124882096644581,21
"SenMayo_nonoverlap",135,0.279533344205718,0.266486730792321,23
"SenMayo_nonoverlap",136,0.23993329341057,0.247017859378182,23
"SenMayo_nonoverlap",137,0.183975678622589,0.181984999814956,23
"SenMayo_nonoverlap",138,0.226961827364361,0.237600461221535,23
"SenMayo_nonoverlap",139,0.220253872335833,0.219205852853631,23
"SenMayo_nonoverlap",140,0.168949708972543,0.157619042473285,22
"SenMayo_nonoverlap",141,0.330128943202595,0.333829763006433,23
"SenMayo_nonoverlap",142,0.247932717920487,0.237287169794177,23
"SenMayo_nonoverlap",143,0.259453702509701,0.27767562690538,23
"SenMayo_nonoverlap",144,0.294856909396535,0.282199675536548,23
"SenMayo_nonoverlap",145,0.218235980583689,0.209138373393418,23
"SenMayo_nonoverlap",146,0.0796492505199387,0.0790582359303568,18
"SenMayo_nonoverlap",147,0.269272223536275,0.270003176445811,23
"SenMayo_nonoverlap",148,0.355388012508822,0.376646860903491,23
"SenMayo_nonoverlap",149,0.241692001939391,0.246710335911049,23
"SenMayo_nonoverlap",150,0.271237148413953,0.274402563873544,23
"SenMayo_nonoverlap",151,0.194713771408424,0.193056755764658,22
"SenMayo_nonoverlap",152,0.121079438820636,0.114355963581684,23
"SenMayo_nonoverlap",153,0.0559113980161915,0.049679703518221,18
"SenMayo_nonoverlap",154,0.191312667771786,0.17416378171552,23
"SenMayo_nonoverlap",155,0.268309663008406,0.252333415598317,23
