"ligand","receptor","immune_compartment","n","rho","p_value","q_value_BH"
"CCL2","CCR2","T_cells",22,0.110262974352193,0.625206765118718,0.863069438519236
"CCL2","CCR2","Myeloid",22,-0.254718195633231,0.252627793526763,0.863069438519236
"CXCL8","CXCR1","T_cells",22,-0.156093590879551,0.487884341280173,0.863069438519236
"CXCL8","CXCR1","Myeloid",22,0.101218481457945,0.654010022675336,0.863069438519236
"CXCL8","CXCR2","T_cells",22,0.1422527798656,0.527712429958049,0.863069438519236
"CXCL8","CXCR2","Myeloid",22,0.248257275396881,0.265273812973771,0.863069438519236
"IL6","IL6R","T_cells",22,0.0859675435904737,0.703654427591458,0.863069438519236
"IL6","IL6R","Myeloid",22,-0.102342313798183,0.650404004235336,0.863069438519236
"IL6","IL6ST","Myeloid",22,-0.00994182476896635,0.964975981608807,0.964975981608807
"IL6","IL6ST","T_cells",22,0.435685850169408,0.0426815899193776,0.597542258871287
"TGFB1","TGFBR1","T_cells",22,0.0367024280067758,0.871183799731393,0.93819793817227
"TGFB1","TGFBR1","Myeloid",22,0.250141163184641,0.261545678965944,0.863069438519236
"TGFB1","TGFBR2","Myeloid",22,-0.075098814229249,0.739773804445059,0.863069438519236
"TGFB1","TGFBR2","T_cells",22,0.219649915302089,0.326013251116519,0.863069438519236
