file,old_exists,new_exists,old_bytes,new_bytes,old_sha256,new_sha256,byte_identical,table_status,old_nrow,old_ncol,new_nrow,new_ncol,numeric_diff_cells,character_diff_cells,max_abs_numeric_diff,differing_columns,read_error
CPTAC_protein/cptac_cldn_by_fap_group.csv,TRUE,TRUE,224,224,6d343c27b586e11f84a9f5e4076d674f694fbb0ea6549982b92440876b2c935c,6d343c27b586e11f84a9f5e4076d674f694fbb0ea6549982b92440876b2c935c,TRUE,identical_values,2,8,2,8,0,0,0,"",""
CPTAC_protein/cptac_manifest.csv,TRUE,TRUE,201,201,20031b486fe764bcef396b7e2c0359264f9cd927eb7d6cbc18df9305b21fc938,a668b899b516b93e40d4952a1b738a5f2df4364043188b0eb8672619159759d5,FALSE,values_changed,5,2,5,2,0,1,0,value,""
CPTAC_protein/cptac_prespecified_correlations.csv,TRUE,TRUE,491,491,c6113772e7b57a010b62ae36c20b8b02c731b95e6c32d0f23cc2997dd3340f83,c6113772e7b57a010b62ae36c20b8b02c731b95e6c32d0f23cc2997dd3340f83,TRUE,identical_values,6,6,6,6,0,0,0,"",""
CPTAC_protein/cptac_protein_availability.csv,TRUE,TRUE,83,83,ed5aba0c029789ca21c9e87e523e24c1504fe5e9f48d7910f1bdb8a0bb0174d4,ed5aba0c029789ca21c9e87e523e24c1504fe5e9f48d7910f1bdb8a0bb0174d4,TRUE,identical_values,7,2,7,2,0,0,0,"",""
CPTAC_protein/cptac_selected_proteins_wide.csv,TRUE,TRUE,4796,4796,bf07e5279876d5dc3fc05d0b100a503536d34fbdec102a3fd9552fc8ec31995b,bf07e5279876d5dc3fc05d0b100a503536d34fbdec102a3fd9552fc8ec31995b,TRUE,identical_values,97,8,97,8,0,0,0,"",""
CPTAC_protein/sessionInfo.txt,TRUE,TRUE,695,695,eb463ffd67761b64d007e7be3b3fc98826ba48c08f6d47b8751ed10e88946d1d,9378a390d744310feb775dfe5df3823e1603486916939256a0b71f4f6f54f19c,FALSE,not_tabular,,,,,,,,,
L0_TCGA/cms_classifier_results.csv,TRUE,TRUE,33025,33025,487cb7124cd6eb9e1eb56fc1394eff5954ca72146467a85c5e9a61244814a7ac,487cb7124cd6eb9e1eb56fc1394eff5954ca72146467a85c5e9a61244814a7ac,TRUE,identical_values,383,7,383,7,0,0,0,"",""
L0_TCGA/cms_kruskal_wallis.csv,TRUE,TRUE,131,131,485745067e10043374a1f9837bddfc243b49c9eaa83cb757a049d5b165b8768a,485745067e10043374a1f9837bddfc243b49c9eaa83cb757a049d5b165b8768a,TRUE,identical_values,2,5,2,5,0,0,0,"",""
L0_TCGA/cms_label_agreement.csv,TRUE,TRUE,70,70,9fa78d65b51a02d171605954b0df8442554696c1881461cb1067bf8410ea98b0,9fa78d65b51a02d171605954b0df8442554696c1881461cb1067bf8410ea98b0,TRUE,identical_values,1,3,1,3,0,0,0,"",""
L0_TCGA/cms_pairwise_bonferroni.csv,TRUE,TRUE,532,532,0903f749fb0039872f2472cfa86a2c45cf23ff35b02eed63845d08f743fadd90,0903f749fb0039872f2472cfa86a2c45cf23ff35b02eed63845d08f743fadd90,TRUE,identical_values,18,4,18,4,0,0,0,"",""
L0_TCGA/cms_score_summary.csv,TRUE,TRUE,583,583,bf297b60df393c9f90f413be7b296a98c8fead8e2f7a4a2a548a012901ba1dbc,bf297b60df393c9f90f413be7b296a98c8fead8e2f7a4a2a548a012901ba1dbc,TRUE,identical_values,8,6,8,6,0,0,0,"",""
L0_TCGA/msi_label_agreement.csv,TRUE,TRUE,26,26,52e2366b9511e0900ff93396a0a39c398f6ce09043e9d8be4db0172c0177ce26,52e2366b9511e0900ff93396a0a39c398f6ce09043e9d8be4db0172c0177ce26,TRUE,identical_values,1,2,1,2,0,0,0,"",""
L0_TCGA/msi_matched_scores.csv,TRUE,TRUE,39339,39339,d878220ede8b861e77109d96c579add3234358ba62ad4d488d38567835b4a157,d878220ede8b861e77109d96c579add3234358ba62ad4d488d38567835b4a157,TRUE,identical_values,383,9,383,9,0,0,0,"",""
L0_TCGA/msi_score_comparisons.csv,TRUE,TRUE,374,374,dbe242cf27d10d989c95d4709caccce8c88fb736b4e83beb06d096a9884438cf,dbe242cf27d10d989c95d4709caccce8c88fb736b4e83beb06d096a9884438cf,TRUE,identical_values,3,8,3,8,0,0,0,"",""
L0_TCGA/score_correlations.csv,TRUE,TRUE,368,368,748c7b83e72cfb45e39d214ff3e6bc7bb0737a4d5f13581904b754ec9ecbbc6c,748c7b83e72cfb45e39d214ff3e6bc7bb0737a4d5f13581904b754ec9ecbbc6c,TRUE,identical_values,3,6,3,6,0,0,0,"",""
L0_TCGA/sessionInfo.txt,TRUE,TRUE,1432,1432,da88437e934f88e5a22d340ee800fac486610ccbe94f7fbaa67a5f148ae1649c,36cc5f2875a2064f066f23c6be845cbf3d844ff64dc7aedfb7347f043353867b,FALSE,not_tabular,,,,,,,,,
L0_TCGA/tcga_recomputed_scores.csv,TRUE,TRUE,40019,40019,f770ebec896925964b691a563c340aab94d19d48b860d5e8097653c101bd1ccf,f770ebec896925964b691a563c340aab94d19d48b860d5e8097653c101bd1ccf,TRUE,identical_values,434,6,434,6,0,0,0,"",""
L0_TCGA/tcga_sample_manifest.csv,TRUE,TRUE,17488,17488,d2da3451c3c6a203ea7d7b7bb50b7884fcbc381c148eafeb3f2983bb3b90e1e0,d2da3451c3c6a203ea7d7b7bb50b7884fcbc381c148eafeb3f2983bb3b90e1e0,TRUE,identical_values,434,4,434,4,0,0,0,"",""
L0_TCGA/tcga_sample_type_counts.csv,TRUE,TRUE,175,175,a48d3dea8b1dfae5b09405e0c5b3f0897c1054a55a74fbd59c2de26b40895fa1,a48d3dea8b1dfae5b09405e0c5b3f0897c1054a55a74fbd59c2de26b40895fa1,TRUE,identical_values,8,3,8,3,0,0,0,"",""
L0_TCGA/tumor_normal_gene_comparisons.csv,TRUE,TRUE,309,309,d718adf561806327c5a90cc071e85436b3dbca4e2b61f2387e75d04a8d74ea15,d718adf561806327c5a90cc071e85436b3dbca4e2b61f2387e75d04a8d74ea15,TRUE,identical_values,4,8,4,8,0,0,0,"",""
L0_TCGA_primary_sensitivity/cms_kruskal_wallis.csv,TRUE,TRUE,69,69,432965bd517e0b50532973c6f8feb5966e539ebef5e6787e58adfbb89665ed0a,432965bd517e0b50532973c6f8feb5966e539ebef5e6787e58adfbb89665ed0a,TRUE,identical_values,1,4,1,4,0,0,0,"",""
L0_TCGA_primary_sensitivity/cms_score_summary.csv,TRUE,TRUE,283,283,f1e9c2ce0c8fc96411dc17d640a1130a0a2946b30a0f8351343bbf4a0c0de925,f1e9c2ce0c8fc96411dc17d640a1130a0a2946b30a0f8351343bbf4a0c0de925,TRUE,identical_values,4,5,4,5,0,0,0,"",""
