cited_doi,reference_number,cited_reference,cited_first_author,resolved_doi,doi_exact_match,authoritative_title,title_present_in_citation,authoritative_first_author,journal,year,volume,issue,pages_or_article,authors,crossref_url,issue.date.parts.2017L,issue.date.parts.11L,issue.date.parts.13L,first_author_match,pmid,pmcid,status,verification_status
10.3322/caac.21834,1,"1. Bray F, Laversanne M, Sung H, Ferlay J, Siegel RL, Soerjomataram I, et al. Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries. CA Cancer J Clin. 2024;74:229–263. doi:10.3322/caac.21834",Bray,10.3322/caac.21834,TRUE,Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,TRUE,Bray,CA: A Cancer Journal for Clinicians,2024,74,3,229-263,Freddie Bray; Mathieu Laversanne; Hyuna Sung; Jacques Ferlay; Rebecca L. Siegel; Isabelle Soerjomataram; Ahmedin Jemal,https://doi.org/10.3322/caac.21834,,,,TRUE,,,error,verified_doi_title_first_author
10.1038/nature11252,2,2. Cancer Genome Atlas Network. Comprehensive molecular characterization of human colon and rectal cancer. Nature. 2012;487:330–337. doi:10.1038/nature11252,Cancer,10.1038/nature11252,TRUE,Comprehensive molecular characterization of human colon and rectal cancer,TRUE,,Nature,2012,487,7407,330-337,"",https://doi.org/10.1038/nature11252,,,,,22810696,PMC3401966,,verified_doi_metadata_review_needed
10.1038/nm.3967,3,"3. Guinney J, Dienstmann R, Wang X, de Reynies A, Schlicker A, Soneson C, et al. The consensus molecular subtypes of colorectal cancer. Nat Med. 2015;21:1350–1356. doi:10.1038/nm.3967",Guinney,10.1038/nm.3967,TRUE,The consensus molecular subtypes of colorectal cancer,TRUE,Guinney,Nature Medicine,2015,21,11,1350-1356,Justin Guinney; Rodrigo Dienstmann; Xin Wang; Aurélien de Reyniès; Andreas Schlicker; Charlotte Soneson; Laetitia Marisa; Paul Roepman; Gift Nyamundanda; Paolo Angelino; Brian M Bot; Jeffrey S Morris; Iris M Simon; Sarah Gerster; Evelyn Fessler; Felipe De Sousa E Melo; Edoardo Missiaglia; Hena Ramay; David Barras; Krisztian Homicsko; Dipen Maru; Ganiraju C Manyam; Bradley Broom; Valerie Boige; Beatriz Perez-Villamil; Ted Laderas; Ramon Salazar; Joe W Gray; Douglas Hanahan; Josep Tabernero; Rene Bernards; Stephen H Friend; Pierre Laurent-Puig; Jan Paul Medema; Anguraj Sadanandam; Lodewyk Wessels; Mauro Delorenzi; Scott Kopetz; Louis Vermeulen; Sabine Tejpar,https://doi.org/10.1038/nm.3967,,,,TRUE,26457759,PMC4636487,,verified_doi_title_first_author
10.1038/s41568-019-0238-1,4,"4. Sahai E, Astsaturov I, Cukierman E, DeNardo DG, Egeblad M, Evans RM, et al. A framework for advancing our understanding of cancer-associated fibroblasts. Nat Rev Cancer. 2020;20:174–186. doi:10.1038/s41568-019-0238-1",Sahai,10.1038/s41568-019-0238-1,TRUE,A framework for advancing our understanding of cancer-associated fibroblasts,TRUE,Sahai,Nature Reviews Cancer,2020,20,3,174-186,Erik Sahai; Igor Astsaturov; Edna Cukierman; David G. DeNardo; Mikala Egeblad; Ronald M. Evans; Douglas Fearon; Florian R. Greten; Sunil R. Hingorani; Tony Hunter; Richard O. Hynes; Rakesh K. Jain; Tobias Janowitz; Claus Jorgensen; Alec C. Kimmelman; Mikhail G. Kolonin; Robert G. Maki; R. Scott Powers; Ellen Puré; Daniel C. Ramirez; Ruth Scherz-Shouval; Mara H. Sherman; Sheila Stewart; Thea D. Tlsty; David A. Tuveson; Fiona M. Watt; Valerie Weaver; Ashani T. Weeraratna; Zena Werb,https://doi.org/10.1038/s41568-019-0238-1,,,,TRUE,31980749,PMC7046529,,verified_doi_title_first_author
10.1038/s41388-018-0275-3,5,"5. Pure E, Blomberg R. Pro-tumorigenic roles of fibroblast activation protein in cancer: back to the basics. Oncogene. 2018;37:4343–4357. doi:10.1038/s41388-018-0275-3",Pure,10.1038/s41388-018-0275-3,TRUE,Pro-tumorigenic roles of fibroblast activation protein in cancer: back to the basics,TRUE,Puré,Oncogene,2018,37,32,4343-4357,Ellen Puré; Rachel Blomberg,https://doi.org/10.1038/s41388-018-0275-3,,,,TRUE,29720723,PMC6092565,,verified_doi_title_first_author
10.1038/s41467-022-29366-6,6,"6. Qi J, Sun H, Zhang Y, Wang Z, Xun Z, Li Z, et al. Single-cell and spatial analysis reveal interaction of FAP-positive fibroblasts and SPP1-positive macrophages in colorectal cancer. Nat Commun. 2022;13:1742. doi:10.1038/s41467-022-29366-6",Qi,10.1038/s41467-022-29366-6,TRUE,Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer,FALSE,Qi,Nature Communications,2022,13,1,1742,Jingjing Qi; Hongxiang Sun; Yao Zhang; Zhengting Wang; Zhenzhen Xun; Ziyi Li; Xinyu Ding; Rujuan Bao; Liwen Hong; Wenqing Jia; Fei Fang; Hongzhi Liu; Lei Chen; Jie Zhong; Duowu Zou; Lianxin Liu; Leng Han; Florent Ginhoux; Yingbin Liu; Youqiong Ye; Bing Su,https://doi.org/10.1038/s41467-022-29366-6,,,,TRUE,35365629,PMC8976074,,verified_doi_metadata_review_needed
10.1038/35067088,7,"7. Tsukita S, Furuse M, Itoh M. Multifunctional strands in tight junctions. Nat Rev Mol Cell Biol. 2001;2:285–293. doi:10.1038/35067088",Tsukita,10.1038/35067088,TRUE,Multifunctional strands in tight junctions,TRUE,Tsukita,Nature Reviews Molecular Cell Biology,2001,2,4,285-293,Shoichiro Tsukita; Mikio Furuse; Masahiko Itoh,https://doi.org/10.1038/35067088,,,,TRUE,,,error,verified_doi_title_first_author
10.1038/nrm.2016.80,8,"8. Zihni C, Mills C, Matter K, Balda MS. Tight junctions: from simple barriers to multifunctional molecular gates. Nat Rev Mol Cell Biol. 2016;17:564–580. doi:10.1038/nrm.2016.80",Zihni,10.1038/nrm.2016.80,TRUE,Tight junctions: from simple barriers to multifunctional molecular gates,TRUE,Zihni,Nature Reviews Molecular Cell Biology,2016,17,9,564-580,Ceniz Zihni; Clare Mills; Karl Matter; Maria S. Balda,https://doi.org/10.1038/nrm.2016.80,,,,TRUE,,,error,verified_doi_title_first_author
10.1172/jci24543,9,"9. Dhawan P, Singh AB, Deane NG, No Y, Shiou SR, Schmidt C, et al. Claudin-1 regulates cellular transformation and metastatic behavior in colon cancer. J Clin Invest. 2005;115:1765–1776. doi:10.1172/jci24543",Dhawan,10.1172/jci24543,TRUE,Claudin-1 regulates cellular transformation and metastatic behavior in colon cancer,TRUE,Dhawan,Journal of Clinical Investigation,2005,115,7,1765-1776,P. Dhawan,https://doi.org/10.1172/jci24543,,,,TRUE,15965503,PMC1150288,,verified_doi_title_first_author
10.3390/biom14030272,10,"10. Cox KE, Liu S, Hoffman RM, Batra SK, Dhawan P, Bouvet M. The expression of the claudin family of proteins in colorectal cancer. Biomolecules. 2024;14:272. doi:10.3390/biom14030272",Cox,10.3390/biom14030272,TRUE,The Expression of the Claudin Family of Proteins in Colorectal Cancer,FALSE,Cox,Biomolecules,2024,14,3,272,Kristin E. Cox; Shanglei Liu; Robert M. Hoffman; Surinder K. Batra; Punita Dhawan; Michael Bouvet,https://doi.org/10.3390/biom14030272,,,,TRUE,38540693,PMC10967842,,verified_doi_metadata_review_needed
