reference_number,doi,verified,verification_source,authoritative_title,authoritative_first_author,journal,year,pmid,final_reference
1,10.3322/caac.21834,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,Bray,CA: A Cancer Journal for Clinicians,2024,,"1. Bray F, Laversanne M, Sung H, Ferlay J, Siegel RL, Soerjomataram I, et al. Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries. CA Cancer J Clin. 2024;74:229-263. doi:10.3322/caac.21834"
2,10.1038/nature11252,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Comprehensive molecular characterization of human colon and rectal cancer,,Nature,2012,22810696,2. Cancer Genome Atlas Network. Comprehensive molecular characterization of human colon and rectal cancer. Nature. 2012;487:330-337. doi:10.1038/nature11252
3,10.1038/nm.3967,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",The consensus molecular subtypes of colorectal cancer,Guinney,Nature Medicine,2015,26457759,"3. Guinney J, Dienstmann R, Wang X, de Reynies A, Schlicker A, Soneson C, et al. The consensus molecular subtypes of colorectal cancer. Nat Med. 2015;21:1350-1356. doi:10.1038/nm.3967"
4,10.1038/s41568-019-0238-1,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",A framework for advancing our understanding of cancer-associated fibroblasts,Sahai,Nature Reviews Cancer,2020,31980749,"4. Sahai E, Astsaturov I, Cukierman E, DeNardo DG, Egeblad M, Evans RM, et al. A framework for advancing our understanding of cancer-associated fibroblasts. Nat Rev Cancer. 2020;20:174-186. doi:10.1038/s41568-019-0238-1"
5,10.1186/s13059-022-02677-z,True,"PubMed live verification, 2026-07-19",Refining colorectal cancer classification and clinical stratification through a single-cell atlas.,Khaliq,Genome Biol,2022,35538548,"5. Khaliq AM, Erdogan C, Kurt Z, Turgut SS, Grunvald MW, Rand T, et al. Refining colorectal cancer classification and clinical stratification through a single-cell atlas. Genome Biol. 2022;23:113. doi:10.1186/s13059-022-02677-z"
6,10.1038/s41388-018-0275-3,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Pro-tumorigenic roles of fibroblast activation protein in cancer: back to the basics,Puré,Oncogene,2018,29720723,"6. Pure E, Blomberg R. Pro-tumorigenic roles of fibroblast activation protein in cancer: back to the basics. Oncogene. 2018;37:4343-4357. doi:10.1038/s41388-018-0275-3"
7,10.1038/s41467-022-29366-6,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer,Qi,Nature Communications,2022,35365629,"7. Qi J, Sun H, Zhang Y, Wang Z, Xun Z, Li Z, et al. Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer. Nat Commun. 2022;13:1742. doi:10.1038/s41467-022-29366-6"
8,10.1038/35067088,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Multifunctional strands in tight junctions,Tsukita,Nature Reviews Molecular Cell Biology,2001,,"8. Tsukita S, Furuse M, Itoh M. Multifunctional strands in tight junctions. Nat Rev Mol Cell Biol. 2001;2:285-293. doi:10.1038/35067088"
9,10.1038/nrm.2016.80,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Tight junctions: from simple barriers to multifunctional molecular gates,Zihni,Nature Reviews Molecular Cell Biology,2016,,"9. Zihni C, Mills C, Matter K, Balda MS. Tight junctions: from simple barriers to multifunctional molecular gates. Nat Rev Mol Cell Biol. 2016;17:564-580. doi:10.1038/nrm.2016.80"
10,10.1172/jci24543,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Claudin-1 regulates cellular transformation and metastatic behavior in colon cancer,Dhawan,Journal of Clinical Investigation,2005,15965503,"10. Dhawan P, Singh AB, Deane NG, No Y, Shiou SR, Schmidt C, et al. Claudin-1 regulates cellular transformation and metastatic behavior in colon cancer. J Clin Invest. 2005;115:1765-1776. doi:10.1172/jci24543"
11,10.3390/biom14030272,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",The Expression of the Claudin Family of Proteins in Colorectal Cancer,Cox,Biomolecules,2024,38540693,"11. Cox KE, Liu S, Hoffman RM, Batra SK, Dhawan P, Bouvet M. The expression of the claudin family of proteins in colorectal cancer. Biomolecules. 2024;14:272. doi:10.3390/biom14030272"
12,10.1038/s42003-021-02189-9,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Claudin-2 promotes colorectal cancer liver metastasis and is a biomarker of the replacement type growth pattern,Tabariès,Communications Biology,2021,34079064,"12. Tabaries S, Annis MG, Lazaris A, Petrillo SK, Huxham J, Abdellatif A, et al. Claudin-2 promotes colorectal cancer liver metastasis and is a biomarker of the replacement type growth pattern. Commun Biol. 2021;4:657. doi:10.1038/s42003-021-02189-9"
13,10.1016/j.canlet.2023.216479,True,"PubMed live verification, 2026-07-19",Claudin-1 interacts with EPHA2 to promote cancer stemness and chemoresistance in colorectal cancer.,Primeaux,Cancer Lett,2023,37924938,"13. Primeaux M, Liu X, Gowrikumar S, Fatima I, Fisher KW, Bastola D, et al. Claudin-1 interacts with EPHA2 to promote cancer stemness and chemoresistance in colorectal cancer. Cancer Lett. 2023;579:216479. doi:10.1016/j.canlet.2023.216479"
14,10.1016/j.celrep.2020.107924,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Interplay between Extracellular Matrix Stiffness and JAM-A Regulates Mechanical Load on ZO-1 and Tight Junction Assembly,Haas,Cell Reports,2020,32697990,"14. Haas AJ, Zihni C, Ruppel A, Hartmann C, Ebnet K, Tada M, et al. Interplay between extracellular matrix stiffness and JAM-A regulates mechanical load on ZO-1 and tight junction assembly. Cell Rep. 2020;32:107924. doi:10.1016/j.celrep.2020.107924"
15,10.3390/cancers13133322,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Syndecan-4 in Tumor Cell Motility,Keller-Pinter,Cancers,2021,34282767,"15. Keller-Pinter A, Gyulai-Nagy S, Becsky D, Dux L, Rovo L. Syndecan-4 in tumor cell motility. Cancers. 2021;13:3322. doi:10.3390/cancers13133322"
16,10.3390/ijms242115812,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",The Hyaluronan/CD44 Axis: A Double-Edged Sword in Cancer,Cirillo,International Journal of Molecular Sciences,2023,37958796,16. Cirillo N. The hyaluronan/CD44 axis: a double-edged sword in cancer. Int J Mol Sci. 2023;24:15812. doi:10.3390/ijms242115812
17,10.1038/s41587-020-0546-8,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Visualizing and interpreting cancer genomics data via the Xena platform,Goldman,Nature Biotechnology,2020,32444850,"17. Goldman MJ, Craft B, Hastie M, Repecka K, McDade F, Kamath A, et al. Visualizing and interpreting cancer genomics data via the Xena platform. Nat Biotechnol. 2020;38:675-678. doi:10.1038/s41587-020-0546-8"
18,10.1038/s41588-020-0636-z,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Lineage-dependent gene expression programs influence the immune landscape of colorectal cancer,Lee,Nature Genetics,2020,,"18. Lee HO, Hong Y, Etlioglu HE, Cho YB, Pomella V, Van den Bosch B, et al. Lineage-dependent gene expression programs influence the immune landscape of colorectal cancer. Nat Genet. 2020;52:594-603. doi:10.1038/s41588-020-0636-z"
19,10.15252/emmm.202114123,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Mitogen‐activated protein kinase activity drives cell trajectories in colorectal cancer,Uhlitz,EMBO Molecular Medicine,2021,34409732,"19. Uhlitz F, Bischoff P, Peidli S, Sieber A, Trinks A, Luthen M, et al. Mitogen-activated protein kinase activity drives cell trajectories in colorectal cancer. EMBO Mol Med. 2021;13:e14123. doi:10.15252/emmm.202114123"
20,10.1038/s41698-023-00488-4,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,Valdeolivas,npj Precision Oncology,2024,38200223,"20. Valdeolivas A, Amberg B, Giroud N, Richardson M, Galvez EJC, Badillo S, et al. Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics. NPJ Precis Oncol. 2024;8:10. doi:10.1038/s41698-023-00488-4"
21,10.1016/j.cell.2019.03.030,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Proteogenomic Analysis of Human Colon Cancer Reveals New Therapeutic Opportunities,Vasaikar,Cell,2019,31031003,"21. Vasaikar S, Huang C, Wang X, Petyuk VA, Savage SR, Wen B, et al. Proteogenomic analysis of human colon cancer reveals new therapeutic opportunities. Cell. 2019;177:1035-1049.e19. doi:10.1016/j.cell.2019.03.030"
22,10.1158/2159-8290.cd-12-0095,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",The cBio Cancer Genomics Portal: An Open Platform for Exploring Multidimensional Cancer Genomics Data,Cerami,Cancer Discovery,2012,22588877,"22. Cerami E, Gao J, Dogrusoz U, Gross BE, Sumer SO, Aksoy BA, et al. The cBio Cancer Genomics Portal: an open platform for exploring multidimensional cancer genomics data. Cancer Discov. 2012;2:401-404. doi:10.1158/2159-8290.cd-12-0095"
23,10.1126/scisignal.2004088,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Integrative Analysis of Complex Cancer Genomics and Clinical Profiles Using the cBioPortal,Gao,Science Signaling,2013,23550210,"23. Gao J, Aksoy BA, Dogrusoz U, Dresdner G, Gross B, Sumer SO, et al. Integrative analysis of complex cancer genomics and clinical profiles using the cBioPortal. Sci Signal. 2013;6:pl1. doi:10.1126/scisignal.2004088"
24,10.1016/j.neo.2017.05.002,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",UALCAN: A Portal for Facilitating Tumor Subgroup Gene Expression and Survival Analyses,Chandrashekar,Neoplasia,2017,28732212,"24. Chandrashekar DS, Bashel B, Balasubramanya SAH, Creighton CJ, Ponce-Rodriguez I, Chakravarthi BVSK, et al. UALCAN: a portal for facilitating tumor subgroup gene expression and survival analyses. Neoplasia. 2017;19:649-658. doi:10.1016/j.neo.2017.05.002"
25,10.1016/j.cell.2021.04.048,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Integrated analysis of multimodal single-cell data,Hao,Cell,2021,34062119,"25. Hao Y, Hao S, Andersen-Nissen E, Mauck WM 3rd, Zheng S, Butler A, et al. Integrated analysis of multimodal single-cell data. Cell. 2021;184:3573-3587.e29. doi:10.1016/j.cell.2021.04.048"
26,10.1038/s41592-019-0619-0,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15","Fast, sensitive and accurate integration of single-cell data with Harmony",Korsunsky,Nature Methods,2019,31740819,"26. Korsunsky I, Millard N, Fan J, Slowikowski K, Zhang F, Wei K, et al. Fast, sensitive and accurate integration of single-cell data with Harmony. Nat Methods. 2019;16:1289-1296. doi:10.1038/s41592-019-0619-0"
27,10.1007/s11749-018-0599-x,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Comparing implementations of global and local indicators of spatial association,Bivand,TEST,2018,,"27. Bivand RS, Wong DWS. Comparing implementations of global and local indicators of spatial association. TEST. 2018;27:716-748. doi:10.1007/s11749-018-0599-x"
28,10.1038/s41467-021-21246-9,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Inference and analysis of cell-cell communication using CellChat,Jin,Nature Communications,2021,33597522,"28. Jin S, Guerrero-Juarez CF, Zhang L, Chang I, Ramos R, Kuan CH, et al. Inference and analysis of cell-cell communication using CellChat. Nat Commun. 2021;12:1088. doi:10.1038/s41467-021-21246-9"
29,10.1038/s41596-024-01045-4,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",CellChat for systematic analysis of cell–cell communication from single-cell transcriptomics,Jin,Nature Protocols,2024,,"29. Jin S, Plikus MV, Nie Q. CellChat for systematic analysis of cell-cell communication from single-cell transcriptomics. Nat Protoc. 2025;20:180-219. doi:10.1038/s41596-024-01045-4"
30,10.1038/s41592-019-0667-5,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",NicheNet: modeling intercellular communication by linking ligands to target genes,Browaeys,Nature Methods,2019,,"30. Browaeys R, Saelens W, Saeys Y. NicheNet: modeling intercellular communication by linking ligands to target genes. Nat Methods. 2020;17:159-162. doi:10.1038/s41592-019-0667-5"
31,10.1038/s41467-017-02391-6,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Perturbation-response genes reveal signaling footprints in cancer gene expression,Schubert,Nature Communications,2018,29295995,"31. Schubert M, Klinger B, Klunemann M, Sieber A, Uhlitz F, Sauer S, et al. Perturbation-response genes reveal signaling footprints in cancer gene expression. Nat Commun. 2018;9:20. doi:10.1038/s41467-017-02391-6"
32,10.1101/gr.240663.118,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Benchmark and integration of resources for the estimation of human transcription factor activities,Garcia-Alonso,Genome Research,2019,31340985,"32. Garcia-Alonso L, Holland CH, Ibrahim MM, Türei D, Saez-Rodriguez J. Benchmark and integration of resources for the estimation of human transcription factor activities. Genome Res. 2019;29:1363-1375. doi:10.1101/gr.240663.118"
33,10.1186/s13059-016-1070-5,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Estimating the population abundance of tissue-infiltrating immune and stromal cell populations using gene expression,Becht,Genome Biology,2016,27765066,"33. Becht E, Giraldo NA, Lacroix L, Buttard B, Elarouci N, Petitprez F, et al. Estimating the population abundance of tissue-infiltrating immune and stromal cell populations using gene expression. Genome Biol. 2016;17:218. doi:10.1186/s13059-016-1070-5"
34,10.7554/elife.26476,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Simultaneous enumeration of cancer and immune cell types from bulk tumor gene expression data,Racle,eLife,2017,29130882,"34. Racle J, de Jonge K, Baumgaertner P, Speiser DE, Gfeller D. Simultaneous enumeration of cancer and immune cell types from bulk tumor gene expression data. eLife. 2017;6:e26476. doi:10.7554/elife.26476"
35,10.1093/bib/bbad375,True,"PubMed live verification, 2026-07-19",The five pillars of computational reproducibility: bioinformatics and beyond.,Ziemann,Brief Bioinform,2023,37870287,"35. Ziemann M, Poulain P, Bora A. The five pillars of computational reproducibility: bioinformatics and beyond. Brief Bioinform. 2023;24:bbad375. doi:10.1093/bib/bbad375"
36,10.1038/s41416-022-01748-z,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Fibroblast activation protein identifies Consensus Molecular Subtype 4 in colorectal cancer and allows its detection by 68Ga-FAPI-PET imaging,Strating,British Journal of Cancer,2022,35296803,"36. Strating E, Wassenaar E, Verhagen M, Rauwerdink P, van Schelven S, de Hingh I, et al. Fibroblast activation protein identifies consensus molecular subtype 4 in colorectal cancer and allows its detection by 68Ga-FAPI-PET imaging. Br J Cancer. 2022;127:145-155. doi:10.1038/s41416-022-01748-z"
37,10.1038/s41467-022-30755-0,True,"PubMed live verification, 2026-07-19",Comparison of methods and resources for cell-cell communication inference from single-cell RNA-Seq data.,Dimitrov,Nat Commun,2022,35680885,"37. Dimitrov D, Türei D, Garrido-Rodriguez M, Burmedi PL, Nagai JS, Boys C, et al. Comparison of methods and resources for cell-cell communication inference from single-cell RNA-Seq data. Nat Commun. 2022;13:3224. doi:10.1038/s41467-022-30755-0"
38,10.1038/nrm3758,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Molecular mechanisms of epithelial–mesenchymal transition,Lamouille,Nature Reviews Molecular Cell Biology,2014,24556840,"38. Lamouille S, Xu J, Derynck R. Molecular mechanisms of epithelial-mesenchymal transition. Nat Rev Mol Cell Biol. 2014;15:178-196. doi:10.1038/nrm3758"
39,10.1016/j.bbamem.2020.183503,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Role of tight junctions in the epithelial-to-mesenchymal transition of cancer cells,Kyuno,Biochimica et Biophysica Acta (BBA) - Biomembranes,2021,,"39. Kyuno D, Takasawa A, Kikuchi S, Takemasa I, Osanai M, Kojima T. Role of tight junctions in the epithelial-to-mesenchymal transition of cancer cells. Biochim Biophys Acta Biomembr. 2021;1863:183503. doi:10.1016/j.bbamem.2020.183503"
40,10.1038/s41467-023-40850-5,True,"Crossref/NCBI audit retained from R 4.6.1 package, 2026-07-15",Desmoplastic stroma restricts T cell extravasation and mediates immune exclusion and immunosuppression in solid tumors,Xiao,Nature Communications,2023,37607999,"40. Xiao Z, Todd L, Huang L, Noguera-Ortega E, Lu Z, Huang L, et al. Desmoplastic stroma restricts T cell extravasation and mediates immune exclusion and immunosuppression in solid tumors. Nat Commun. 2023;14:5110. doi:10.1038/s41467-023-40850-5"
