cited_doi,final_reference_number,final_reference,final_first_author,resolved_doi,authoritative_title,authoritative_first_author,journal,year,volume,issue,pages_or_article,pmid,crossref_url,doi_resolved,first_author_match
10.3322/caac.21834,1,"1. Bray F, Laversanne M, Sung H, Ferlay J, Siegel RL, Soerjomataram I, et al. Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries. CA Cancer J Clin. 2024;74:229-263. doi:10.3322/caac.21834",Bray,10.3322/caac.21834,Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,Bray,CA: A Cancer Journal for Clinicians,2024,74,3,229-263,,https://doi.org/10.3322/caac.21834,TRUE,TRUE
10.1038/nature11252,2,2. Cancer Genome Atlas Network. Comprehensive molecular characterization of human colon and rectal cancer. Nature. 2012;487:330-337. doi:10.1038/nature11252,Cancer,10.1038/nature11252,Comprehensive molecular characterization of human colon and rectal cancer,"",Nature,2012,487,7407,330-337,22810696,https://doi.org/10.1038/nature11252,TRUE,TRUE
10.1038/nm.3967,3,"3. Guinney J, Dienstmann R, Wang X, de Reynies A, Schlicker A, Soneson C, et al. The consensus molecular subtypes of colorectal cancer. Nat Med. 2015;21:1350-1356. doi:10.1038/nm.3967",Guinney,10.1038/nm.3967,The consensus molecular subtypes of colorectal cancer,Guinney,Nature Medicine,2015,21,11,1350-1356,26457759,https://doi.org/10.1038/nm.3967,TRUE,TRUE
10.1038/s41568-019-0238-1,4,"4. Sahai E, Astsaturov I, Cukierman E, DeNardo DG, Egeblad M, Evans RM, et al. A framework for advancing our understanding of cancer-associated fibroblasts. Nat Rev Cancer. 2020;20:174-186. doi:10.1038/s41568-019-0238-1",Sahai,10.1038/s41568-019-0238-1,A framework for advancing our understanding of cancer-associated fibroblasts,Sahai,Nature Reviews Cancer,2020,20,3,174-186,31980749,https://doi.org/10.1038/s41568-019-0238-1,TRUE,TRUE
10.1038/s41388-018-0275-3,5,"5. Pure E, Blomberg R. Pro-tumorigenic roles of fibroblast activation protein in cancer: back to the basics. Oncogene. 2018;37:4343-4357. doi:10.1038/s41388-018-0275-3",Pure,10.1038/s41388-018-0275-3,Pro-tumorigenic roles of fibroblast activation protein in cancer: back to the basics,Puré,Oncogene,2018,37,32,4343-4357,29720723,https://doi.org/10.1038/s41388-018-0275-3,TRUE,TRUE
10.1038/s41467-022-29366-6,6,"6. Qi J, Sun H, Zhang Y, Wang Z, Xun Z, Li Z, et al. Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer. Nat Commun. 2022;13:1742. doi:10.1038/s41467-022-29366-6",Qi,10.1038/s41467-022-29366-6,Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer,Qi,Nature Communications,2022,13,1,1742,35365629,https://doi.org/10.1038/s41467-022-29366-6,TRUE,TRUE
10.1038/35067088,7,"7. Tsukita S, Furuse M, Itoh M. Multifunctional strands in tight junctions. Nat Rev Mol Cell Biol. 2001;2:285-293. doi:10.1038/35067088",Tsukita,10.1038/35067088,Multifunctional strands in tight junctions,Tsukita,Nature Reviews Molecular Cell Biology,2001,2,4,285-293,,https://doi.org/10.1038/35067088,TRUE,TRUE
10.1038/nrm.2016.80,8,"8. Zihni C, Mills C, Matter K, Balda MS. Tight junctions: from simple barriers to multifunctional molecular gates. Nat Rev Mol Cell Biol. 2016;17:564-580. doi:10.1038/nrm.2016.80",Zihni,10.1038/nrm.2016.80,Tight junctions: from simple barriers to multifunctional molecular gates,Zihni,Nature Reviews Molecular Cell Biology,2016,17,9,564-580,,https://doi.org/10.1038/nrm.2016.80,TRUE,TRUE
10.1172/jci24543,9,"9. Dhawan P, Singh AB, Deane NG, No Y, Shiou SR, Schmidt C, et al. Claudin-1 regulates cellular transformation and metastatic behavior in colon cancer. J Clin Invest. 2005;115:1765-1776. doi:10.1172/jci24543",Dhawan,10.1172/jci24543,Claudin-1 regulates cellular transformation and metastatic behavior in colon cancer,Dhawan,Journal of Clinical Investigation,2005,115,7,1765-1776,15965503,https://doi.org/10.1172/jci24543,TRUE,TRUE
10.3390/biom14030272,10,"10. Cox KE, Liu S, Hoffman RM, Batra SK, Dhawan P, Bouvet M. The expression of the claudin family of proteins in colorectal cancer. Biomolecules. 2024;14:272. doi:10.3390/biom14030272",Cox,10.3390/biom14030272,The Expression of the Claudin Family of Proteins in Colorectal Cancer,Cox,Biomolecules,2024,14,3,272,38540693,https://doi.org/10.3390/biom14030272,TRUE,TRUE
10.1038/s42003-021-02189-9,11,"11. Tabaries S, Annis MG, Lazaris A, Petrillo SK, Huxham J, Abdellatif A, et al. Claudin-2 promotes colorectal cancer liver metastasis and is a biomarker of the replacement type growth pattern. Commun Biol. 2021;4:657. doi:10.1038/s42003-021-02189-9",Tabaries,10.1038/s42003-021-02189-9,Claudin-2 promotes colorectal cancer liver metastasis and is a biomarker of the replacement type growth pattern,Tabariès,Communications Biology,2021,4,1,657,34079064,https://doi.org/10.1038/s42003-021-02189-9,TRUE,TRUE
10.1016/j.celrep.2020.107924,12,"12. Haas AJ, Zihni C, Ruppel A, Hartmann C, Ebnet K, Tada M, et al. Interplay between extracellular matrix stiffness and JAM-A regulates mechanical load on ZO-1 and tight junction assembly. Cell Rep. 2020;32:107924. doi:10.1016/j.celrep.2020.107924",Haas,10.1016/j.celrep.2020.107924,Interplay between Extracellular Matrix Stiffness and JAM-A Regulates Mechanical Load on ZO-1 and Tight Junction Assembly,Haas,Cell Reports,2020,32,3,107924,32697990,https://doi.org/10.1016/j.celrep.2020.107924,TRUE,TRUE
10.3390/cancers13133322,13,"13. Keller-Pinter A, Gyulai-Nagy S, Becsky D, Dux L, Rovo L. Syndecan-4 in tumor cell motility. Cancers. 2021;13:3322. doi:10.3390/cancers13133322",Keller-Pinter,10.3390/cancers13133322,Syndecan-4 in Tumor Cell Motility,Keller-Pinter,Cancers,2021,13,13,3322,34282767,https://doi.org/10.3390/cancers13133322,TRUE,TRUE
10.3390/ijms242115812,14,14. Cirillo N. The hyaluronan/CD44 axis: a double-edged sword in cancer. Int J Mol Sci. 2023;24:15812. doi:10.3390/ijms242115812,Cirillo,10.3390/ijms242115812,The Hyaluronan/CD44 Axis: A Double-Edged Sword in Cancer,Cirillo,International Journal of Molecular Sciences,2023,24,21,15812,37958796,https://doi.org/10.3390/ijms242115812,TRUE,TRUE
10.1038/s41587-020-0546-8,15,"15. Goldman MJ, Craft B, Hastie M, Repecka K, McDade F, Kamath A, et al. Visualizing and interpreting cancer genomics data via the Xena platform. Nat Biotechnol. 2020;38:675-678. doi:10.1038/s41587-020-0546-8",Goldman,10.1038/s41587-020-0546-8,Visualizing and interpreting cancer genomics data via the Xena platform,Goldman,Nature Biotechnology,2020,38,6,675-678,32444850,https://doi.org/10.1038/s41587-020-0546-8,TRUE,TRUE
