"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Tumor_epithelial","Tumor_epithelial","CLDN3","CLDN3",0.466444405515447,0,"CLDN3_CLDN3","CLDN3 - CLDN3","CLDN","Cell-Cell Contact","PMID: 31942240"
"Tumor_epithelial","Tumor_epithelial","PPIA","BSG",0.404575694151208,0,"PPIA_BSG","PPIA - BSG","CypA","Secreted Signaling","PMID: 36012604"
"FAP_high_myofibroblast","Tumor_epithelial","COL1A1","SDC4",0.332958419681611,0,"COL1A1_SDC4","COL1A1 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL1A2","SDC4",0.325995043143635,0,"COL1A2_SDC4","COL1A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL1A1","CD44",0.325865418503701,0,"COL1A1_CD44","COL1A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL1A2","CD44",0.318979446033135,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","CD99","CD99",0.314612293967677,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Tumor_epithelial","Tumor_epithelial","CEACAM5","CEACAM6",0.305276418401535,0,"CEACAM5_CEACAM6","CEACAM5 - CEACAM6","CEACAM","Cell-Cell Contact","uniprot"
"FAP_high_myofibroblast","FAP_high_myofibroblast","COL1A1","CD44",0.270397521525074,0,"COL1A1_CD44","COL1A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A2","SDC4",0.269227951717586,0,"COL6A2_SDC4","COL6A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","COL1A2","CD44",0.264224255948796,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A2","CD44",0.262957394064873,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","FN1","SDC4",0.259737755132615,0,"FN1_SDC4","FN1 - SDC4","FN1","ECM-Receptor","KEGG: hsa04512"
"Tumor_epithelial","Tumor_epithelial","MIF","CD74_CD44",0.257030642141174,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A3","SDC4",0.254736989310322,0,"COL6A3_SDC4","COL6A3 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","FN1","CD44",0.253611523224642,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","FN1","ITGAV_ITGB1",0.250664506432758,0,"FN1_ITGAV_ITGB1","FN1 - (ITGAV+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A1","SDC4",0.250558596864831,0,"COL6A1_SDC4","COL6A1 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A3","CD44",0.248689081866619,0,"COL6A3_CD44","COL6A3 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","MDK","NCL",0.247374495576119,0.28,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A1","CD44",0.244577336013867,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","FN1","ITGA5_ITGB1",0.244374461871568,0,"FN1_ITGA5_ITGB1","FN1 - (ITGA5+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512"
"Tumor_epithelial","Tumor_epithelial","MDK","NCL",0.240842164489575,0,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"Tumor_epithelial","FAP_high_myofibroblast","CD99","CD99",0.237528720648374,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"FAP_high_myofibroblast","Tumor_epithelial","CD99","CD99",0.237528720648374,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"Tumor_epithelial","Tumor_epithelial","CEACAM6","CEACAM6",0.229551738954989,0,"CEACAM6_CEACAM6","CEACAM6 - CEACAM6","CEACAM","Cell-Cell Contact","PMID:11590190"
"FAP_high_myofibroblast","Tumor_epithelial","THBS2","SDC4",0.223669982038306,0,"THBS2_SDC4","THBS2 - SDC4","THBS","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","COL6A2","CD44",0.214785842653872,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","THBS2","CD47",0.214542330822965,0,"THBS2_CD47","THBS2 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","COL1A1","ITGA1_ITGB1",0.212932159523727,0,"COL1A1_ITGA1_ITGB1","COL1A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","COL1A1","ITGA11_ITGB1",0.211429699562268,0,"COL1A1_ITGA11_ITGB1","COL1A1 - (ITGA11+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","COL1A2","ITGA1_ITGB1",0.207697370977931,0,"COL1A2_ITGA1_ITGB1","COL1A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","FN1","CD44",0.206671975179577,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","COL1A2","ITGA11_ITGB1",0.206222169982683,0,"COL1A2_ITGA11_ITGB1","COL1A2 - (ITGA11+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","COL6A3","CD44",0.202413528266604,0,"COL6A3_CD44","COL6A3 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","MDK","SDC2",0.201343611552819,0,"MDK_SDC2","MDK - SDC2","MK","Secreted Signaling","PMID: 28356350"
"FAP_high_myofibroblast","FAP_high_myofibroblast","COL6A1","CD44",0.198864372052825,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Tumor_epithelial","Tumor_epithelial","CEACAM1","CEACAM5",0.198613925460259,0,"CEACAM1_CEACAM5","CEACAM1 - CEACAM5","CEACAM","Cell-Cell Contact","PMID: 11590190"
"Tumor_epithelial","FAP_high_myofibroblast","MDK","SDC2",0.195710720880736,0,"MDK_SDC2","MDK - SDC2","MK","Secreted Signaling","PMID: 28356350"
"FAP_high_myofibroblast","Tumor_epithelial","COL1A1","ITGA2_ITGB1",0.190046579444525,0,"COL1A1_ITGA2_ITGB1","COL1A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL1A2","ITGA2_ITGB1",0.185241998890722,0,"COL1A2_ITGA2_ITGB1","COL1A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","MDK","SDC4",0.184900859552248,0.28,"MDK_SDC4","MDK - SDC4","MK","Secreted Signaling","PMID: 28356350"
"FAP_high_myofibroblast","FAP_high_myofibroblast","MDK","LRP1",0.182742374055516,0,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350"
"Tumor_epithelial","Tumor_epithelial","LGALS9","P4HB",0.180133352044226,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Tumor_epithelial","Tumor_epithelial","MDK","SDC4",0.179624519349454,0,"MDK_SDC4","MDK - SDC4","MK","Secreted Signaling","PMID: 28356350"
"FAP_high_myofibroblast","FAP_high_myofibroblast","POSTN","ITGAV_ITGB5",0.178385623690572,0,"POSTN_ITGAV_ITGB5","POSTN - (ITGAV+ITGB5)","PERIOSTIN","Secreted Signaling","PMID: 26721738"
"Tumor_epithelial","FAP_high_myofibroblast","MDK","LRP1",0.177514214274811,0,"MDK_LRP1","MDK - LRP1","MK","Secreted Signaling","PMID: 28356350"
"FAP_high_myofibroblast","Tumor_epithelial","MDK","ITGA6_ITGB1",0.174128196018993,0.32,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"FAP_high_myofibroblast","Tumor_epithelial","COL1A1","ITGA3_ITGB1",0.170236651789846,0,"COL1A1_ITGA3_ITGB1","COL1A1 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","THY1","ADGRE5",0.169366049841086,0,"THY1_ADGRE5","THY1 - ADGRE5","ADGRE","Cell-Cell Contact","PMID: 31462748"
"Tumor_epithelial","Tumor_epithelial","MDK","ITGA6_ITGB1",0.169095491833227,0,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"FAP_high_myofibroblast","Tumor_epithelial","PLAU","PLAUR",0.166743240549637,0,"PLAU_PLAUR","PLAU - PLAUR","PLAU","Secreted Signaling","uniprot"
"FAP_high_myofibroblast","FAP_high_myofibroblast","COL6A2","ITGA1_ITGB1",0.166442994851995,0,"COL6A2_ITGA1_ITGB1","COL6A2 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL1A2","ITGA3_ITGB1",0.165830349973795,0,"COL1A2_ITGA3_ITGB1","COL1A2 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","COL6A2","ITGA11_ITGB1",0.165199713718778,0,"COL6A2_ITGA11_ITGB1","COL6A2 - (ITGA11+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","COL6A3","ITGA1_ITGB1",0.156301066508787,0,"COL6A3_ITGA1_ITGB1","COL6A3 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Tumor_epithelial","Tumor_epithelial","CDH1","CDH1",0.155532093527058,0,"CDH1_CDH1","CDH1 - CDH1","CDH","Cell-Cell Contact","KEGG: hsa04514"
"FAP_high_myofibroblast","FAP_high_myofibroblast","COL6A3","ITGA11_ITGB1",0.155119444724929,0,"COL6A3_ITGA11_ITGB1","COL6A3 - (ITGA11+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","COL6A1","ITGA1_ITGB1",0.153404942165546,0,"COL6A1_ITGA1_ITGB1","COL6A1 - (ITGA1+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","FAP_high_myofibroblast","COL6A1","ITGA11_ITGB1",0.15224126407548,0,"COL6A1_ITGA11_ITGB1","COL6A1 - (ITGA11+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A2","ITGA2_ITGB1",0.147616867552498,0,"COL6A2_ITGA2_ITGB1","COL6A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Tumor_epithelial","Tumor_epithelial","CEACAM1","CEACAM6",0.143868090235784,0,"CEACAM1_CEACAM6","CEACAM1 - CEACAM6","CEACAM","Cell-Cell Contact","PMID:21982860"
"FAP_high_myofibroblast","FAP_high_myofibroblast","THBS2","CD47",0.140812354399107,0,"THBS2_CD47","THBS2 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A3","ITGA2_ITGB1",0.138431568957957,0,"COL6A3_ITGA2_ITGB1","COL6A3 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Tumor_epithelial","FAP_high_myofibroblast","NAMPT","ITGA5_ITGB1",0.136709536416204,0,"NAMPT_ITGA5_ITGB1","NAMPT - (ITGA5+ITGB1)","VISFATIN","Secreted Signaling","PMID: 28490838"
