# SenMayo 125-gene senescence signature (Saul et al., Nat Commun 2022; PMID 35974106)
# Source: figshare Data Sheet 1 (CSOARG, Front Oncol 2025) citing Saul et al.; consistent with MSigDB SAUL_SEN_MAYO
ACVR1B CCL7 EGFR IGFBP6 MMP1 SCAMP4
ANG CCL8 EREG IGFBP7 MMP10 SELPLG
ANGPT1 CD55 ESM1 IL10 MMP12 SEMA3F
ANGPTL4 CD9 ETS2 IL13 MMP13 SERPINB4
AREG CSF1 FAS IL15 MMP14 SERPINE1
AXL CSF2 FGF1 IL18 MMP2 SERPINE2
BEX3 CSF2RB FGF2 IL1A MMP3 SPP1
BMP2 CST4 FGF7 IL1B MMP9 SPX
BMP6 CTNNB1 GDF15 IL2 NAP1L4 TIMP2
C3 CTSB GEM IL32 NRG1 TNF
CCL1 CXCL1 GMFG IL6 PAPPA TNFRSF10C
CCL13 CXCL10 HGF IL6ST PECAM1 TNFRSF11B
CCL16 CXCL12 HMGB1 IL7 PGF TNFRSF1A
CCL2 CXCL16 ICAM1 INHA PIGF TNFRSF1B
CCL20 CXCL2 ICAM3 IQGAP2 PLAT TUBGCP2
CCL24 CXCL3 IGF1 ITGA2 PLAU VEGFA
CCL26 CXCL8 IGFBP1 ITPKA PLAUR VEGFC
CCL3 CXCR2 IGFBP2 JUN PTBP1 VGF
CCL3L1 DKK1 IGFBP3 KITLG PTGER2 WNT16
CCL4 EDN1 IGFBP4 LCP1 PTGES WNT2
CCL5 EGF IGFBP5 MIF RPS6KA5
