"SYMBOL","ENTREZID"
"FAP","2191"
"POSTN","10631"
"THY1","7070"
"PDPN","10630"
"TAGLN","6876"
"ACTA2","59"
"MMP2","4313"
"MMP9","4318"
"CXCL12","6387"
"TGFB1","7040"
"INHBA","3624"
"WNT2","7472"
"WNT5A","7474"
"COL1A1","1277"
"COL1A2","1278"
"COL3A1","1281"
"FN1","2335"
"SDC4","6385"
"CD44","960"
"IL6","3569"
"CXCL8","3576"
"IL1A","3552"
"IL1B","3553"
"CCL2","6347"
"CCL5","6352"
"CXCL1","2919"
"CXCL2","2920"
"CXCL3","2921"
"CXCL10","3627"
"MMP1","4312"
"MMP3","4314"
"MMP10","4319"
"MMP13","4322"
"SERPINE1","5054"
"PLAU","5328"
"TIMP2","7077"
"VEGFA","7422"
"GDF15","9518"
"IGFBP3","3486"
"TNF","7124"
"CSF2","1437"
"HGF","3082"
"FAS","355"
"MKI67","4288"
"CDKN2A","1029"
"CDKN2B","1030"
"CXCL5","6374"
"STC1","6781"
"ACVR1B","91"
"ANG","283"
"ANGPT1","284"
"ANGPTL4","51129"
"AREG","374"
"AXL","558"
"BEX3","27018"
"BMP2","650"
"BMP6","654"
"C3","718"
"CCL1","6346"
"CCL13","6357"
"CCL16","6360"
"CCL20","6364"
"CCL24","6369"
"CCL26","10344"
"CCL3","6348"
"CCL3L1","6349"
"CCL4","6351"
"CCL7","6354"
"CCL8","6355"
"CD55","1604"
"CD9","928"
"CSF1","1435"
"CSF2RB","1439"
"CST4","1472"
"CTNNB1","1499"
"CTSB","1508"
"CXCL16","58191"
"CXCR2","3579"
"DKK1","22943"
"EDN1","1906"
"EGF","1950"
"EGFR","1956"
"EREG","2069"
"ESM1","11082"
"ETS2","2114"
"FGF1","2246"
"FGF2","2247"
"FGF7","2252"
"GEM","2669"
"GMFG","9535"
"HMGB1","3146"
"ICAM1","3383"
"ICAM3","3385"
"IGF1","3479"
"IGFBP1","3484"
"IGFBP2","3485"
"IGFBP4","3487"
"IGFBP5","3488"
"IGFBP6","3489"
"IGFBP7","3490"
"IL10","3586"
"IL13","3596"
"IL15","3600"
"IL18","3606"
"IL2","3558"
"IL32","9235"
"IL6ST","3572"
"IL7","3574"
"INHA","3623"
"IQGAP2","10788"
"ITGA2","3673"
"ITPKA","3706"
"JUN","3725"
"KITLG","4254"
"LCP1","3936"
"MIF","4282"
"MMP12","4321"
"MMP14","4323"
"NAP1L4","4676"
"NRG1","3084"
"PAPPA","5069"
"PECAM1","5175"
"PGF","5228"
"PIGF","5281"
"PLAT","5327"
"PLAUR","5329"
"PTBP1","5725"
"PTGER2","5732"
"PTGES","9536"
"RPS6KA5","9252"
"SCAMP4","113178"
"SELPLG","6404"
"SEMA3F","6405"
"SERPINB4","6318"
"SERPINE2","5270"
"SPP1","6696"
"SPX","80763"
"TNFRSF10C","8794"
"TNFRSF11B","4982"
"TNFRSF1A","7132"
"TNFRSF1B","7133"
"TUBGCP2","10844"
"VEGFC","7424"
"VGF","7425"
"WNT16","51384"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
