"test","rho","p","n"
"TCGA_SenMayo_x_FAP13",0.847626587295947,0,380
"TCGA_SenMayo_x_matrix4",0.751125335829341,0,380
"TCGA_SenMayo_x_receptor2",0.0422314486067661,0.411533867989226,380
"TCGA_SASP_x_FAP13",0.652958523914548,0,380
"TCGA_SASP_x_matrix4",0.570223733142925,0,380
"TCGA_SASP_x_receptor2",0.0356560276514526,0.488140444025353,380
"TCGA_FAP13_SenMayo_partial_MKI67",0.848303439920309,0,380
"TCGA_matrix4_SenMayo_partial_MKI67",0.750762744019586,0,380
"TCGA_CDKN2A_FAP13_hi_lo",NA,0.0006913893870506,380
"TCGA_CDKN2B_FAP13_hi_lo",NA,0,380
"GSE_SenMayo_x_FAP13",0.77024942459759,0,566
"GSE_SenMayo_x_matrix4",0.629566029691112,0,566
"GSE_SenMayo_x_receptor2",0.134784848059184,0.00131945372779295,566
"GSE_SASP_x_FAP13",0.613243876479125,0,566
"GSE_SASP_x_matrix4",0.511417264405163,0,566
"GSE_SASP_x_receptor2",0.154241465670841,0.000233836714927592,566
"GSE_FAP13_SenMayo_partial_MKI67",0.758830489122243,0,566
