"comparison","HR","ci_low","ci_high","P","n"
"TCGA_FAP13",1.09823050975131,0.874049524631566,1.37991065558561,0.421183438229966,85
"TCGA_matrix4",1.10370601935672,0.879142144709775,1.38563141864436,0.395226491809872,85
"TCGA_SenMayo",1.12871437914753,0.906201493873182,1.40586410230822,0.27978403994376,85
"TCGA_SASP25",1.08095802655588,0.863484920680303,1.3532028495124,0.496968405103224,85
"TCGA_colonSASP",1.09993535068387,0.885868764026049,1.36573025804133,0.388374071458668,85
"GSE_FAP13",1.05170246103566,0.904928472650742,1.22228231288658,0.510964238007869,562
"GSE_matrix4",1.07762719795465,0.923706864889103,1.25719578571174,0.341727573171406,562
"GSE_SenMayo",1.02363591666143,0.881545363168999,1.18862912069837,0.759304914382378,562
"GSE_SASP25",0.987461605556504,0.85270726838842,1.14351132985073,0.866146622110891,562
"GSE_colonSASP",0.890568656598688,0.768809280964667,1.031611547562,0.122325408347941,562
