"dataset","signature","source_genes","genes_after_overlap_removal","observed_full","observed_clean","removed_overlap"
"TCGA380","SenMayo",125,121,122,118,"MMP2;MMP9;CXCL12;WNT2"
"TCGA380","SASP25",25,24,24,23,"MMP9"
"TCGA380","colonSASP",7,7,6,6,""
"TCGA380","CellAge",370,368,358,356,"TAGLN;WNT5A"
"TCGA592","SenMayo",125,121,125,121,"MMP2;MMP9;CXCL12;WNT2"
"TCGA592","SASP25",25,24,25,24,"MMP9"
"TCGA592","colonSASP",7,7,5,5,""
"TCGA592","CellAge",370,368,19,17,"TAGLN;WNT5A"
"GSE39582_tumor566","SenMayo",125,121,124,120,"MMP2;MMP9;CXCL12;WNT2"
"GSE39582_tumor566","SASP25",25,24,25,24,"MMP9"
"GSE39582_tumor566","colonSASP",7,7,7,7,""
"GSE39582_tumor566","CellAge",370,368,368,366,"TAGLN;WNT5A"
