panel,cohort_or_analysis,signature_or_adjustment,outcome,rho
A,TCGA380,SenMayo_clean,FAP13,0.830898158282916
A,TCGA380,SASP25_clean,FAP13,0.626021539003223
A,TCGA380,colonSASP_clean,FAP13,0.419631787798501
A,TCGA380,CellAge_clean,FAP13,0.834969333874232
A,GSE39582,SenMayo_clean,FAP13,0.738357265209262
A,GSE39582,SASP25_clean,FAP13,0.591505338076525
A,GSE39582,colonSASP_clean,FAP13,0.404136213067074
A,GSE39582,CellAge_clean,FAP13,0.590877677497021
B,TCGA380,SenMayo_clean,matrix4,0.735053202365813
B,TCGA380,SASP25_clean,matrix4,0.545841074129031
B,TCGA380,colonSASP_clean,matrix4,0.358282696957006
B,TCGA380,CellAge_clean,matrix4,0.766851279404545
B,GSE39582,SenMayo_clean,matrix4,0.599876440077822
B,GSE39582,SASP25_clean,matrix4,0.494944747967044
B,GSE39582,colonSASP_clean,matrix4,0.312304453766038
B,GSE39582,CellAge_clean,matrix4,0.476453446383713
C,TCGA380,Raw,SenMayo_vs_FAP13,0.8476265873
C,TCGA380,Overlap removed,SenMayo_vs_FAP13,0.8308981583
C,TCGA380,Adjusted: CAF abundance,SenMayo_vs_FAP13,0.7816888949
C,TCGA380,Adjusted: tumor fraction,SenMayo_vs_FAP13,0.8522294038
C,TCGA380,Adjusted: age,SenMayo_vs_FAP13,0.8488341329
C,TCGA380,Adjusted: MKI67,SenMayo_vs_FAP13,0.8483034399
C,TCGA380,Adjusted: CAF + purity + MKI67,SenMayo_vs_FAP13,0.7583808898
