"comparison","rho","n","p"
"SenMayo_FAP13_TCGA380",0.847626587295947,380,4.40735288080141e-106
"SenMayo_FAP13_GSE39582",0.77024942459759,566,2.87762249974036e-112
"SenMayo_matrix4_TCGA380",0.751125335829341,380,3.66119384072249e-70
"SenMayo_matrix4_GSE39582",0.629566029691112,566,8.06578652951489e-64
"SenMayo_clean_FAP13_TCGA380",0.830898158282916,380,2.86032513941826e-98
"SenMayo_clean_FAP13_GSE39582",0.738357265209262,566,1.47999345570993e-98
"SenMayo_clean_matrix4_TCGA380",0.735053202365813,380,8.96869221846444e-66
"SenMayo_clean_matrix4_GSE39582",0.599876440077822,566,1.31163095904668e-56
"SASP25_FAP13_TCGA380",0.652958523914548,380,1.51386747355292e-47
"SASP25_FAP13_GSE39582",0.613243876479125,566,9.24502429418867e-60
"SASP25_matrix4_TCGA380",0.570223733142925,380,3.75034006750299e-34
"SASP25_matrix4_GSE39582",0.511417264405163,566,4.80990190544274e-39
"SASP25_clean_FAP13_TCGA380",0.626021539003223,380,9.67023569681951e-43
"SASP25_clean_FAP13_GSE39582",0.591505338076525,566,1.04035104368996e-54
"SASP25_clean_matrix4_TCGA380",0.545841074129031,380,6.88062120618244e-31
"SASP25_clean_matrix4_GSE39582",0.494944747967044,566,2.60060871526053e-36
"colonSASP_FAP13_TCGA380",0.419631787798501,380,1.21910056423134e-17
"colonSASP_FAP13_GSE39582",0.404136213067074,566,1.19286685407729e-23
"colonSASP_matrix4_TCGA380",0.358282696957006,380,5.94769841274506e-13
"colonSASP_matrix4_GSE39582",0.312304453766038,566,2.85882726850537e-14
"colonSASP_clean_FAP13_TCGA380",0.419631787798501,380,1.21910056423134e-17
"colonSASP_clean_FAP13_GSE39582",0.404136213067074,566,1.19286685407729e-23
"colonSASP_clean_matrix4_TCGA380",0.358282696957006,380,5.94769841274506e-13
"colonSASP_clean_matrix4_GSE39582",0.312304453766038,566,2.85882726850537e-14
"CellAge_FAP13_TCGA380",0.840520181470859,380,1.1831480152305e-102
"CellAge_FAP13_GSE39582",0.607400094407193,566,2.30276305599182e-58
"CellAge_matrix4_TCGA380",0.771202162429321,380,3.83753824000013e-76
"CellAge_matrix4_GSE39582",0.491560450302125,566,9.08588651098771e-36
"CellAge_clean_FAP13_TCGA380",0.834969333874232,380,4.32818637469976e-100
"CellAge_clean_FAP13_GSE39582",0.590877677497021,566,1.43668459096199e-54
"CellAge_clean_matrix4_TCGA380",0.766851279404545,380,8.52789527320196e-75
"CellAge_clean_matrix4_GSE39582",0.476453446383713,566,2.04588181610719e-33
