"layer","claim","status"
"Bulk RNA","FAP–ECM association","Supported"
"Bulk RNA","Direct FAP–CLDN coupling","No positive support"
"Bulk RNA","ECM–receptor interface","Indirect"
"Bulk RNA","Downstream CLDN effect","Linkage untested"
"Single-cell","FAP–ECM association","Supported"
"Single-cell","Direct FAP–CLDN coupling","No positive support"
"Single-cell","ECM–receptor interface","Supported"
"Single-cell","Downstream CLDN effect","Linkage untested"
"Protein","FAP–ECM association","Supported"
"Protein","Direct FAP–CLDN coupling","No positive support"
"Protein","ECM–receptor interface","Not tested"
"Protein","Downstream CLDN effect","Linkage untested"
"Spatial","FAP–ECM association","Supported"
"Spatial","Direct FAP–CLDN coupling","No positive support"
"Spatial","ECM–receptor interface","Indirect"
"Spatial","Downstream CLDN effect","Linkage untested"
"Spatial communication","FAP–ECM association","Supported"
"Spatial communication","Direct FAP–CLDN coupling","Not applicable"
"Spatial communication","ECM–receptor interface","Supported"
"Spatial communication","Downstream CLDN effect","Not established"
"Causal perturbation","FAP–ECM association","Not tested"
"Causal perturbation","Direct FAP–CLDN coupling","Not tested"
"Causal perturbation","ECM–receptor interface","Not tested"
"Causal perturbation","Downstream CLDN effect","Not tested"
