class,cell_type,cell_subtype,gene,n_cells,mean_log_normalized,median_log_normalized,positive_cells,positive_percent
Normal,B cells,CD19+CD20+ B,FAP,1684,0.0,0.0,0,0.0
Normal,B cells,CD19+CD20+ B,COL1A1,1684,0.04089055229019662,0.0,54,3.2066508313539197
Normal,B cells,CD19+CD20+ B,COL1A2,1684,0.04085358838640353,0.0,54,3.2066508313539197
Normal,B cells,CD19+CD20+ B,COL3A1,1684,0.025944511940148796,0.0,34,2.019002375296912
Normal,B cells,CD19+CD20+ B,FN1,1684,0.006419211878802808,0.0,8,0.4750593824228029
Normal,B cells,CD19+CD20+ B,POSTN,1684,0.0018858978096695164,0.0,3,0.17814726840855108
Normal,B cells,CD19+CD20+ B,ACTA2,1684,0.02624718111131001,0.0,34,2.019002375296912
Normal,B cells,CD19+CD20+ B,TAGLN,1684,0.025511024610359805,0.0,32,1.9002375296912115
Normal,B cells,CD19+CD20+ B,CXCL12,1684,0.01431194137082915,0.0,18,1.0688836104513064
Normal,B cells,CD19+CD20+ B,CCL2,1684,0.09369423389655701,0.0,118,7.007125890736342
Normal,B cells,CD19+CD20+ B,CD74,1684,4.391450317315104,4.429423731904266,1683,99.94061757719716
Normal,B cells,CD19+CD20+ B,HLA-DRA,1684,3.8971370105802685,3.9597043469113613,1679,99.70308788598575
Normal,B cells,CD19+CD20+ B,CLDN1,1684,0.0,0.0,0,0.0
Normal,B cells,CD19+CD20+ B,CLDN2,1684,0.0,0.0,0,0.0
Normal,B cells,CD19+CD20+ B,CLDN3,1684,0.06498160152759777,0.0,82,4.86935866983373
Normal,B cells,CD19+CD20+ B,CLDN4,1684,0.10274809020486654,0.0,126,7.4821852731591445
Normal,B cells,CD19+CD20+ B,CLDN7,1684,0.03005309019606696,0.0,40,2.375296912114014
Normal,B cells,CD19+CD20+ B,CLDN18,1684,0.0,0.0,0,0.0
Normal,B cells,CD19+CD20+ B,OCLN,1684,0.009466332552583208,0.0,13,0.7719714964370546
Normal,B cells,CD19+CD20+ B,TJP1,1684,0.0022405812045365476,0.0,3,0.17814726840855108
Normal,B cells,CD19+CD20+ B,CDH1,1684,0.001307262534616279,0.0,2,0.11876484560570072
Normal,B cells,CD19+CD20+ B,EPCAM,1684,0.046540192237601974,0.0,57,3.3847980997624703
Normal,B cells,CD19+CD20+ B,VIM,1684,0.6647787154471019,0.0,693,41.1520190023753
Normal,B cells,CD19+CD20+ B,ZEB1,1684,0.07167200085480517,0.0,94,5.581947743467933
Normal,B cells,CD19+CD20+ B,SNAI1,1684,0.013622707552209902,0.0,18,1.0688836104513064
Normal,B cells,CD19+CD20+ B,SNAI2,1684,0.0,0.0,0,0.0
Normal,B cells,CD19+CD20+ B,TWIST1,1684,0.0007244685122091915,0.0,1,0.05938242280285036
Normal,B cells,IgA+ Plasma,FAP,3366,0.0005736703403558263,0.0,1,0.029708853238265005
Normal,B cells,IgA+ Plasma,COL1A1,3366,0.023404594454420634,0.0,148,4.396910279263221
Normal,B cells,IgA+ Plasma,COL1A2,3366,0.038295665418442995,0.0,249,7.397504456327986
Normal,B cells,IgA+ Plasma,COL3A1,3366,0.028506345206918412,0.0,185,5.496137849079026
Normal,B cells,IgA+ Plasma,FN1,3366,0.02291109579969756,0.0,139,4.129530600118835
Normal,B cells,IgA+ Plasma,POSTN,3366,0.005275609865674919,0.0,35,1.0398098633392752
Normal,B cells,IgA+ Plasma,ACTA2,3366,0.023711696856301,0.0,160,4.753416518122401
Normal,B cells,IgA+ Plasma,TAGLN,3366,0.023757370207684515,0.0,151,4.486036838978015
Normal,B cells,IgA+ Plasma,CXCL12,3366,0.014275456566642416,0.0,103,3.0600118835412955
Normal,B cells,IgA+ Plasma,CCL2,3366,0.14083745216881924,0.0,806,23.945335710041594
Normal,B cells,IgA+ Plasma,CD74,3366,1.6249779329050351,1.7248792537353672,3095,91.94890077243019
Normal,B cells,IgA+ Plasma,HLA-DRA,3366,0.15522819683129854,0.0,854,25.371360665478313
Normal,B cells,IgA+ Plasma,CLDN1,3366,0.00013279030599825317,0.0,1,0.029708853238265005
Normal,B cells,IgA+ Plasma,CLDN2,3366,0.0,0.0,0,0.0
Normal,B cells,IgA+ Plasma,CLDN3,3366,0.13023826304532343,0.0,713,21.182412358882946
Normal,B cells,IgA+ Plasma,CLDN4,3366,0.15931843040403157,0.0,932,27.688651218062983
Normal,B cells,IgA+ Plasma,CLDN7,3366,0.03457267089294755,0.0,232,6.8924539512774805
Normal,B cells,IgA+ Plasma,CLDN18,3366,0.0,0.0,0,0.0
Normal,B cells,IgA+ Plasma,OCLN,3366,0.009635692442783743,0.0,63,1.8716577540106951
Normal,B cells,IgA+ Plasma,TJP1,3366,0.004070892612485679,0.0,25,0.7427213309566251
Normal,B cells,IgA+ Plasma,CDH1,3366,0.013436754671333198,0.0,90,2.6737967914438503
Normal,B cells,IgA+ Plasma,EPCAM,3366,0.06557486534340146,0.0,425,12.626262626262626
Normal,B cells,IgA+ Plasma,VIM,3366,2.071182946851717,2.166548092171781,3140,93.28579916815211
Normal,B cells,IgA+ Plasma,ZEB1,3366,0.04459964419625502,0.0,271,8.051099227569816
Normal,B cells,IgA+ Plasma,SNAI1,3366,0.013817527585298537,0.0,80,2.3767082590612003
Normal,B cells,IgA+ Plasma,SNAI2,3366,0.0011048328369489776,0.0,8,0.23767082590612004
Normal,B cells,IgA+ Plasma,TWIST1,3366,0.0,0.0,0,0.0
Normal,B cells,IgG+ Plasma,FAP,94,0.0,0.0,0,0.0
Normal,B cells,IgG+ Plasma,COL1A1,94,0.02441848192763132,0.0,4,4.25531914893617
Normal,B cells,IgG+ Plasma,COL1A2,94,0.04123176890592938,0.0,6,6.382978723404255
Normal,B cells,IgG+ Plasma,COL3A1,94,0.03908021476774684,0.0,8,8.51063829787234
Normal,B cells,IgG+ Plasma,FN1,94,0.018340881756290905,0.0,3,3.1914893617021276
Normal,B cells,IgG+ Plasma,POSTN,94,0.0,0.0,0,0.0
Normal,B cells,IgG+ Plasma,ACTA2,94,0.03546920495305655,0.0,6,6.382978723404255
Normal,B cells,IgG+ Plasma,TAGLN,94,0.007038515111529355,0.0,2,2.127659574468085
Normal,B cells,IgG+ Plasma,CXCL12,94,0.01651142118647474,0.0,3,3.1914893617021276
Normal,B cells,IgG+ Plasma,CCL2,94,0.11341084466491663,0.0,20,21.27659574468085
Normal,B cells,IgG+ Plasma,CD74,94,2.5150402420051567,2.4702711037264744,93,98.93617021276596
Normal,B cells,IgG+ Plasma,HLA-DRA,94,0.5629481511041217,0.4140673636195146,59,62.76595744680851
Normal,B cells,IgG+ Plasma,CLDN1,94,0.0,0.0,0,0.0
Normal,B cells,IgG+ Plasma,CLDN2,94,0.0,0.0,0,0.0
Normal,B cells,IgG+ Plasma,CLDN3,94,0.06237949437959135,0.0,10,10.638297872340425
Normal,B cells,IgG+ Plasma,CLDN4,94,0.16098642069281255,0.0,26,27.659574468085108
Normal,B cells,IgG+ Plasma,CLDN7,94,0.019484206720609236,0.0,4,4.25531914893617
Normal,B cells,IgG+ Plasma,CLDN18,94,0.0,0.0,0,0.0
Normal,B cells,IgG+ Plasma,OCLN,94,0.012918967920931636,0.0,3,3.1914893617021276
Normal,B cells,IgG+ Plasma,TJP1,94,0.0,0.0,0,0.0
Normal,B cells,IgG+ Plasma,CDH1,94,0.0036952495136192845,0.0,1,1.0638297872340425
Normal,B cells,IgG+ Plasma,EPCAM,94,0.06658239980928138,0.0,13,13.829787234042554
Normal,B cells,IgG+ Plasma,VIM,94,1.5324369707816623,1.551244797950695,84,89.36170212765957
Normal,B cells,IgG+ Plasma,ZEB1,94,0.05487424246096463,0.0,9,9.574468085106384
Normal,B cells,IgG+ Plasma,SNAI1,94,0.006525352436808567,0.0,1,1.0638297872340425
Normal,B cells,IgG+ Plasma,SNAI2,94,0.0,0.0,0,0.0
Normal,B cells,IgG+ Plasma,TWIST1,94,0.0,0.0,0,0.0
Normal,B cells,Unknown,FAP,64,0.0,0.0,0,0.0
Normal,B cells,Unknown,COL1A1,64,0.03447743785276446,0.0,2,3.125
Normal,B cells,Unknown,COL1A2,64,0.0,0.0,0,0.0
Normal,B cells,Unknown,COL3A1,64,0.031148375988167033,0.0,1,1.5625
