patient,habitat,n_spots,percent
P6,Epithelial/other,2667,59.8384563607808
P6,FAP+CAF/SPP1+TAM,861,19.31792685663
P6,SPP1+TAM-dominant,253,5.67646398923042
P6,FAP+CAF-dominant,253,5.67646398923042
P6,TLS-like immune,423,9.49068880412834
P8,FAP+CAF-dominant,252,6.47814910025707
P8,Epithelial/other,2139,54.987146529563
P8,FAP+CAF/SPP1+TAM,721,18.5347043701799
P8,TLS-like immune,526,13.5218508997429
P8,SPP1+TAM-dominant,252,6.47814910025707
P9,FAP+CAF-dominant,133,8.02655401327701
P9,TLS-like immune,193,11.6475558237779
P9,FAP+CAF/SPP1+TAM,281,16.9583584791792
P9,Epithelial/other,917,55.3409776704888
P9,SPP1+TAM-dominant,133,8.02655401327701
