sample_id,patient_id,replicate,analyzed_spots,directed_edges,raw_bivariate_moran,raw_permutation_p,adjusted_bivariate_moran,adjusted_permutation_p,high_high_observed_edges,high_high_expected_edges,high_high_enrichment,high_high_permutation_p,raw_fdr_bh,adjusted_fdr_bh,high_high_fdr_bh
SN048_A121573_Rep1,A121573,Rep1,2052,11632,0.0832447620194056,0.502,-0.0383022528216575,0.004,92,108.126126126126,0.850858190301616,0.928,0.540615384615385,0.0186666666666667,0.999
SN048_A121573_Rep2,A121573,Rep2,2291,12986,0.192579113306247,0.001,-0.0222129736785463,0.092,134,148.963963963964,0.899546416691866,0.895,0.002,0.214666666666667,0.999
SN048_A416371_Rep1,A416371,Rep1,2317,13300,0.198451129734133,0.001,0.00870723835441132,0.518,340,332.556556556557,1.02238248892314,0.345,0.002,0.7252,0.999
SN048_A416371_Rep2,A416371,Rep2,1802,10240,0.113021409250806,0.001,0.00832103161553842,0.63,233,231.084084084084,1.0082909903705,0.464,0.002,0.735,0.999
SN123_A551763_Rep1,A551763,Rep1,665,3712,-0.0850258939255001,0.03,-0.0277584388071457,0.195,68,68.4124124124124,0.993971672714503,0.553,0.0466666666666667,0.34125,0.999
SN124_A551763_Rep2,A551763,Rep2,1162,6486,-0.00785140607005764,0.795,-0.0234493106510147,0.115,100,131.44044044044,0.760800859042411,0.999,0.795,0.23,0.999
SN123_A595688_Rep1,A595688,Rep1,1111,6258,0.178516401653051,0.143,0.00514539664305913,0.755,63,76.5835835835836,0.822630608963886,0.929,0.2002,0.755,0.999
SN124_A595688_Rep2,A595688,Rep2,356,1862,-0.0570102676515066,0.342,0.00924942918697527,0.75,14,13.8738738738739,1.00909090909091,0.526,0.399,0.755,0.999
SN123_A798015_Rep1,A798015,Rep1,1632,9310,-0.337693255113425,0.001,-0.0268578306283497,0.077,,,,,0.002,0.214666666666667,
SN124_A798015_Rep2,A798015,Rep2,1574,9088,-0.376071098611189,0.001,-0.0112056982728586,0.463,,,,,0.002,0.720222222222222,
SN123_A938797_Rep1_X,A938797,Rep1,1944,11136,-0.026250265670374,0.167,-0.0541939553845181,0.001,28,41.4224224224224,0.675962398202073,0.952,0.212545454545455,0.007,0.999
SN124_A938797_Rep2,A938797,Rep2,1485,8354,-0.209177795174458,0.001,-0.048227462965955,0.007,36,32.7877877877878,1.09796977560678,0.34,0.002,0.0245,0.999
SN84_A120838_Rep1,A120838,Rep1,240,1284,-0.248833482822284,0.03,-0.0220522647981901,0.593,3,4.35735735735736,0.688490696071675,0.725,0.0466666666666667,0.735,0.999
SN84_A120838_Rep2,A120838,Rep2,853,4816,-0.278165333163522,0.001,-0.10403923504016,0.001,29,38.2092092092092,0.758979329857746,0.891,0.002,0.007,0.999
