"label","script","started","ended","duration_seconds","exit_code","log"
"01_tcga_l0","work\reproducibility\scripts\01_tcga_l0.R","2026-07-15T12:26:04.2250093+08:00","2026-07-15T12:26:11.6756169+08:00","7.451","0","work/revision_round3/reports/r461_run_logs/01_tcga_l0.log"
"03_spatial_l2","work\reproducibility\scripts\03_spatial_l2.R","2026-07-15T12:26:11.7033002+08:00","2026-07-15T12:26:17.9008508+08:00","6.198","0","work/revision_round3/reports/r461_run_logs/03_spatial_l2.log"
"cellchat_conventional","work\reproducibility\scripts\cellchat_legacy\run_cellchat_reanalysis.R","2026-07-15T12:26:17.9028522+08:00","2026-07-15T12:35:16.7573230+08:00","538.854","0","work/revision_round3/reports/r461_run_logs/cellchat_conventional.log"
"cellchat_smc20_sensitivity","work\reproducibility\scripts\cellchat_legacy\run_cellchat_smc20_sensitivity.R","2026-07-15T12:35:16.7607346+08:00","2026-07-15T12:40:17.6334870+08:00","300.873","0","work/revision_round3/reports/r461_run_logs/cellchat_smc20_sensitivity.log"
"04_nichenet_l3","work\reproducibility\scripts\04_nichenet_l3.R","2026-07-15T12:40:17.6337894+08:00","2026-07-15T12:41:10.6431257+08:00","53.009","0","work/revision_round3/reports/r461_run_logs/04_nichenet_l3.log"
"05_immune_l4","work\reproducibility\scripts\05_immune_l4.R","2026-07-15T12:41:10.6451257+08:00","2026-07-15T12:41:26.7511068+08:00","16.106","0","work/revision_round3/reports/r461_run_logs/05_immune_l4.log"
"07a_select_qi_hvg","work\reproducibility\scripts\07a_select_qi_hvg.R","2026-07-15T12:41:26.7553343+08:00","2026-07-15T12:41:42.6012175+08:00","15.846","0","work/revision_round3/reports/r461_run_logs/07a_select_qi_hvg.log"
"07c_harmony_integration","work\reproducibility\scripts\07c_harmony_integration.R","2026-07-15T12:41:42.6069301+08:00","2026-07-15T12:49:35.7858712+08:00","473.179","0","work/revision_round3/reports/r461_run_logs/07c_harmony_integration.log"
"08_rppa_validation","work\reproducibility\scripts\08_rppa_validation.R","2026-07-15T12:49:35.7925371+08:00","2026-07-15T12:49:38.2582657+08:00","2.466","0","work/revision_round3/reports/r461_run_logs/08_rppa_validation.log"
"09_pathway_tf_l3","work\reproducibility\scripts\09_pathway_tf_l3.R","2026-07-15T12:49:38.2602661+08:00","2026-07-15T12:49:43.8551504+08:00","5.595","0","work/revision_round3/reports/r461_run_logs/09_pathway_tf_l3.log"
"10_cptac_protein_validation","work\reproducibility\scripts\10_cptac_protein_validation.R","2026-07-15T12:49:43.8580885+08:00","2026-07-15T12:49:44.1087199+08:00","0.251","0","work/revision_round3/reports/r461_run_logs/10_cptac_protein_validation.log"
"12b_gse166555_statistics","work\reproducibility\scripts\12b_gse166555_statistics.R","2026-07-15T12:49:44.1114726+08:00","2026-07-15T12:50:04.7659165+08:00","20.654","0","work/revision_round3/reports/r461_run_logs/12b_gse166555_statistics.log"
"13_valdeolivas_spatial","work\reproducibility\scripts\13_valdeolivas_spatial_validation.R","2026-07-15T12:50:04.7690653+08:00","2026-07-15T12:53:00.6534634+08:00","175.884","0","work/revision_round3/reports/r461_run_logs/13_valdeolivas_spatial.log"
"14_spatial_cellchat","work\reproducibility\scripts\14_spatial_cellchat_validation.R","2026-07-15T12:53:00.6564678+08:00","2026-07-15T13:04:34.6658622+08:00","694.009","0","work/revision_round3/reports/r461_run_logs/14_spatial_cellchat.log"
"14b_spatial_cellchat_postprocess","work\reproducibility\scripts\14b_spatial_cellchat_postprocess.R","2026-07-15T13:04:34.6698241+08:00","2026-07-15T13:04:34.8980045+08:00","0.228","0","work/revision_round3/reports/r461_run_logs/14b_spatial_cellchat_postprocess.log"
"15_ualcan_cptac_parser","work\reproducibility\scripts\15_ualcan_cptac_parser.R","2026-07-15T13:04:34.8980045+08:00","2026-07-15T13:04:35.2569809+08:00","0.359","0","work/revision_round3/reports/r461_run_logs/15_ualcan_cptac_parser.log"
"17_tcga_primary_sensitivity","work\reproducibility\scripts\17_tcga_primary_tumour_sensitivity.R","2026-07-15T13:04:35.2604910+08:00","2026-07-15T13:04:37.6917414+08:00","2.431","0","work/revision_round3/reports/r461_run_logs/17_tcga_primary_sensitivity.log"
"20_regenerate_all_figures","work\reproducibility\scripts\20_regenerate_all_figures.R","2026-07-15T13:04:37.6947535+08:00","2026-07-15T13:05:02.9507602+08:00","25.256","0","work/revision_round3/reports/r461_run_logs/20_regenerate_all_figures.log"
