file,size,expected_md5,observed_md5,status
Pathology_SpotAnnotations.zip,702660,92882eb0db7c2cacc5077cb5fc9578fd,92882eb0db7c2cacc5077cb5fc9578fd,downloaded_verified
SN048_A121573_Rep1.zip,149798389,608a39f21da059024121407967a76b8a,608a39f21da059024121407967a76b8a,downloaded_verified
SN048_A121573_Rep2.zip,153572136,a9f516ca415ad68be283ef0b431c35ce,a9f516ca415ad68be283ef0b431c35ce,downloaded_verified
SN048_A416371_Rep1.zip,155662933,8aec27998074f672fcdaba6faa609da0,8aec27998074f672fcdaba6faa609da0,downloaded_verified
SN048_A416371_Rep2.zip,133062616,9a49067a4a6d89521601b562011dc02e,9a49067a4a6d89521601b562011dc02e,downloaded_verified
SN123_A551763_Rep1.zip,77094190,b26940f8bf3b3e9855b0a116825e638c,b26940f8bf3b3e9855b0a116825e638c,downloaded_verified
SN123_A595688_Rep1.zip,99165165,b5aa2ee18977b0be67a72ff2b966ab26,b5aa2ee18977b0be67a72ff2b966ab26,downloaded_verified
SN123_A798015_Rep1.zip,81914465,0e589a2c96546fff5ca21cb18d597791,0e589a2c96546fff5ca21cb18d597791,downloaded_verified
SN123_A938797_Rep1_X.zip,108570769,08e3c7fe308db62b658cacc6b4be4e1c,08e3c7fe308db62b658cacc6b4be4e1c,downloaded_verified
SN124_A551763_Rep2.zip,61982650,adf0ea575a09f473fa4ceb465a6ec66e,adf0ea575a09f473fa4ceb465a6ec66e,downloaded_verified
SN124_A595688_Rep2.zip,56124799,808ed49a24eea7d41c575d8c238caa76,808ed49a24eea7d41c575d8c238caa76,downloaded_verified
SN124_A798015_Rep2.zip,93813784,db421ccd3e1be463573be562c3266aef,db421ccd3e1be463573be562c3266aef,downloaded_verified
SN124_A938797_Rep2.zip,141363392,ee145e0f97146586baa8ef95edae05b0,ee145e0f97146586baa8ef95edae05b0,downloaded_verified
SN84_A120838_Rep1.zip,53827477,4a185c5e1bf88995ee0c03dbb4e8b63c,4a185c5e1bf88995ee0c03dbb4e8b63c,downloaded_verified
SN84_A120838_Rep2.zip,83617743,d59ffee02162ba7b900199786e536a30,d59ffee02162ba7b900199786e536a30,downloaded_verified
