program,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Telocyte_CAF,3.40607347690655e-93,8.16383248444079,0.308,0.001,1.2211454629405401e-88,telocyte-like CAF,KCNG2
Telocyte_CAF,9.64639700311317e-29,6.30421667859498,0.308,0.008,3.45842625355613e-24,telocyte-like CAF,MDFI
Telocyte_CAF,8.86744125056241e-56,5.21890709717844,0.846,0.032,3.1791550371516303e-51,telocyte-like CAF,GJB2
Telocyte_CAF,2.19274932553159e-38,5.19882438717945,0.308,0.005,7.861444881895849e-34,telocyte-like CAF,ISLR2
Telocyte_CAF,6.04516093571181e-31,5.16331397517996,0.769,0.051,2.1673110986714e-26,telocyte-like CAF,GDF15
Telocyte_CAF,1.61727655377556e-51,5.14319308742816,0.692,0.023,5.798259900596131e-47,telocyte-like CAF,ICAM4
Telocyte_CAF,8.96747800936007e-39,5.11981019139472,0.692,0.032,3.21502021591577e-34,telocyte-like CAF,FAM19A5
Telocyte_CAF,1.76887736973062e-41,5.0757279949437,0.615,0.023,6.3417791459582e-37,telocyte-like CAF,CNIH3
Telocyte_CAF,1.76554430360946e-26,5.00179932417483,0.462,0.02,6.329829437300629e-22,telocyte-like CAF,CST1
Telocyte_CAF,1.3290887970807e-25,4.75403587754211,1.0,0.114,4.76504915529372e-21,telocyte-like CAF,HTRA3
Telocyte_CAF,2.84714564086466e-16,4.69116874261489,0.923,0.159,1.0207586551628e-11,telocyte-like CAF,MMP11
Telocyte_CAF,5.32645521461804e-47,4.49457884272029,0.846,0.038,1.9096407235448598e-42,telocyte-like CAF,WNT4
Telocyte_CAF,2.42067541508768e-26,4.49331034117127,0.615,0.038,8.678605498172349e-22,telocyte-like CAF,SHISA2
Telocyte_CAF,2.10534847294394e-18,4.46355374424732,1.0,0.182,7.548095345198611e-14,telocyte-like CAF,MMP14
Telocyte_CAF,2.24820871813416e-24,4.39385026155693,0.538,0.03,8.06027789625457e-20,telocyte-like CAF,LRRC15
Telocyte_CAF,6.42360555492337e-20,4.31619430757249,0.308,0.012,2.30299106355113e-15,telocyte-like CAF,STRA6
Telocyte_CAF,4.17153793924617e-20,4.16860016060266,1.0,0.165,1.49557978197854e-15,telocyte-like CAF,IER3
Telocyte_CAF,2.16469733607728e-21,4.10536078734964,0.385,0.018,7.76087288930427e-17,telocyte-like CAF,ROBO2
Telocyte_CAF,5.39625088737847e-31,4.07041530766893,0.538,0.023,1.93466386814293e-26,telocyte-like CAF,GDNF
Telocyte_CAF,8.43244464342637e-12,4.032615942699,0.308,0.022,3.02320005356122e-07,telocyte-like CAF,HS6ST2
Telocyte_CAF,1.6751598754213599e-16,3.99769980584265,0.538,0.047,6.00578318536068e-12,telocyte-like CAF,PTGIS
Telocyte_CAF,4.3295683050716796e-18,3.97027468720177,1.0,0.189,1.5522368287343e-13,telocyte-like CAF,ISLR
Telocyte_CAF,2.6186334806233302e-20,3.90125224991489,0.538,0.037,9.38832475473075e-16,telocyte-like CAF,PCSK6
Telocyte_CAF,4.03117753465705e-08,3.89097804207276,0.462,0.075,0.0014452577697252,telocyte-like CAF,HSPA6
Telocyte_CAF,2.97827499569252e-24,3.88765085731663,0.846,0.079,1.06777115145568e-19,telocyte-like CAF,ITGA11
