program,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Troph_MMPminus,6.531374718746611e-44,5.05798160281308,0.38,0.026,2.34162846416503e-39,trophocyte-like CAF MMP-,COL11A1
Troph_MMPminus,1.24584480160108e-56,4.84482183849571,0.38,0.019,4.4666027827002e-52,trophocyte-like CAF MMP-,COL10A1
Troph_MMPminus,3.8141628858005204e-67,4.40616665995303,0.52,0.031,1.3674536778172002e-62,trophocyte-like CAF MMP-,SPOCK1
Troph_MMPminus,4.43747078568603e-68,4.13643608287084,0.94,0.13,1.59092202608416e-63,trophocyte-like CAF MMP-,THBS2
Troph_MMPminus,2.15467071420095e-75,4.07059843783462,0.82,0.079,7.72492544455323e-71,trophocyte-like CAF MMP-,FAP
Troph_MMPminus,2.23662609114268e-47,4.06375279718377,0.5,0.043,8.01875186196473e-43,trophocyte-like CAF MMP-,SFRP4
Troph_MMPminus,1.2905804738657101e-68,3.99571877658086,0.56,0.036,4.62698911490333e-64,trophocyte-like CAF MMP-,STEAP1
Troph_MMPminus,2.81491417131048e-60,3.99294749254419,0.8,0.096,1.00920302869823e-55,trophocyte-like CAF MMP-,CTHRC1
Troph_MMPminus,9.74447594744209e-27,3.81769522979646,0.26,0.02,3.49358951667694e-22,trophocyte-like CAF MMP-,CYP1B1
Troph_MMPminus,2.7500290939545e-67,3.77513582508777,0.82,0.088,9.859404307645671e-63,trophocyte-like CAF MMP-,COL8A1
Troph_MMPminus,2.34027309189886e-32,3.71935806646154,0.4,0.041,8.39034708907578e-28,trophocyte-like CAF MMP-,CHI3L1
Troph_MMPminus,3.34315611008748e-33,3.68248535529726,0.3,0.021,1.19858832858856e-28,trophocyte-like CAF MMP-,PRRX2
Troph_MMPminus,7.83757446660858e-24,3.59298556111359,0.3,0.031,2.8099271977685103e-19,trophocyte-like CAF MMP-,GJB2
Troph_MMPminus,1.5773434243247202e-35,3.54607484314688,0.4,0.036,5.65509164488898e-31,trophocyte-like CAF MMP-,AHNAK2
Troph_MMPminus,4.0830508546553496e-57,3.53603319096941,0.76,0.085,1.46385539241104e-52,trophocyte-like CAF MMP-,FNDC1
Troph_MMPminus,8.5705249608363e-38,3.5360089021072,0.4,0.034,3.07270460895903e-33,trophocyte-like CAF MMP-,CLIC6
Troph_MMPminus,4.81664028560492e-47,3.52004161516697,0.42,0.029,1.72686187519508e-42,trophocyte-like CAF MMP-,RP11-166D19.1
Troph_MMPminus,5.37953942575975e-29,3.46109022203138,0.32,0.028,1.92867247492339e-24,trophocyte-like CAF MMP-,ZFHX4
Troph_MMPminus,2.79430769450844e-27,3.4529052766124,0.52,0.084,1.00181519463516e-22,trophocyte-like CAF MMP-,ADAM12
Troph_MMPminus,5.614974575205621e-23,3.41822414903342,0.28,0.028,2.01308068470272e-18,trophocyte-like CAF MMP-,LRRC15
Troph_MMPminus,1.02129349900613e-49,3.38468529743224,0.88,0.15,3.66154145263678e-45,trophocyte-like CAF MMP-,PLXDC2
Troph_MMPminus,1.00034974268633e-25,3.35409356071199,0.4,0.051,3.58645389747901e-21,trophocyte-like CAF MMP-,TGFB3
Troph_MMPminus,1.82664499676402e-44,3.30324888704006,0.58,0.062,6.54888764239836e-40,trophocyte-like CAF MMP-,LSAMP
Troph_MMPminus,1.41466725916879e-40,3.28937330381225,0.3,0.017,5.07186505757194e-36,trophocyte-like CAF MMP-,TENM3
Troph_MMPminus,1.2413813523476501e-20,3.25387791027899,0.48,0.086,4.4506004244368e-16,trophocyte-like CAF MMP-,APOD
Troph_MMPminus,4.17298828815116e-48,3.22366070442551,0.8,0.121,1.49609976106795e-43,trophocyte-like CAF MMP-,MFAP2
Troph_MMPminus,2.1933255045185098e-30,3.21560952150149,0.42,0.048,7.863510598799749e-26,trophocyte-like CAF MMP-,KIF26B
Troph_MMPminus,3.00944089097181e-40,3.18679014133582,0.94,0.247,1.0789447482312101e-35,trophocyte-like CAF MMP-,CTSK
Troph_MMPminus,3.88853495393258e-41,3.18671083381308,0.96,0.228,1.3941175516839099e-36,trophocyte-like CAF MMP-,SULF1
Troph_MMPminus,2.42714377956569e-38,3.17605318281359,0.64,0.091,8.7017958784989e-34,trophocyte-like CAF MMP-,ALDH1A3
Troph_MMPminus,8.25817458270569e-18,3.16232861070863,0.26,0.031,2.96072075139164e-13,trophocyte-like CAF MMP-,SERTAD4
Troph_MMPminus,8.69125282229658e-37,3.09713298259126,0.58,0.076,3.11598796184977e-32,trophocyte-like CAF MMP-,MOXD1
Troph_MMPminus,5.96027378167644e-23,3.088155782703,0.26,0.024,2.13687735620664e-18,trophocyte-like CAF MMP-,GPR133
Troph_MMPminus,5.42953106985931e-27,3.07731111065814,0.56,0.1,1.94659547916596e-22,trophocyte-like CAF MMP-,SH3PXD2B
Troph_MMPminus,1.10450317205421e-35,3.06173194338473,0.96,0.261,3.95986477244876e-31,trophocyte-like CAF MMP-,MMP2
Troph_MMPminus,2.0690598531650902e-20,3.0429493511068,0.38,0.056,7.41799338556749e-16,trophocyte-like CAF MMP-,BHLHE41
Troph_MMPminus,2.8468353245816298e-30,3.0321032059814,0.52,0.072,1.0206474005690101e-25,trophocyte-like CAF MMP-,FGF7
Troph_MMPminus,2.82436287352424e-35,3.03170469085955,0.5,0.057,1.0125905774159099e-30,trophocyte-like CAF MMP-,STEAP2
Troph_MMPminus,1.17880195660988e-25,3.02292285670255,0.6,0.117,4.22624077483774e-21,trophocyte-like CAF MMP-,ASPN
Troph_MMPminus,6.586406068900149e-33,3.02157053603067,0.94,0.281,2.3613583038220797e-28,trophocyte-like CAF MMP-,ANTXR1
