program,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Troph_MMPplus,1.4391080119414799e-96,6.29101610053779,0.548,0.019,5.1594900444125895e-92,trophocyte-like CAF MMP+,MMP1
Troph_MMPplus,5.23270461574545e-85,6.25008369085517,0.452,0.014,1.87602925883706e-80,trophocyte-like CAF MMP+,MMP3
Troph_MMPplus,7.06265743139406e-142,5.69269956986462,0.643,0.015,2.5321039423034e-137,trophocyte-like CAF MMP+,COL10A1
Troph_MMPplus,1.3084044362974702e-67,5.37013933399517,0.286,0.006,4.6908915850137e-63,trophocyte-like CAF MMP+,RP11-863P13.3
Troph_MMPplus,6.511205437350301e-66,4.96902994817957,0.429,0.017,2.3343973733988302e-61,trophocyte-like CAF MMP+,PODNL1
Troph_MMPplus,1.5269629247924e-22,4.70478695253904,0.405,0.054,5.47446747796572e-18,trophocyte-like CAF MMP+,CXCL1
Troph_MMPplus,8.32409148992609e-37,4.68397769299195,0.31,0.017,2.9843532809683004e-32,trophocyte-like CAF MMP+,CRABP2
Troph_MMPplus,4.01914447118763e-81,4.36240786393706,0.619,0.031,1.44094367581019e-76,trophocyte-like CAF MMP+,SPOCK1
Troph_MMPplus,3.78396934682977e-39,4.36030485322005,0.31,0.016,1.35662869022541e-34,trophocyte-like CAF MMP+,TENM4
Troph_MMPplus,3.2740466188539e-65,4.35638539474397,0.786,0.071,1.1738111937915001e-60,trophocyte-like CAF MMP+,ITGA11
Troph_MMPplus,3.59121967751517e-54,4.32173167629862,0.857,0.113,1.2875240787827398e-49,trophocyte-like CAF MMP+,INHBA
Troph_MMPplus,1.01463949077309e-68,4.31302200141852,0.976,0.12,3.63768550231967e-64,trophocyte-like CAF MMP+,MFAP2
Troph_MMPplus,5.71351189654922e-70,4.29870747150957,0.429,0.016,2.0484082851508302e-65,trophocyte-like CAF MMP+,SYNDIG1
Troph_MMPplus,1.68174946182151e-58,4.15586649857567,0.476,0.025,6.02940817052249e-54,trophocyte-like CAF MMP+,LRRC15
