draw,r,mean_fisher_z
0,0.13050384817533453,0.13125239380998655
1,0.11536432493459665,0.115880242843252
2,0.1353328298156424,0.1361682352614316
3,0.13431063800333642,0.135127119087241
4,0.10133308211434304,0.10168207747895992
5,0.09031496665311611,0.09056173565857652
6,0.19614104448231984,0.19871601619876386
7,0.17588883073951128,0.17773707867281363
8,0.14511726851845386,0.1461490126479853
9,0.22089467579668284,0.22459648434048876
10,0.13955447877099023,0.1404711769298896
11,0.12123214227745208,0.1218313609876345
12,0.16128667018641218,0.1627074502720843
13,0.12899124829018452,0.12971389384721704
14,0.19388436858161337,0.1963701250069491
15,0.07567913913445486,0.07582411751941977
16,0.13299851070769814,0.13379112601325238
17,0.17485280057645114,0.17666817433130774
18,0.041933844344998375,0.04195844979579739
19,0.16129772904634132,0.16271880451460446
20,0.09539563049848525,0.09568659802049202
21,0.16002676807677269,0.16141416759543842
22,0.081204256162022,0.08138345620619428
23,0.10375432369273292,0.1041290507437995
24,0.1688414636397503,0.1704738903653806
25,0.09006270217587851,0.09030740242686387
26,0.3052842713977201,0.3153366951127166
27,0.0935547587566016,0.09382914693963965
28,0.22028675849175366,0.22395747252804785
29,0.09538421218307805,0.09567507485305209
30,0.2597208826579269,0.26580907651345176
31,0.07612330887071433,0.07627086095022502
32,0.1721668415713254,0.1738988408477776
33,0.11785171356692865,0.11840192119265729
34,0.2590798269624997,0.2651217731446714
35,0.22897134206335032,0.23310362425064296
36,0.07074915986606332,0.07086755929867425
37,0.061293493948070876,0.06137042512316072
38,0.15908595476357792,0.1604487770671005
39,0.07624224401982649,0.07639049040676688
40,0.21622834913530675,0.21969605787042587
41,0.13575185248193422,0.13659510017986135
42,0.24010174302257273,0.24488207706860388
43,0.1311435951046571,0.13190328059015424
44,0.06759196968290873,0.067695188006605
45,0.26123906315424167,0.26743776352842547
46,-0.0048554855354427506,-0.004855523693203682
47,0.17543300111564766,0.17726673578334082
48,0.10425176974808759,0.10463193633927063
49,0.08258976886722921,0.0827783246918023
50,0.0658487417644162,0.06594416477144903
51,0.1724610481817707,0.17420205038731204
52,0.20568483780058375,0.20866135119887988
53,0.21942667551315498,0.22305370404703048
54,0.1097111601676211,0.11015454758342176
55,0.2694956867440944,0.2763199339189847
56,0.1415800918343563,0.14253762197865455
57,0.057273910402736175,0.0573366591682919
58,0.027270022047056437,0.02727678488609716
59,0.054978291026366484,0.05503378439175432
60,0.09168660340901018,0.09194482620901656
61,0.17771713519982835,0.1796243794170248
62,0.20647956434974543,0.20949132675649854
63,0.1692237750510718,0.17086744647769156
64,0.07392118888466687,0.07405627561456166
65,0.031209337203516443,0.03121947599735352
66,0.11123333495775736,0.11169552900409709
67,0.1277304487527802,0.12843197254271768
68,0.11390825625277361,0.1144047841776139
69,0.08391079781009357,0.08410857326716832
70,0.26790534946534156,0.27460583853381243
71,0.22922903231253902,0.2333755890919487
72,0.1860741828209612,0.18826744909578422
73,0.1615372337474523,0.16296471660488798
74,0.13622759663681783,0.13707980814849519
75,0.07942926614455365,0.07959694128900766
76,0.23366696622504995,0.23806472067042594
77,0.09497283969730386,0.0952599416898938
78,0.2016060473053098,0.20440608150982253
79,0.21067091419472245,0.2138733166526085
80,0.06101294296895759,0.06108882102277676
81,0.20325430214723317,0.20612476497658497
82,0.14310538419263147,0.1440944584356491
83,0.18483758561343416,0.18698680538946283
84,0.09630589086562982,0.09660529889675287
85,0.120242096130556,0.12082666890322782
86,0.13681960054242118,0.13768305582121304
87,0.17104369605981656,0.17274161684111897
88,0.23241322691381758,0.23673898342267025
89,0.09705413324006455,0.09736060113647026
90,0.15244505628020594,0.15364271636187712
91,0.05036858111996502,0.050411241004298314
92,0.20308335682059106,0.20594645963774477
93,0.1897622162190394,0.19209049151319438
94,0.13026690465267216,0.13101135250036228
95,0.031117674719553845,0.03112772440747587
96,0.18016790329887125,0.1821562195485272
97,0.23277932557708825,0.23712602123464852
98,0.2050330930780357,0.2079809107041388
99,0.18173602421948842,0.1837774249695458
100,0.19321789796510253,0.1956777152790714
101,0.11348968407981845,0.11398073005723801
102,0.044381401169138815,0.04441057513380186
103,0.12219791019989662,0.12281165155209685
104,0.17240300285473475,0.1741422263231165
105,0.17862078529391742,0.180557655670844
106,-0.050722510119139946,-0.05076607655960798
107,0.019441568192212988,0.01944401822068305
108,0.08131063270054895,0.08149053979336543
109,0.20154927220954594,0.2043469017292967
110,0.043966249836214256,0.043994612115045205
111,0.09592257961824678,0.09621841361906908
112,0.13861212529438005,0.13951023475261565
113,0.18526507718610571,0.18742945506315625
114,0.14076036990036403,0.14170123154046957
115,0.04378522223940473,0.0438132353529207
116,0.23221848314801083,0.23653312958954806
117,-0.02339926608345377,-0.023403538053098655
118,0.13455637148735802,0.13537737529468924
119,0.12818793291408948,0.12889707204473172
120,0.13785195036885875,0.1387352513289902
121,0.03050341618867847,0.030512882193807225
122,0.2109898235534842,0.21420706075464566
123,0.11711596249081858,0.11765587278350356
124,0.19899427094774982,0.2016851387032191
125,0.10102696232085287,0.10137279139859548
126,0.08463500495205876,0.0848379604930427
127,0.23332000761310132,0.23769775539775848
128,0.09451907606725703,0.09480206781105689
129,0.26453874585219483,0.27098242391937066
130,0.19985846351797074,0.2025851245647859
131,0.0422152394645456,0.04224034394514957
132,0.13343119675412368,0.13423162932572144
133,0.30790241928680323,0.3182264839874041
134,0.11028355518835424,0.11073395309057532
135,0.0896513567252488,0.08989270861385487
136,0.13194891957221194,0.13272278617211533
137,0.063567884386619,0.06365371589482229
138,0.1464597614193933,0.14752065914679544
139,0.07627264566033316,0.07642106987292313
140,0.13406941493950011,0.13488147267624204
141,0.10778221862779838,0.10820252105112563
142,0.11655363573800098,0.11708576381632717
143,0.08928443415269438,0.08952282530447092
144,0.20570837932815098,0.20868593280094305
145,0.2118102818375173,0.215065900634901
146,0.21909022631377464,0.22270026344532934
147,0.1368044852514592,0.1376676522126674
148,0.18588018659003505,0.18806650262543564
149,0.04448281497841183,0.044512189551588775
150,0.04561331941335761,0.04564499293819983
151,0.17525779176103928,0.1770859685576342
152,0.08034966881590495,0.08052325607129109
153,0.15515484416878308,0.1564181575786078
154,0.08803194435252512,0.08826041242222558
155,0.07815531434616615,0.07831503092494184
156,0.1921185101258288,0.19453594355688955
157,0.047692841462194005,0.047729051719215515
158,0.07759742639438705,0.077753738874036
159,0.0680963260846909,0.06820187662006764
160,0.2373491182862544,0.24196309791426515
161,0.2300706867098913,0.23426410293659553
162,0.030555655324289693,0.03056517006447376
163,0.14908378965530736,0.15020326783778895
164,0.14729198871198546,0.14837123557203113
165,0.0897846650109535,0.09002709864835566
166,0.07006426013101226,0.07017924750246275
167,0.17692662001780785,0.17880820105122158
168,0.08027180145235752,0.08044488321735858
169,0.15735608525883277,0.15867448975907744
170,0.21140366266997954,0.2146402205665817
171,0.17569114900888388,0.17753309336279877
172,0.12861531572860807,0.12933161923591038
173,0.061343828109915795,0.06142094925464894
174,0.1830086773752516,0.18509386261480498
175,0.14057314950234118,0.14151023180383357
176,0.18202541325528965,0.1840767146900057
177,0.16291490889382354,0.16437962866179612
178,0.30018017215229653,0.3097176073427234
179,0.2542271133609758,0.2599268517889945
180,0.2218142609144252,0.22556344866566747
181,0.13389163042877975,0.13470043845953025
