gene,mean_log1p_CP10K,detection_fraction,sd_log1p_CP10K
LINC00115,0.007492052004148434,0.009125475285171103,0.09184515283114143
FAM41C,0.0009610370971551182,0.0007604562737642585,0.03485001976000103
AL645608.1,0.03182763468171718,0.03269961977186312,0.1924931707613331
NOC2L,0.1596939751927554,0.18250950570342206,0.380612743854669
PERM1,0.004056721142401478,0.0045627376425855515,0.06496171404516674
AL645608.8,0.025039911099203872,0.030418250950570342,0.1575422492770553
HES4,0.6012676583984411,0.4418250950570342,0.8059013891159106
RNF223,0.0008880436582567638,0.0007604562737642585,0.03220306388754995
C1orf159,0.03936873002324734,0.045627376425855515,0.2046710873400214
TTLL10-AS1,0.0,0.0,0.0
TNFRSF18,0.03166583789377196,0.0349809885931559,0.19637115215514328
TNFRSF4,0.04012625520379103,0.0403041825095057,0.22271957782603466
SDF4,0.7464771915147115,0.6114068441064638,0.6755197367918145
C1QTNF12,0.018600760492036142,0.01977186311787072,0.14195221951107717
AL162741.1,0.0012404751825258054,0.001520912547528517,0.033696076902525914
UBE2J2,0.23128532877027405,0.2631178707224335,0.4385140156104396
ACAP3,0.12477421226845223,0.1452471482889734,0.3374765390955861
INTS11,0.2653202028167412,0.28669201520912546,0.481529460076718
DVL1,0.12109130855574068,0.1399239543726236,0.33866862975105355
MXRA8,1.1684673622319215,0.694296577946768,0.9052524240657991
AURKAIP1,0.7382931461369436,0.6045627376425855,0.6789505351409238
CCNL2,0.35745417076851976,0.3467680608365019,0.5747588633034255
MRPL20,0.7670502958422628,0.6243346007604563,0.690585384163078
ANKRD65,0.16029791570926782,0.17490494296577946,0.39001133712343866
LINC01770,0.0043324224723945825,0.00532319391634981,0.06199272285258282
SSU72,0.5490720299962586,0.5003802281368821,0.6117739670436207
FNDC10,0.04332113230963755,0.05399239543726236,0.20407000118495802
AL691432.2,0.027990696226383484,0.03878326996197719,0.15114757752329303
CDK11B,0.18544152022405483,0.20228136882129277,0.41649871898179236
SLC35E2B,0.01025244065915682,0.012167300380228136,0.09947340424181288
CDK11A,0.12937114199872207,0.14372623574144486,0.3513378680948419
SLC35E2A,0.006485639867207658,0.01064638783269962,0.0671992441766561
NADK,0.026191625776589428,0.034220532319391636,0.15253969475538262
GNB1,0.7781772762385168,0.617490494296578,0.7006961550527192
TMEM52,0.005225435577854632,0.008365019011406844,0.0618150804122697
CFAP74,0.000493250853664824,0.0007604562737642585,0.01788672055193509
AL391845.2,0.0,0.0,0.0
AL391845.1,0.0,0.0,0.0
AL590822.2,0.0018881714261503395,0.0022813688212927757,0.04055642025601468
PRKCZ-AS1,0.003763432692785581,0.00532319391634981,0.05645389441237513
FAAP20,0.2773713193780832,0.2920152091254753,0.4899821114767576
MORN1,0.005406881452847842,0.006844106463878327,0.07076205417579867
PEX10,0.06247339696745999,0.08745247148288973,0.2260917191941755
PANK4,0.04812678490524855,0.05931558935361217,0.21644086777307892
HES5,0.004067566950263205,0.006083650190114068,0.05366993855635922
TNFRSF14-AS1,0.0042614400641403415,0.00532319391634981,0.06394808132817899
MMEL1,0.0037307558734725613,0.0038022813688212928,0.06309236628571276
