cohort,program,target,model,patients,rho,ci_low,ci_high,p,bootstrap,q
TCGA-COAD/READ,Troph_MMPplus,SenMayo,marginal,380,0.8139818725964351,0.7694259247977547,0.8470900322373538,3.3828592937482425e-91,5000,5.074288940622364e-91
TCGA-COAD/READ,Troph_MMPplus,SenMayo,fib5_adjusted,380,0.342570564992044,0.23787133701790505,0.43961790730589856,7.099253448885207e-12,5000,1.2778656207993374e-11
TCGA-COAD/READ,Troph_MMPplus,FAP13,marginal,380,0.9643019834296855,0.9542973025518808,0.97079758221855,3.1239232862192915e-220,5000,2.8115309575973624e-219
TCGA-COAD/READ,Troph_MMPplus,FAP13,fib5_adjusted,380,0.7299224627577982,0.6681848175013325,0.7788890042940962,2.8366279310361756e-64,5000,1.276482568966279e-63
TCGA-COAD/READ,Troph_MMPplus,matrix4,marginal,380,0.9453133696435425,0.930740864329156,0.9556311073038514,5.197137808472588e-186,5000,1.5591413425417762e-185
TCGA-COAD/READ,Troph_MMPplus,matrix4,fib5_adjusted,380,0.7398900209019259,0.6847722528701763,0.7840967135850976,6.89966414485102e-67,5000,6.209697730365919e-66
TCGA-COAD/READ,Troph_MMPminus,SenMayo,marginal,380,0.7731767350772585,0.7237154966234278,0.8134501822781992,9.182292696353e-77,5000,1.0330079283397124e-76
TCGA-COAD/READ,Troph_MMPminus,SenMayo,fib5_adjusted,380,0.08766908400268303,-0.014116615623196334,0.19454189097994934,0.08831006362126828,5000,0.11354151037020208
TCGA-COAD/READ,Troph_MMPminus,FAP13,marginal,380,0.963188183618417,0.9521349137567812,0.9703560318953179,9.34332663871321e-218,5000,4.2044969874209445e-217
TCGA-COAD/READ,Troph_MMPminus,FAP13,fib5_adjusted,380,0.6283680848021641,0.5510726830801715,0.6953572927651562,4.9566833852925845e-43,5000,1.1152537616908315e-42
TCGA-COAD/READ,Troph_MMPminus,matrix4,marginal,380,0.9267798545040223,0.9086914320158973,0.940321871207464,7.837727906287085e-163,5000,1.7634887789145942e-162
TCGA-COAD/READ,Troph_MMPminus,matrix4,fib5_adjusted,380,0.6340989862516934,0.5638138617361413,0.6914903600368726,5.08918908368963e-44,5000,1.5267567251068892e-43
TCGA-COAD/READ,Telocyte_CAF,SenMayo,marginal,380,0.7375762552663836,0.6825572915384497,0.7822095852029418,1.9281045198624085e-66,5000,1.9281045198624085e-66
TCGA-COAD/READ,Telocyte_CAF,SenMayo,fib5_adjusted,380,0.06733384079183295,-0.044370257613844784,0.17604153051237093,0.19087165103362008,5000,0.2147306074128226
TCGA-COAD/READ,Telocyte_CAF,FAP13,marginal,380,0.8841473242452109,0.8559601316896902,0.9055713741568817,5.508316491316613e-127,5000,9.914969684369905e-127
TCGA-COAD/READ,Telocyte_CAF,FAP13,fib5_adjusted,380,0.19491118343465025,0.07491478122613793,0.31399498993278335,0.00013417399448079122,5000,0.00020126099172118681
TCGA-COAD/READ,Telocyte_CAF,matrix4,marginal,380,0.789320599610509,0.7438182361686415,0.8262431718144833,4.341093967320929e-82,5000,5.581406529412623e-82
TCGA-COAD/READ,Telocyte_CAF,matrix4,fib5_adjusted,380,-0.01360091104442302,-0.11867391456953241,0.10281346484081662,0.7918422806439271,5000,0.7918422806439271
