cohort,program,feature,target_mean,null_mean,median_abs_difference,max_abs_difference,fraction_draws_abs_difference_gt_0_1
GSE132465,Troph_MMPplus,mean_expression,1.7576061221772865,1.6167957644025042,0.14401305373326923,0.20595121663533544,0.89
GSE132465,Troph_MMPplus,detection_fraction,2.064139798254721,2.179275106586696,0.1154607030845134,0.158060400241415,0.865
GSE132465,Troph_MMPminus,mean_expression,1.4854968018507089,1.3887261726149436,0.09754404139884898,0.15338641904365513,0.451
GSE132465,Troph_MMPminus,detection_fraction,1.913462926676696,2.0037647284465576,0.09071359806095325,0.12629547346057746,0.203
GSE132465,Telocyte_CAF,mean_expression,1.0070275298042688,0.9113792435858905,0.09985713236668836,0.14992702709936645,0.497
GSE132465,Telocyte_CAF,detection_fraction,1.2561855052895932,1.3221113606887516,0.06667188815465319,0.09817960659413338,0.0
GSE166555,Troph_MMPplus,mean_expression,1.4149640544454358,1.3116387364008277,0.10340619787022631,0.15893978596164682,0.571
GSE166555,Troph_MMPplus,detection_fraction,1.5909150843709985,1.685847589758545,0.09511283693986283,0.138269105870235,0.383
GSE166555,Troph_MMPminus,mean_expression,1.480337446180206,1.3836439414863102,0.0969159030106258,0.14358225071156272,0.436
GSE166555,Troph_MMPminus,detection_fraction,1.6928926402220075,1.7912937434271605,0.09889034017090736,0.1522228582400691,0.473
GSE166555,Telocyte_CAF,mean_expression,0.9808320553823431,0.9164225828294211,0.06616258135484071,0.1099026895841605,0.005
GSE166555,Telocyte_CAF,detection_fraction,1.1913879404288803,1.2451702397183502,0.05443960354228372,0.08743911652650493,0.0
