cohort,program,variant,model,patient,r,design_rank,n_cells
GSE132465,Troph_MMPplus,purged,adjusted,SMC01,-0.05746625355342084,3,93
GSE132465,Troph_MMPplus,purged,adjusted,SMC02,-0.00198272553282437,3,64
GSE132465,Troph_MMPplus,purged,adjusted,SMC03,-0.17836389354614074,3,180
GSE132465,Troph_MMPplus,purged,adjusted,SMC04,-0.34859039860435226,3,39
GSE132465,Troph_MMPplus,purged,adjusted,SMC06,0.32254569419684964,3,67
GSE132465,Troph_MMPplus,purged,adjusted,SMC07,0.13722337550893401,3,66
GSE132465,Troph_MMPplus,purged,adjusted,SMC08,0.2072923694971061,3,126
GSE132465,Troph_MMPplus,purged,adjusted,SMC10,-0.08966714735445487,3,93
GSE132465,Troph_MMPplus,purged,adjusted,SMC11,0.1178899799846298,3,22
GSE132465,Troph_MMPplus,purged,adjusted,SMC14,-0.015837676696748675,3,137
GSE132465,Troph_MMPplus,purged,adjusted,SMC15,-0.0534738734913805,3,115
GSE132465,Troph_MMPplus,purged,adjusted,SMC17,0.03266319248269691,3,76
GSE132465,Troph_MMPplus,purged,adjusted,SMC19,0.08482519297579476,2,24
GSE132465,Troph_MMPplus,purged,adjusted,SMC20,0.08488550407331892,3,305
GSE132465,Troph_MMPplus,purged,adjusted,SMC24,0.14377848015253697,2,28
GSE132465,Troph_MMPminus,purged,adjusted,SMC01,-0.05095549239702806,3,93
GSE132465,Troph_MMPminus,purged,adjusted,SMC02,-0.013703684546714083,3,64
GSE132465,Troph_MMPminus,purged,adjusted,SMC03,-0.10516343932861345,3,180
GSE132465,Troph_MMPminus,purged,adjusted,SMC04,-0.47469624156589724,3,39
GSE132465,Troph_MMPminus,purged,adjusted,SMC06,0.08656318421684109,3,67
GSE132465,Troph_MMPminus,purged,adjusted,SMC07,0.14993780824161704,3,66
GSE132465,Troph_MMPminus,purged,adjusted,SMC08,-0.05126099247151218,3,126
GSE132465,Troph_MMPminus,purged,adjusted,SMC10,-0.09427587623527842,3,93
GSE132465,Troph_MMPminus,purged,adjusted,SMC11,0.09273647924022516,3,22
GSE132465,Troph_MMPminus,purged,adjusted,SMC14,-0.03734195540093634,3,137
GSE132465,Troph_MMPminus,purged,adjusted,SMC15,-0.004150916899183224,3,115
GSE132465,Troph_MMPminus,purged,adjusted,SMC17,-0.054444179618811116,3,76
GSE132465,Troph_MMPminus,purged,adjusted,SMC19,-0.15664260261781268,2,24
GSE132465,Troph_MMPminus,purged,adjusted,SMC20,-0.057397496322905146,3,305
GSE132465,Troph_MMPminus,purged,adjusted,SMC24,-0.2010106817530279,2,28
GSE132465,Telocyte_CAF,purged,adjusted,SMC01,0.12099211945524091,3,93
GSE132465,Telocyte_CAF,purged,adjusted,SMC02,0.012711297412775421,3,64
GSE132465,Telocyte_CAF,purged,adjusted,SMC03,0.48604256053747574,3,180
GSE132465,Telocyte_CAF,purged,adjusted,SMC04,-0.3449628974305822,3,39
GSE132465,Telocyte_CAF,purged,adjusted,SMC06,0.0952596979896741,3,67
GSE132465,Telocyte_CAF,purged,adjusted,SMC07,0.2402409900562848,3,66
GSE132465,Telocyte_CAF,purged,adjusted,SMC08,0.0838549738445377,3,126
GSE132465,Telocyte_CAF,purged,adjusted,SMC10,-0.055139353072304054,3,93
GSE132465,Telocyte_CAF,purged,adjusted,SMC11,0.2720137110927196,3,22
GSE132465,Telocyte_CAF,purged,adjusted,SMC14,0.06016252926475716,3,137
GSE132465,Telocyte_CAF,purged,adjusted,SMC15,0.10181556828161915,3,115
GSE132465,Telocyte_CAF,purged,adjusted,SMC17,0.051753243371783185,3,76
GSE132465,Telocyte_CAF,purged,adjusted,SMC19,-0.30133668910622474,2,24
