cohort,program,genes,nonconstant_genes,median_detection,median_expression
GSE132465,SenMayo,114,113,0.20313588850174216,0.15194301747389077
GSE132465,Troph_MMPplus_source,98,98,0.45958188153310103,0.5090762955353088
GSE132465,Troph_MMPplus_purged,82,82,0.4209059233449477,0.45293481849550576
GSE132465,Troph_MMPminus_source,98,98,0.41533101045296167,0.4226961410921197
GSE132465,Troph_MMPminus_purged,86,86,0.37630662020905925,0.34958981901469416
GSE132465,Telocyte_CAF_source,95,95,0.221602787456446,0.18317514890180822
GSE132465,Telocyte_CAF_purged,85,85,0.18257839721254354,0.13988077520004727
GSE166555,SenMayo,114,107,0.11254752851711027,0.1339964800637665
GSE166555,Troph_MMPplus_source,98,98,0.2908745247148289,0.3614640301656943
GSE166555,Troph_MMPplus_purged,82,82,0.2908745247148289,0.3413783470963173
GSE166555,Troph_MMPminus_source,98,98,0.31406844106463877,0.3971921062939555
GSE166555,Troph_MMPminus_purged,86,86,0.30304182509505706,0.34432190583632605
GSE166555,Telocyte_CAF_source,95,95,0.17642585551330797,0.18469179676942135
GSE166555,Telocyte_CAF_purged,85,85,0.16730038022813687,0.17620136171549042
