cohort,program,variant,model,outcome,cells,r,ci_low,ci_high,p,p_signflip,patients,positive_patients,negative_patients,loo_min,loo_max,q
GSE132465,Troph_MMPplus,purged,adjusted,common_SenMayo,1435,0.025729144663303345,-0.0589958517487827,0.10599920673799457,0.5624819612293182,0.5606287874242515,15,8,7,0.003681166311974599,0.053510313237441376,0.5624819612293182
GSE132465,Troph_MMPminus,purged,adjusted,common_SenMayo,1435,-0.06766793384336375,-0.1482398747932568,-0.0005868579521057098,0.11240234921315312,0.09207815843683126,15,3,12,-0.08321067117965592,-0.035731724633253574,0.33720704763945936
GSE132465,Telocyte_CAF,purged,adjusted,common_SenMayo,1435,0.0627910067581795,-0.04354971863114442,0.16652371572132735,0.27443503339233855,0.28051438971220577,15,12,3,0.029437218957667537,0.09279092838534435,0.4116525500885078
GSE132465,Troph_MMPplus,purged,unadjusted,common_SenMayo,1435,0.27960304615148346,0.18849492576682417,0.3745130066626205,0.00010240746133172132,5.999880002399952e-05,15,15,0,0.24890183231555246,0.29786823436168364,0.0002862831731551874
GSE132465,Troph_MMPminus,purged,unadjusted,common_SenMayo,1435,0.18587892361706,0.097107798842664,0.27075357822707025,0.0014238331476360956,0.0011799764004719905,15,13,2,0.16377555995412899,0.2070639688629096,0.0014238331476360956
GSE132465,Telocyte_CAF,purged,unadjusted,common_SenMayo,1435,0.2534459246748391,0.16141055431407395,0.3426533618977505,0.00019085544877012496,0.00031999360012799745,15,14,1,0.22398959050237305,0.280601635639663,0.0002862831731551874
GSE132465,Troph_MMPplus,purged,subtype_adjusted,common_SenMayo,1435,0.10575216509057113,0.003250248339276545,0.1948314937999871,0.052753772890366334,0.053058938821223575,15,11,4,0.08304277318176197,0.14244496065797654,0.158261318671099
GSE132465,Troph_MMPminus,purged,subtype_adjusted,common_SenMayo,1435,-0.009750999230348162,-0.10249648808672596,0.06672130206332677,0.8324761029076634,0.8695826083478331,15,6,9,-0.02674808283340255,0.02724347585902576,0.8324761029076634
GSE132465,Telocyte_CAF,purged,subtype_adjusted,common_SenMayo,1435,0.04030239389644137,-0.028462823461892342,0.09793166956442582,0.2515821870550128,0.24935501289974202,15,11,4,0.026950377718772164,0.062170794908675525,0.3773732805825192
GSE132465,Troph_MMPplus,source,adjusted,common_SenMayo,1435,0.1718960253605445,0.08531848899581637,0.2559875793737147,0.002020117573716663,0.0022999540009199814,15,12,3,0.14522558551312997,0.19319863721248412,0.0060603527211499884
GSE132465,Troph_MMPminus,source,adjusted,common_SenMayo,1435,0.0008315179090205037,-0.07962981258744659,0.07422841060887415,0.983902046308348,0.9842603147937041,15,9,6,-0.01792179070023672,0.0302723773437943,0.983902046308348
GSE132465,Telocyte_CAF,source,adjusted,common_SenMayo,1435,0.16567644036711432,0.057709127123125696,0.26530614835223876,0.01082164636438909,0.010999780004399912,15,13,2,0.1322599221352896,0.1959127157326811,0.016232469546583635
