"draw","median_patient_mean_difference"
1,-0.13827036187394
2,-0.113208382780872
3,-0.0954233689068865
4,-0.103461942644836
5,-0.093391776175825
6,-0.105378164988454
7,-0.119724218543261
8,-0.12051108562968
9,-0.120438431744962
10,-0.118670590817121
11,-0.111087690698045
12,-0.0880079718603903
13,-0.133193315200193
14,-0.118291397463007
15,-0.128201147336436
16,-0.0892751069016756
17,-0.110220514758305
18,-0.106021070190569
19,-0.106819169491824
20,-0.10648011714472
21,-0.104233531417546
22,-0.117347107609267
23,-0.124737236144182
24,-0.0929022761568176
25,-0.106944049546169
26,-0.104338389330378
27,-0.117047196599694
28,-0.0933169876005335
29,-0.0947183798849844
30,-0.101691444277951
31,-0.0912354042480188
32,-0.131083586936158
33,-0.116795521263843
34,-0.0978057111401614
35,-0.0872166070358025
36,-0.113754227035154
37,-0.112609793578001
38,-0.121791645368445
39,-0.097326185619289
40,-0.0681536489849144
41,-0.0951651144478119
42,-0.103097881171528
43,-0.102631775999952
44,-0.112400855911723
45,-0.120888248310257
46,-0.106382389138518
47,-0.120421158357268
48,-0.10407666843139
49,-0.133879747236636
50,-0.126790650236132
51,-0.108237631434026
52,-0.0849517339456618
53,-0.105635851030448
54,-0.0944207491710642
55,-0.099440488856683
56,-0.132778790191444
57,-0.102303915426479
58,-0.099932506920817
59,-0.112691398176634
60,-0.112714770189204
61,-0.0968114358588226
62,-0.142744505497994
63,-0.0882723261479213
64,-0.114893323263065
65,-0.117766885967895
66,-0.106636177924701
67,-0.116268706029442
68,-0.0716030259555561
69,-0.0891214785720022
70,-0.109234663808637
71,-0.0944643206726454
72,-0.106636853741675
73,-0.112138815048717
74,-0.105851076513748
75,-0.102847298948357
76,-0.101950326723599
77,-0.124191774283281
78,-0.112321115266349
79,-0.120472199701371
80,-0.1014475842423
81,-0.118262669912806
82,-0.117410396476292
83,-0.111767658694552
84,-0.124589259765298
85,-0.103867206704903
86,-0.107566036646872
87,-0.128259085135058
88,-0.112658162312274
89,-0.122319186665163
90,-0.109501218566373
91,-0.132765189746309
92,-0.104128851566595
93,-0.116501018815711
94,-0.105877710608426
95,-0.0926300248842278
96,-0.0965808540124868
97,-0.129584667169249
98,-0.107659911930175
99,-0.0713613554578832
100,-0.113187749028278
101,-0.109455072334838
102,-0.0880301308402125
103,-0.0990262561870375
104,-0.11040741062654
105,-0.119987952443928
106,-0.12626860365802
107,-0.0981576272136978
108,-0.13313049219558
109,-0.111657012617061
110,-0.109985397236281
111,-0.101159091661323
112,-0.128778767498712
113,-0.104938842113921
114,-0.118163118645959
115,-0.0920818650056777
116,-0.11018287507632
117,-0.110617760423588
118,-0.109510029791219
119,-0.112635267621253
120,-0.118755159468339
121,-0.0961427674101063
122,-0.0887414994443903
123,-0.130251014072284
124,-0.0955040705729179
125,-0.120961461005062
126,-0.116573870136702
127,-0.0919068965292091
128,-0.104246871752682
129,-0.102004004555916
130,-0.121941698284528
131,-0.0842401017750905
132,-0.0965025208555691
133,-0.108220522852038
134,-0.108082682718593
135,-0.13421312613686
136,-0.106765712190462
137,-0.114906496087672
138,-0.112884288504903
139,-0.0827954358445593
140,-0.124460578701069
141,-0.106329047516336
142,-0.093525783309811
143,-0.109658813737787
144,-0.0936070922968739
145,-0.111615591386774
146,-0.119197757515574
147,-0.108828032023634
148,-0.102411989282099
149,-0.115958454183464
150,-0.101808411448233
151,-0.112696854922269
152,-0.0954706903196216
153,-0.123260764455656
154,-0.0989978032728577
155,-0.137681809708005
156,-0.119135327308641
157,-0.120512058058896
158,-0.10317746725602
159,-0.118767524008344
160,-0.13902575641653
161,-0.0986246788939297
162,-0.115006404887906
163,-0.10904604634458
164,-0.127125025746775
165,-0.120074559417621
166,-0.127252916467906
167,-0.1100886622696
168,-0.0951198664773427
169,-0.0951285083821936
170,-0.129086722560338
171,-0.126091319308878
172,-0.115921633255054
173,-0.113112313109315
174,-0.103276176222359
175,-0.131846318865217
176,-0.103208703729545
177,-0.0867384275204266
178,-0.123067469537932
179,-0.0940071880611494
180,-0.123939634792351
181,-0.124924282309927
182,-0.110301850692563
183,-0.116200297572691
184,-0.110807472298969
185,-0.0984439286837687
186,-0.0841668529147396
187,-0.116305206406457
188,-0.11623894640534
189,-0.0956496680989156
190,-0.116471432012317
191,-0.0994452380536996
192,-0.105180094710863
193,-0.134842366143541
194,-0.118336636652178
195,-0.132594023867395
196,-0.115039914724339
197,-0.12404192932195
198,-0.0971896453633286
199,-0.0925580087936299
200,-0.101737533712819
201,-0.101374563782138
202,-0.107241179629371
203,-0.120915597006301
204,-0.103069406669771
205,-0.0877682503449747
206,-0.119378118975952
207,-0.126130143875378
208,-0.0725920773398689
209,-0.104489354374468
210,-0.0965142497197208
211,-0.119623232812802
212,-0.111664742055463
213,-0.118922097812264
214,-0.107558731074965
215,-0.116383291804281
216,-0.11499745413594
217,-0.0914547507090534
218,-0.104801091927436
219,-0.133530952514667
220,-0.0987920447154871
