draw,median_patient_mean_difference
1,-0.0743102270943661
2,-0.0876900762268864
3,-0.0712714011768686
4,-0.0580644923453258
5,-0.0738430948743678
6,-0.0872277990874394
7,-0.0741434569530138
8,-0.0526452348337223
9,-0.0568667752783942
10,-0.067986865213886
11,-0.0827756703087487
12,-0.0744291604377934
13,-0.0740342194814031
14,-0.0689751002435127
15,-0.0795922136216747
16,-0.0762045460489848
17,-0.0692023408682479
18,-0.0771820671066706
19,-0.075060915468728
20,-0.0542809105396669
21,-0.0733189194072634
22,-0.0654898887051261
23,-0.0664808291010887
24,-0.0692232196383245
25,-0.0450210069112076
26,-0.0394525066934903
27,-0.0796540387116291
28,-0.0909180634518633
29,-0.0489988460621074
30,-0.0581129952113839
31,-0.0666464132854733
32,-0.0468451810811145
33,-0.0705109787648304
34,-0.0621977143432677
35,-0.0817530131151535
36,-0.0736115859388117
37,-0.0662021835070632
38,-0.0864135136646677
39,-0.0746213788201785
40,-0.059387640042783
41,-0.0580698194034886
42,-0.0722184428986381
43,-0.0725035323953607
44,-0.0539176440135116
45,-0.0954641726562395
46,-0.0966162202645813
47,-0.0575702159694099
48,-0.0629527667062619
49,-0.0787575248093714
50,-0.0641342532722158
51,-0.0699841381337065
52,-0.0711748879297265
53,-0.0695980525450132
54,-0.0536572248422129
55,-0.0758905929004782
56,-0.063868568675083
57,-0.0654127523372017
58,-0.0531598082679055
59,-0.071754176009727
60,-0.0650542955894079
61,-0.0725388966705059
62,-0.0570673075092068
63,-0.0503454420848514
64,-0.0931965541024661
65,-0.0644094531101336
66,-0.0768012760729706
67,-0.0646226475838789
68,-0.0751700740550831
69,-0.0643591975472778
70,-0.0775140621743695
71,-0.0495733487802181
72,-0.0428607010434659
73,-0.0697965905250936
74,-0.0694930327044396
75,-0.0539302536229975
76,-0.0574460282659504
77,-0.0697132591360447
78,-0.0657141295011768
79,-0.0549825478593641
80,-0.0657859338279389
81,-0.0556166204025007
82,-0.0623644194109603
83,-0.0692807985839315
84,-0.0723883402799857
85,-0.0655515574214226
86,-0.0808842883580736
87,-0.0782782053421714
88,-0.0787190219498409
89,-0.0862499043802779
90,-0.0652015213164368
91,-0.0691236235810277
92,-0.0645154759661936
93,-0.0640346085107009
94,-0.0713612695627015
95,-0.0578805977730292
96,-0.0635232557986724
97,-0.0619967706057862
98,-0.0778856268819562
99,-0.0510421393158038
100,-0.0710919231814554
101,-0.0420015868822273
102,-0.080654388939274
103,-0.0937439844960575
104,-0.0637338211312345
105,-0.0860916002323368
106,-0.068223093569937
107,-0.0564906391788008
108,-0.0738245087044369
109,-0.0876667499096374
110,-0.0693782671733516
111,-0.0623980446689925
112,-0.0539064744083624
113,-0.0869221971309729
114,-0.0833373015627831
115,-0.0522407744312133
116,-0.0650960409224929
117,-0.0695761057823588
118,-0.0726758761707872
119,-0.0678994034949019
120,-0.069706236173437
121,-0.0733477250896122
122,-0.0794345789861141
123,-0.0626517309369512
124,-0.0840275133060835
125,-0.0819296963079365
126,-0.0526010571057618
127,-0.0950575580114869
128,-0.0539413655175959
129,-0.0453339215420526
130,-0.0806733603378396
131,-0.0733806272785679
132,-0.0648213819267832
133,-0.0535244476846752
134,-0.089081690332126
135,-0.0617441272059592
136,-0.0578224917765991
137,-0.0796396426110809
138,-0.0700029746765191
139,-0.061954373926022
140,-0.082313485661147
141,-0.0912470912021567
142,-0.0857046006764933
143,-0.0656471674213337
144,-0.0851514770927605
145,-0.0758066638742972
146,-0.0779269218197704
147,-0.100814705910348
148,-0.0668145696196753
149,-0.0693008603723553
150,-0.0495255039800727
151,-0.0860843699572137
152,-0.0705063290360234
153,-0.0661885911289166
154,-0.0828128378065821
155,-0.072780366719249
156,-0.077954627298044
157,-0.0605237400225454
158,-0.0540035480499355
159,-0.0783588761668959
160,-0.088715356398574
161,-0.0614971697652181
162,-0.074616119509867
163,-0.0877850218864864
164,-0.0478522471900521
165,-0.0556795122563047
166,-0.055565624174639
167,-0.0766013926899123
168,-0.0723082456597928
169,-0.049684886696468
170,-0.0935328282087786
171,-0.0786460938634026
172,-0.0714018118331969
173,-0.0635400181100345
174,-0.0894903857641547
175,-0.0801807680053546
176,-0.0561075907596416
177,-0.0612798978364486
