"cohort","patient","definition","n_stromal","n_tumour","stromal_median","tumour_median","median_difference","stromal_mean","tumour_mean","mean_difference","n_sections"
"GSE280315","P1","author_deconvolution_singlet",32143,121378,0.0653521067877316,0.0116917323350393,0.0536603744526923,0.0919955062630714,0.0282298145403987,0.0637656917226727,NA
"GSE280315","P2","author_deconvolution_singlet",44952,199861,0.00578709524261289,0.015738862441916,-0.00995176719930307,0.0297048408232533,0.0281166380272462,0.00158820279600712,NA
"GSE280315","P5","author_deconvolution_singlet",30354,70003,0.0422553443646127,0.0397087888807636,0.00254655548384905,0.0695337602536954,0.0499178666136377,0.0196158936400577,NA
"Valdeolivas_Visium","A121573",NA,645,710,NA,NA,0.0871774135875678,NA,NA,NA,2
"Valdeolivas_Visium","A416371",NA,1252,1299,NA,NA,0.00757234692831718,NA,NA,NA,2
"Valdeolivas_Visium","A551763",NA,120,1073,NA,NA,0.0733974956082171,NA,NA,NA,2
"Valdeolivas_Visium","A595688",NA,283,397,NA,NA,0.105047411785804,NA,NA,NA,2
"Valdeolivas_Visium","A938797",NA,1982,286,NA,NA,0.120445511591333,NA,NA,NA,2
"Valdeolivas_Visium","A120838",NA,564,275,NA,NA,0.217025960355804,NA,NA,NA,2
"GSE334323","CRC03","frozen_marker_margin",2310,1641,-0.122814474123585,0.122186758766764,-0.245001232890349,-0.0871799800069967,0.119895798551282,-0.207075778558279,NA
"GSE334323","CRC07","frozen_marker_margin",1013,1501,-0.00590001335462998,0.0954020641039888,-0.101302077458619,0.0175366799743411,0.0583428173477306,-0.0408061373733896,NA
"GSE334323","CRC08","frozen_marker_margin",1486,1666,0.0949388100871924,0.014945163691118,0.0799936463960744,0.0856337024437291,0.0187217525693602,0.0669119498743688,NA
