"cohort","patient","definition","n_stromal","rho_fap_matrix4","rho_fap_senmayo","rho_senmayo_matrix4","fisher_z_axis_contrast","n_sections","cohort_label"
"GSE280315","P1","author_deconvolution_singlet",32143,0.056001897566826,0.038352010286945,0.00898153315991481,0.0176897220050365,NA,"GSE280315
Visium HD"
"GSE280315","P2","author_deconvolution_singlet",44952,0.0455911194742346,0.0190077277903434,-0.0177140281284538,0.0266127293258116,NA,"GSE280315
Visium HD"
"GSE280315","P5","author_deconvolution_singlet",30354,0.0910310437411343,0.0179550841838476,0.0239236459020789,0.0673555372480462,NA,"GSE280315
Visium HD"
"Valdeolivas_Visium","A121573",NA,645,0.133700171745264,0.0566714174681688,0.161654929220335,-0.0285800779684175,2,"Valdeolivas
Visium"
"Valdeolivas_Visium","A416371",NA,1252,0.0827187760110802,0.0451441717108605,0.197807551007221,-0.117541572487807,2,"Valdeolivas
Visium"
"Valdeolivas_Visium","A551763",NA,120,0.180750733762286,-0.0854771311186536,-0.158406034545203,0.268444892642504,2,"Valdeolivas
Visium"
"Valdeolivas_Visium","A595688",NA,283,0.171814816757654,0.0553806219516582,0.0984156301260177,0.0203284062090724,2,"Valdeolivas
Visium"
"Valdeolivas_Visium","A938797",NA,1982,0.298194544911307,0.141289170493099,0.158224595095187,0.147971589445874,2,"Valdeolivas
Visium"
"Valdeolivas_Visium","A120838",NA,564,0.185633079106525,0.0756703593578868,0.355803614725891,-0.184262438871242,2,"Valdeolivas
Visium"
"GSE334323","CRC03","frozen_marker_margin",2310,0.0142159850710867,0.0094306862380436,0.169806495706378,-0.157250464410118,NA,"GSE334323
Visium"
"GSE334323","CRC07","frozen_marker_margin",1013,0.0333214748824129,0.0512059825903974,0.291840738640706,-0.267243382196865,NA,"GSE334323
Visium"
"GSE334323","CRC08","frozen_marker_margin",1486,0.128222478740724,0.0811415967497269,0.286940209714598,-0.166296542413418,NA,"GSE334323
Visium"
