"cohort","patient","n_stromal","n_tumour","stromal_mean","tumour_mean","epithelial_minus_stromal_mean","stromal_detection","tumour_detection","n_sections","cohort_label"
"GSE280315","P1",32143,121378,0.0160950271786711,0.143590585338076,0.127495558159405,0.00416887036057618,0.0481471106790357,NA,"GSE280315
Visium HD"
"GSE280315","P2",44952,199861,0.0248424328710563,0.352948087566562,0.328105654695506,0.00702972059085246,0.140397576315539,NA,"GSE280315
Visium HD"
"GSE280315","P5",30354,70003,0.0171773958642587,0.236869965124908,0.219692569260649,0.00517230019107861,0.106923988971901,NA,"GSE280315
Visium HD"
"Valdeolivas_Visium","A121573",645,710,NA,NA,0.107889466050116,NA,NA,2,"Valdeolivas
Visium"
"Valdeolivas_Visium","A416371",1252,1299,NA,NA,0.10189772927361,NA,NA,2,"Valdeolivas
Visium"
"Valdeolivas_Visium","A551763",120,1073,NA,NA,0.0135554784492553,NA,NA,2,"Valdeolivas
Visium"
"Valdeolivas_Visium","A595688",283,397,NA,NA,0.178147608396648,NA,NA,2,"Valdeolivas
Visium"
"Valdeolivas_Visium","A938797",1982,286,NA,NA,0.436224680003085,NA,NA,2,"Valdeolivas
Visium"
"Valdeolivas_Visium","A120838",564,275,NA,NA,0.0930743355218416,NA,NA,2,"Valdeolivas
Visium"
"GSE334323","CRC03",2310,1641,0.0617631105012825,0.414521286219997,0.352758175718714,0.0242424242424242,0.233394271785497,NA,"GSE334323
Visium"
"GSE334323","CRC07",1013,1501,0.300482225495903,0.960192711952278,0.659710486456375,0.190523198420533,0.613590939373751,NA,"GSE334323
Visium"
"GSE334323","CRC08",1486,1666,0.344818529058758,0.720063136213615,0.375244607154857,0.306191117092867,0.565426170468187,NA,"GSE334323
Visium"
