"patient","source_difference","common_core_difference"
"SMC01",0.58230996806896,0.597615767165307
"SMC02",0.564111618890077,0.592551624783734
"SMC03",0.550561797452359,0.596323366123406
"SMC04",0.490923307625855,0.520208799027197
"SMC05",0.58120282743517,0.593561443215813
"SMC06",0.373319553229192,0.39919214468062
"SMC07",0.46612070040494,0.485402190097007
"SMC08",0.406501163370998,0.438507353778109
"SMC09",0.372554494542626,0.392802122143211
"SMC10",0.417760367615938,0.409212669781453
"SMC11",0.410437472031377,0.435620590373066
"SMC14",0.444884380459742,0.464172182430113
"SMC15",0.465682391488348,0.492666580643409
"SMC16",0.518272873141227,0.543426160837544
"SMC17",0.398851060432175,0.428362928851346
"SMC18",0.737309958816637,0.770017942910847
"SMC19",0.824767260197442,0.753975707405677
"SMC20",0.322575410999992,0.345105631091828
"SMC21",0.2108051469421,0.221842784106558
"SMC22",0.443901423463088,0.461611244422605
"SMC23",0.665535674586955,0.681471312664368
"SMC24",0.552644671120807,0.574668737224143
"SMC25",0.671919094520415,0.692069584938213
