"cohort","patient","feature","moran_i","feature_label","cohort_label"
"GSE280315","P1","SenMayo_zmean",0.327650462695073,"SenMayo","GSE280315"
"GSE280315","P1","FAP_log1p10k",0.0376145235906916,"FAP","GSE280315"
"GSE280315","P1","matrix4_zmean",0.668242020265351,"matrix4","GSE280315"
"GSE280315","P2","SenMayo_zmean",0.491322933391909,"SenMayo","GSE280315"
"GSE280315","P2","FAP_log1p10k",0.0423442123584081,"FAP","GSE280315"
"GSE280315","P2","matrix4_zmean",0.726712148567883,"matrix4","GSE280315"
"GSE280315","P5","SenMayo_zmean",0.432984889733851,"SenMayo","GSE280315"
"GSE280315","P5","FAP_log1p10k",0.0432455687848386,"FAP","GSE280315"
"GSE280315","P5","matrix4_zmean",0.585475274453627,"matrix4","GSE280315"
"GSE334323","CRC03","SenMayo_zmean",0.648510392368935,"SenMayo","GSE334323"
"GSE334323","CRC03","FAP_log1p10k",0.00194306555907591,"FAP","GSE334323"
"GSE334323","CRC03","matrix4_zmean",0.352814265423346,"matrix4","GSE334323"
"GSE334323","CRC07","SenMayo_zmean",0.792542913434884,"SenMayo","GSE334323"
"GSE334323","CRC07","FAP_log1p10k",0.0230375024784561,"FAP","GSE334323"
"GSE334323","CRC07","matrix4_zmean",0.786936191783959,"matrix4","GSE334323"
"GSE334323","CRC08","SenMayo_zmean",0.726083522955027,"SenMayo","GSE334323"
"GSE334323","CRC08","FAP_log1p10k",0.241870276133983,"FAP","GSE334323"
"GSE334323","CRC08","matrix4_zmean",0.810419083103465,"matrix4","GSE334323"
"Valdeolivas_Visium","A120838","FAP_log1p10k",0.261775697201621,"FAP","Valdeolivas"
"Valdeolivas_Visium","A121573","FAP_log1p10k",0.0447424486534692,"FAP","Valdeolivas"
"Valdeolivas_Visium","A416371","FAP_log1p10k",0.0277937388825287,"FAP","Valdeolivas"
"Valdeolivas_Visium","A551763","FAP_log1p10k",0.032949407861275,"FAP","Valdeolivas"
"Valdeolivas_Visium","A595688","FAP_log1p10k",0.174882633910832,"FAP","Valdeolivas"
"Valdeolivas_Visium","A798015","FAP_log1p10k",0.0877045429754669,"FAP","Valdeolivas"
"Valdeolivas_Visium","A938797","FAP_log1p10k",0.235530479812476,"FAP","Valdeolivas"
"Valdeolivas_Visium","A120838","SenMayo_zmean",0.603103468875067,"SenMayo","Valdeolivas"
"Valdeolivas_Visium","A121573","SenMayo_zmean",0.39870509115306,"SenMayo","Valdeolivas"
"Valdeolivas_Visium","A416371","SenMayo_zmean",0.507752110871597,"SenMayo","Valdeolivas"
"Valdeolivas_Visium","A551763","SenMayo_zmean",0.488577610971653,"SenMayo","Valdeolivas"
"Valdeolivas_Visium","A595688","SenMayo_zmean",0.455434765192875,"SenMayo","Valdeolivas"
"Valdeolivas_Visium","A798015","SenMayo_zmean",0.399150119013971,"SenMayo","Valdeolivas"
"Valdeolivas_Visium","A938797","SenMayo_zmean",0.544601373030496,"SenMayo","Valdeolivas"
"Valdeolivas_Visium","A120838","matrix4_zmean",0.765063763250665,"matrix4","Valdeolivas"
"Valdeolivas_Visium","A121573","matrix4_zmean",0.506324704150235,"matrix4","Valdeolivas"
"Valdeolivas_Visium","A416371","matrix4_zmean",0.434708007181073,"matrix4","Valdeolivas"
"Valdeolivas_Visium","A551763","matrix4_zmean",0.422773804618941,"matrix4","Valdeolivas"
"Valdeolivas_Visium","A595688","matrix4_zmean",0.725971404143082,"matrix4","Valdeolivas"
"Valdeolivas_Visium","A798015","matrix4_zmean",0.847119519143575,"matrix4","Valdeolivas"
"Valdeolivas_Visium","A938797","matrix4_zmean",0.784422733449686,"matrix4","Valdeolivas"
