lock_id,domain,dataset,estimand,n_unit,estimate,ci_low,ci_high,p_value,direction_count,resampling,source_artifact,status,interpretation_ceiling
L001,single-cell primary,GSE132465,available-gene SenMayo fibroblast-minus-epithelial paired median,23 patients,0.466121,,,2.38419e-07,23/23 positive,,results/single_cell/scrna_paired_compartment_summary_aligned.csv,locked,compartment-level senescence-associated transcription; not a senescence diagnosis
L002,single-cell primary,GSE166555,available-gene SenMayo fibroblast-minus-epithelial paired median,10 patients,0.148506,,,0.0195312,9/10 positive,,results/single_cell/scrna_paired_compartment_summary_aligned.csv,locked,compartment-level senescence-associated transcription; not a senescence diagnosis
L003,common-core sensitivity,GSE132465,111-gene common-core fibroblast-minus-epithelial paired mean,23 patients,0.516973,0.463359,0.571009,2.38419e-07,23/23 positive,"10,000 patient bootstraps for mean CI",results/common_core/gse132_common_core_summary.json,locked,sensitivity using the same 111 genes across cohorts
L004,common-core sensitivity,GSE166555,111-gene common-core fibroblast-minus-epithelial paired mean,10 patients,0.188717,0.0784692,0.306281,0.0195312,9/10 positive,"10,000 patient bootstraps for mean CI",results/common_core/gse166_common_core_summary.csv,locked,sensitivity using the same 111 genes across cohorts
L005,cluster-aware single-cell model,GSE132465,FAP detection coefficient for SenMayo,23 patient clusters,0.0239353,-0.017468,0.0674826,0.273945,,5000 valid patient-cluster bootstraps,results/single_cell/gse132465_cluster_inference.csv,locked,no supported additional enrichment; not equivalence
L006,cluster-aware single-cell model,GSE132465,FAP detection coefficient for SASP,23 patient clusters,0.03404,-0.0374248,0.109496,0.362727,,5000 valid patient-cluster bootstraps,results/single_cell/gse132465_cluster_inference.csv,locked,no supported additional enrichment; not equivalence
L007,cluster-aware single-cell model,GSE132465,FAP-expression coefficient for matrix4,23 patient clusters,0.29858,0.1872,0.455207,0.00039992,,5000 valid patient-cluster bootstraps,results/single_cell/gse132465_cluster_inference.csv,locked,adjusted within-fibroblast covariation; not causality
L008,dependent-correlation bootstrap,GSE132465,FAP-matrix Spearman rho,23 patients,0.649209,0.263747,0.870324,0.00279972,,10000 paired patient bootstraps,results/single_cell/dependent_correlation_contrasts.csv,locked,positive FAP-matrix association
L009,dependent-correlation bootstrap,GSE132465,"rho(FAP,matrix) minus rho(FAP,SenMayo)",23 patients,0.318182,-0.284999,0.888213,0.286971,,10000 paired patient bootstraps,results/single_cell/dependent_correlation_contrasts.csv,locked,direct contrast; CI crossing zero does not establish a difference
L010,dependent-correlation bootstrap,GSE132465,"rho(FAP,matrix) minus rho(SenMayo,matrix)",23 patients,0.697628,0.232515,1.13418,0.00239976,,10000 paired patient bootstraps,results/single_cell/dependent_correlation_contrasts.csv,locked,FAP-matrix exceeds SenMayo-matrix on this patient-level scale
L011,dependent-correlation bootstrap,GSE166555,FAP-matrix Spearman rho,10 patients,0.878788,0.388535,1,0.00319968,,10000 paired patient bootstraps,results/single_cell/dependent_correlation_contrasts.csv,locked,positive FAP-matrix association
L012,dependent-correlation bootstrap,GSE166555,"rho(FAP,matrix) minus rho(FAP,SenMayo)",10 patients,0.945455,-0.176101,1.76101,0.109589,,10000 paired patient bootstraps,results/single_cell/dependent_correlation_contrasts.csv,locked,direct contrast; CI crossing zero does not establish a difference
L013,dependent-correlation bootstrap,GSE166555,"rho(FAP,matrix) minus rho(SenMayo,matrix)",10 patients,1.28485,0.423125,1.81132,0.00259974,,10000 paired patient bootstraps,results/single_cell/dependent_correlation_contrasts.csv,locked,FAP-matrix exceeds SenMayo-matrix on this patient-level scale
L014,bulk composition sensitivity,TCGA COAD/READ,unadjusted FAP13-matrix4 rho,380 primary tumours,0.929586,,,6.38378e-166,,"5,000 bootstrap CIs for adjusted estimates",results/bulk_composition/target_purged_partial_correlations.csv,locked,positive residual association after target purging; magnitude remains proxy-sensitive
L015,bulk composition sensitivity,TCGA COAD/READ,fib5-adjusted partial rho,380 primary tumours,0.650479,0.57086,0.713994,5.79223e-47,,"5,000 bootstrap CIs for adjusted estimates",results/bulk_composition/target_purged_partial_correlations.csv,locked,positive residual association after target purging; magnitude remains proxy-sensitive
L016,bulk composition sensitivity,TCGA COAD/READ,joint full-proxy partial rho,380 primary tumours,0.150209,0.0361321,0.26083,0.00341869,,"5,000 bootstrap CIs for adjusted estimates",results/bulk_composition/target_purged_partial_correlations.csv,locked,positive residual association after target purging; magnitude remains proxy-sensitive
L017,bulk composition sensitivity,TCGA COAD/READ,joint pair-purged partial rho,380 primary tumours,0.466131,0.362501,0.555541,8.70293e-22,,"5,000 bootstrap CIs for adjusted estimates",results/bulk_composition/target_purged_partial_correlations.csv,locked,positive residual association after target purging; magnitude remains proxy-sensitive
L018,bulk composition sensitivity,TCGA COAD/READ,joint globally disjoint partial rho,380 primary tumours,0.46601,0.364241,0.555271,8.9456e-22,,"5,000 bootstrap CIs for adjusted estimates",results/bulk_composition/target_purged_partial_correlations.csv,locked,positive residual association after target purging; magnitude remains proxy-sensitive
L019,bulk composition sensitivity,TCGA COAD/READ,SenMayo-matrix4 globally disjoint partial rho,380 primary tumours,-0.0157093,-0.133925,0.108867,0.7608,,"5,000 bootstrap CIs",results/bulk_composition/target_purged_partial_correlations.csv,locked,estimate compatible with no residual monotonic association; not equivalence
L020,spatial common-core sensitivity,GSE280315,111-gene stromal-minus-tumour patient effect,3 patients/samples,0.0313233,,,0.25,3/3 positive,,results/common_core/spatial_common_core_summary.csv,locked,cohort-specific heterogeneous stress test; no cross-platform pooling
L021,spatial common-core sensitivity,Valdeolivas_Visium,111-gene stromal-minus-tumour patient effect,6 patients/samples,0.119591,,,0.03125,6/6 positive,,results/common_core/spatial_common_core_summary.csv,locked,cohort-specific heterogeneous stress test; no cross-platform pooling
L022,spatial common-core sensitivity,GSE334323,111-gene stromal-minus-tumour patient effect,3 patients/samples,-0.0600141,,,0.75,1/3 positive,,results/common_core/spatial_common_core_summary.csv,locked,cohort-specific heterogeneous stress test; no cross-platform pooling
L023,spatial matched-null correction,GSE280315,observed minus empirical-null median,"5,000 matched sets",0.128282,,,0.00019996,,5000 matched random sets,results/spatial_null/spatial_matched_null_corrected.csv,locked,superiority to the tested centered matched-null distribution; supplementary only
L024,spatial matched-null correction,Valdeolivas_Visium,observed minus empirical-null median,"5,000 matched sets",0.181052,,,0.00019996,,5000 matched random sets,results/spatial_null/spatial_matched_null_corrected.csv,locked,superiority to the tested centered matched-null distribution; supplementary only
L025,public-data reconstruction,GSE132465,correlation of reconstructed and archived SenMayo scores,18970 cells,1,,,,,,results/common_core/gse132_public_normalization_calibration.csv,locked,exact score reconstruction under the selected normalization
