reference,manuscript_title,manuscript_year,doi,registry,registry_title,registry_year,title_similarity,relation_or_update,verdict,error
1,Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,2022,10.3322/caac.21834,Crossref,Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,2024,1.000,"{""relation"": {}, ""update_type"": """"}",verified,
2,A framework for advancing our understanding of cancer-associated fibroblasts,2020,10.1038/s41568-019-0238-1,Crossref,A framework for advancing our understanding of cancer-associated fibroblasts,2020,1.000,"{""relation"": {""has-review"": [{""id-type"": ""doi"", ""id"": ""10.3410/f.737260944.793580089"", ""asserted-by"": ""object""}, {""id-type"": ""doi"", ""id"": ""10.3410/f.737260944.793584889"", ""asserted-by"": ""object""}]}, ""update_type"": """"}",verified,
3,The role of fibroblast activation protein in health and malignancy,2020,10.1007/s10555-020-09909-3,Crossref,The role of fibroblast activation protein in health and malignancy,2020,1.000,"{""relation"": {}, ""update_type"": """"}",verified,
4,Stromal contribution to the colorectal cancer transcriptome,2015,10.1038/ng.3224,Crossref,Stromal contribution to the colorectal cancer transcriptome,2015,1.000,"{""relation"": {""has-review"": [{""id-type"": ""doi"", ""id"": ""10.3410/f.725363957.793532292"", ""asserted-by"": ""object""}]}, ""update_type"": """"}",verified,
5,Stromal gene expression defines poor-prognosis subtypes in colorectal cancer,2015,10.1038/ng.3225,Crossref,Stromal gene expression defines poor-prognosis subtypes in colorectal cancer,2015,1.000,"{""relation"": {""has-review"": [{""id-type"": ""doi"", ""id"": ""10.3410/f.725363956.793530564"", ""asserted-by"": ""object""}, {""id-type"": ""doi"", ""id"": ""10.3410/f.725363956.793532293"", ""asserted-by"": ""object""}]}, ""update_type"": """"}",verified,
6,Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer,2022,10.1038/s41467-022-29366-6,Crossref,Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer,2022,1.000,"{""relation"": {}, ""update_type"": """"}",verified,
7,A new gene set identifies senescent cells and predicts senescence-associated pathways across tissues,2022,10.1038/s41467-022-32552-1,Crossref,A new gene set identifies senescent cells and predicts senescence-associated pathways across tissues,2022,1.000,"{""relation"": {""has-preprint"": [{""id-type"": ""doi"", ""id"": ""10.1101/2021.12.10.472095"", ""asserted-by"": ""object""}, {""id-type"": ""doi"", ""id"": ""10.21203/rs.3.rs-1034608/v1"", ""asserted-by"": ""object""}]}, ""update_type"": """"}",verified,
8,A guide to assessing cellular senescence in vitro and in vivo,2021,10.1111/febs.15570,Crossref,A guide to assessing cellular senescence <i>in vitro</i> and <i>in vivo</i>,2021,0.938,"{""relation"": {}, ""update_type"": """"}",verified,
9,SenNet recommendations for detecting senescent cells in different tissues,2024,10.1038/s41580-024-00738-8,Crossref,SenNet recommendations for detecting senescent cells in different tissues,2024,1.000,"{""relation"": {}, ""update_type"": """"}",verified,
10,Lamin B1 loss is a senescence-associated biomarker,2012,10.1091/mbc.E11-10-0884,Crossref,Lamin B1 loss is a senescence-associated biomarker,2012,1.000,"{""relation"": {}, ""update_type"": """"}",verified,
11,Unmasking senescence: context-dependent effects of SASP in cancer,2019,10.1038/s41568-019-0156-2,Crossref,Unmasking senescence: context-dependent effects of SASP in cancer,2019,1.000,"{""relation"": {""has-review"": [{""id-type"": ""doi"", ""id"": ""10.3410/f.736057492.793580104"", ""asserted-by"": ""object""}]}, ""update_type"": """"}",verified,
12,Senescence defines a distinct subset of myofibroblasts that orchestrates immunosuppression in pancreatic cancer,2024,10.1158/2159-8290.CD-23-0428,Crossref,Senescence Defines a Distinct Subset of Myofibroblasts That Orchestrates Immunosuppression in Pancreatic Cancer,2024,1.000,"{""relation"": {}, ""update_type"": """"}",verified,
13,Mapping the core senescence phenotype of primary human colon fibroblasts,2024,10.18632/aging.205577,Crossref,Mapping the core senescence phenotype of primary human colon fibroblasts,2024,1.000,"{""relation"": {}, ""update_type"": """"}",verified,
14,Senescent fibroblasts drive CD8+ T cell dysfunction in colorectal cancer via CD36-mediated lipid transfer and peroxidation,2026,10.1186/s12967-025-07636-3,Crossref,Senescent fibroblasts drive CD8+ T cell dysfunction in colorectal cancer via CD36-mediated lipid transfer and peroxidation,2026,1.000,"{""relation"": {}, ""update_type"": """"}",verified,
15,Macrophage-induced senescent cancer-associated fibroblasts promote SASP-mediated chemoresistance in colorectal cancer,2026,10.1158/0008-5472.CAN-25-4870,Crossref,Macrophage-Induced Senescent Cancer-Associated Fibroblasts Promote SASP-Mediated Chemoresistance in Colorectal Cancer,2026,1.000,"{""relation"": {}, ""update_type"": """"}",verified,
16,Targeting a candidate stromal immune checkpoint: a cellular senescence signature identifies COMP+ cancer-associated fibroblasts associated with CD8+ T-cell exclusion via a predicted COMP–CD47 axis in colorectal cancer,2026,10.1016/j.jare.2026.08.047,Crossref,Targeting a candidate stromal immune checkpoint: a cellular senescence signature identifies COMP⁺ cancer-associated fibroblasts associated with CD8⁺ T-cell exclusion via a predicted COMP–CD47 axis in colorectal cancer,2026,1.000,"{""relation"": {}, ""update_type"": """"}",verified,
17,Comprehensive molecular characterization of human colon and rectal cancer,2012,10.1038/nature11252,Crossref,Comprehensive molecular characterization of human colon and rectal cancer,2012,1.000,"{""relation"": {""is-referenced-by"": [{""id-type"": ""doi"", ""id"": ""10.7554/eLife.02725"", ""asserted-by"": ""object""}], ""has-review"": [{""id-type"": ""doi"", ""id"": ""10.3410/f.717950661.793455968"", ""asserted-by"": ""object""}]}, ""update_type"": """"}",verified,
18,"Gene expression classification of colon cancer into molecular subtypes: characterization, validation, and prognostic value",2013,10.1371/journal.pmed.1001453,Crossref,"Gene Expression Classification of Colon Cancer into Molecular Subtypes: Characterization, Validation, and Prognostic Value",2013,1.000,"{""relation"": {}, ""update_type"": """"}",verified,
19,Lineage-dependent gene expression programs influence the immune landscape of colorectal cancer,2020,10.1038/s41588-020-0636-z,Crossref,Lineage-dependent gene expression programs influence the immune landscape of colorectal cancer,2020,1.000,"{""relation"": {}, ""update_type"": """"}",verified,
20,Mitogen-activated protein kinase activity drives cell trajectories in colorectal cancer,2021,10.15252/emmm.202114123,Crossref,Mitogen‐activated protein kinase activity drives cell trajectories in colorectal cancer,2021,1.000,"{""relation"": {""has-preprint"": [{""id-type"": ""doi"", ""id"": ""10.1101/2020.01.10.901579"", ""asserted-by"": ""object""}]}, ""update_type"": """"}",verified,
21,High-definition spatial transcriptomic profiling of immune cell populations in colorectal cancer,2025,10.1038/s41588-025-02193-3,Crossref,High-definition spatial transcriptomic profiling of immune cell populations in colorectal cancer,2025,1.000,"{""relation"": {}, ""update_type"": """"}",verified,
22,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,2024,10.1038/s41698-023-00488-4,Crossref,Profiling the heterogeneity of colorectal cancer consensus molecular subtypes using spatial transcriptomics,2024,1.000,"{""relation"": {}, ""update_type"": """"}",verified,
23,Custom probe-based spatial transcriptomics enables microbiome detection in FFPE colorectal cancer tissue,2026,10.64898/2026.07.29.741338,Crossref,Custom Probe-Based Spatial Transcriptomics Enables Microbiome Detection in FFPE Colorectal Cancer Tissue,2026,1.000,"{""relation"": {}, ""update_type"": """"}",verified,
24,Proteogenomic analysis of human colon cancer reveals new therapeutic opportunities,2019,10.1016/j.cell.2019.03.030,Crossref,Proteogenomic Analysis of Human Colon Cancer Reveals New Therapeutic Opportunities,2019,1.000,"{""relation"": {}, ""update_type"": """"}",verified,
