reference_v7_2,reference_v7_1,doi,registry_status,type,registry_url
1,1,10.3322/caac.21834,verified 2026-09-07,original,https://api.crossref.org/works/10.3322/caac.21834
2,2,10.1038/s41568-019-0238-1,verified 2026-09-07,original,https://api.crossref.org/works/10.1038/s41568-019-0238-1
3,3,10.1007/s10555-020-09909-3,verified 2026-09-07,original,https://api.crossref.org/works/10.1007/s10555-020-09909-3
4,4,10.1038/ng.3224,verified 2026-09-07,original,https://api.crossref.org/works/10.1038/ng.3224
5,,10.1038/ng1016-1296d,verified 2026-09-07,linked correction,https://api.crossref.org/works/10.1038/ng1016-1296d
6,5,10.1038/ng.3225,verified 2026-09-07,original,https://api.crossref.org/works/10.1038/ng.3225
7,6,10.1038/s41467-022-29366-6,verified 2026-09-07,original,https://api.crossref.org/works/10.1038/s41467-022-29366-6
8,7,10.1038/s41467-022-32552-1,verified 2026-09-07,original,https://api.crossref.org/works/10.1038/s41467-022-32552-1
9,8,10.1111/febs.15570,verified 2026-09-07,original,https://api.crossref.org/works/10.1111/febs.15570
10,9,10.1038/s41580-024-00738-8,verified 2026-09-07,original,https://api.crossref.org/works/10.1038/s41580-024-00738-8
11,10,10.1091/mbc.E11-10-0884,verified 2026-09-07,original,https://api.crossref.org/works/10.1091/mbc.E11-10-0884
12,11,10.1038/s41568-019-0156-2,verified 2026-09-07,original,https://api.crossref.org/works/10.1038/s41568-019-0156-2
13,12,10.1158/2159-8290.CD-23-0428,verified 2026-09-07,original,https://api.crossref.org/works/10.1158/2159-8290.CD-23-0428
14,13,10.18632/aging.205577,verified 2026-09-07,original,https://api.crossref.org/works/10.18632/aging.205577
15,14,10.1186/s12967-025-07636-3,verified 2026-09-07,original,https://api.crossref.org/works/10.1186/s12967-025-07636-3
16,15,10.1158/0008-5472.CAN-25-4870,verified 2026-09-07,original,https://api.crossref.org/works/10.1158/0008-5472.CAN-25-4870
17,16,10.1016/j.jare.2026.08.047,verified 2026-09-07,original,https://api.crossref.org/works/10.1016/j.jare.2026.08.047
18,27,10.1038/s41467-021-21038-1,verified 2026-09-07,original,https://api.crossref.org/works/10.1038/s41467-021-21038-1
19,28,10.1038/s41467-021-25960-2,verified 2026-09-07,original,https://api.crossref.org/works/10.1038/s41467-021-25960-2
20,17,10.1038/nature11252,verified 2026-09-07,original,https://api.crossref.org/works/10.1038/nature11252
21,18,10.1371/journal.pmed.1001453,verified 2026-09-07,original,https://api.crossref.org/works/10.1371/journal.pmed.1001453
22,19,10.1038/s41588-020-0636-z,verified 2026-09-07,original,https://api.crossref.org/works/10.1038/s41588-020-0636-z
23,20,10.15252/emmm.202114123,verified 2026-09-07,original,https://api.crossref.org/works/10.15252/emmm.202114123
24,21,10.1038/s41588-025-02193-3,verified 2026-09-07,original,https://api.crossref.org/works/10.1038/s41588-025-02193-3
25,22,10.1038/s41698-023-00488-4,verified 2026-09-07,original,https://api.crossref.org/works/10.1038/s41698-023-00488-4
26,23,10.64898/2026.07.29.741338,verified 2026-09-07,original,https://api.crossref.org/works/10.64898/2026.07.29.741338
27,24,10.1016/j.cell.2019.03.030,verified 2026-09-07,original,https://api.crossref.org/works/10.1016/j.cell.2019.03.030
28,25,10.1158/2159-8290.CD-12-0095,verified 2026-09-07,original,https://api.crossref.org/works/10.1158/2159-8290.CD-12-0095
29,26,10.1126/scisignal.2004088,verified 2026-09-07,original,https://api.crossref.org/works/10.1126/scisignal.2004088
30,29,10.1186/s13059-016-1070-5,verified 2026-09-07,original,https://api.crossref.org/works/10.1186/s13059-016-1070-5
31,,10.1186/s13059-016-1113-y,verified 2026-09-07,linked correction,https://api.crossref.org/works/10.1186/s13059-016-1113-y
32,30,10.7554/eLife.26476,verified 2026-09-07,original,https://api.crossref.org/works/10.7554/eLife.26476
33,31,10.1038/s41467-020-19015-1,verified 2026-09-07,original,https://api.crossref.org/works/10.1038/s41467-020-19015-1
34,,10.1038/s41467-020-20288-9,verified 2026-09-07,linked correction,https://api.crossref.org/works/10.1038/s41467-020-20288-9
