reference,doi,title,checked_utc,status,notices,claim_support
1,10.3322/caac.21834,Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries,2026-09-08T19:57:47.734739+00:00,verified,"{""assertion"": [{""value"": ""2024-02-12"", ""order"": 0, ""name"": ""received"", ""label"": ""Received"", ""group"": {""name"": ""publication_history"", ""label"": ""Publication History""}}, {""value"": ""2024-02-12"", ""order"": 2, ""name"": ""accepted"", ""label"": ""Accepted"", ""group"": {""name"": ""publication_history"", ""label"": ""Publication History""}}, {""value"": ""2024-04-04"", ""order"": 3, ""name"": ""published"", ""label"": ""Published"", ""group"": {""name"": ""publication_history"", ""label"": ""Publication History""}}]}",unchanged claim; verified v7.2 evidence ledger reused
2,10.1038/s41568-019-0238-1,A framework for advancing our understanding of cancer-associated fibroblasts,2026-09-08T20:04:27.138512+00:00,verified,"{""relation"": {""has-review"": [{""id-type"": ""doi"", ""id"": ""10.3410/f.737260944.793580089"", ""asserted-by"": ""object""}, {""id-type"": ""doi"", ""id"": ""10.3410/f.737260944.793584889"", ""asserted-by"": ""object""}]}, ""assertion"": [{""value"": ""19 December 2019"", ""order"": 1, ""name"": ""accepted"", ""label"": ""Accepted"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""24 January 2020"", ""order"": 2, ""name"": ""first_online"", ""label"": ""First Online"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""S.R.H. is a consultant for Halozyme Therapeutics, from which the Fred Hutchinson Cancer Research Center receives research funding. R.K.J. received honorarium from Amgen, consultant fees from Chugai, Merck, Ophthotech, Pfizer, SPARC, SynDevRx and XTuit, owns equity in Enlight, Ophthotech and SynDevRx and serves on the boards of trustees of Tekla Healthcare Investors, Tekla Life Sciences Investors, Tekla Healthcare Opportunities Fund and Tekla World Healthcare Fund. Neither any reagent nor any funding from these organizations was used in this study. A.C.K. has financial interests in Vescor Therapeutics, is an inventor named on patents pertaining to KRAS-regulated metabolic pathways, redox control pathways in pancreatic cancer, targeting GOT1 as a therapeutic approach and the autophagic control of iron metabolism, is on the Scientific Advisory Board of Rafael Pharmaceuticals and has been a consultant for Deciphera Pharmaceuticals. R.G.M. receives consulting fees from Bayer, Deciphera, Karyopharm, Springworks, the American Society of Clinical Oncology and UptoDate. E.P. receives research funds in the form of a sponsored research agreement from TMUNITY and a collaborative research agreement from Boehringer Ingelheim; prior funding was provided by Novartis. D.A.T. has received commercial research grants from Fibrogen and ONO, has ownership interest (including stock, patents and so on) in Leap Therapeutics and Surface Oncology and is a consultant/advisory board member for Leap Oncology, Surface Oncology, Cygnal and Merck. D.A.T. is Director and Chief Scientist of the Lustgarten Foundation, a designated laboratory of pancreatic cancer research. F.M.W. is currently on secondment as Executive Chair of the UK Medical Research Council. Z.W. is on the Advisory Board of Maverick Therapeutics. E.S., I.A., E.C., D.D., M.E., R.M.E., D.F., F.R.G., T.H., R.O.H., T.J., C.J., M.G.K, R.S.P., D.C.R., R.S-S., M.H.S., S.S., T.D.T., V.W. and A.T.W. declare no competing interests."", ""order"": 1, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Competing Interests""}}]}",unchanged claim; verified v7.2 evidence ledger reused
3,10.1007/s10555-020-09909-3,The role of fibroblast activation protein in health and malignancy,2026-09-08T19:57:47.735737+00:00,verified,"{""assertion"": [{""value"": ""29 June 2020"", ""order"": 1, ""name"": ""first_online"", ""label"": ""First Online"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""order"": 1, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Compliance with ethical standards""}}, {""value"": ""All other authors declare no potential conflicts of interest to disclose."", ""order"": 2, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Conflicts of interest""}}]}",unchanged claim; verified v7.2 evidence ledger reused
4,10.1038/ng.3224,Stromal contribution to the colorectal cancer transcriptome,2026-09-08T20:04:28.254565+00:00,verified,"{""updated-by"": [{""DOI"": ""10.1038/ng1016-1296d"", ""type"": ""erratum"", ""label"": ""Erratum"", ""source"": ""publisher"", ""updated"": {""date-parts"": [[2016, 9, 28]], ""date-time"": ""2016-09-28T00:00:00Z"", ""timestamp"": 1475020800000}}], ""relation"": {""has-review"": [{""id-type"": ""doi"", ""id"": ""10.3410/f.725363957.793532292"", ""asserted-by"": ""object""}]}, ""assertion"": [{""value"": ""31 August 2014"", ""order"": 1, ""name"": ""received"", ""label"": ""Received"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""28 January 2015"", ""order"": 2, ""name"": ""accepted"", ""label"": ""Accepted"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""23 February 2015"", ""order"": 3, ""name"": ""first_online"", ""label"": ""First Online"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""29 August 2016"", ""order"": 4, ""name"": ""change_date"", ""label"": ""Change Date"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""Erratum"", ""order"": 5, ""name"": ""change_type"", ""label"": ""Change Type"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""In the version of this article initially published, an affiliation for author Zsolt Fekete was incorrectly omitted. The missing affiliation was to the Department of Oncology, University of Medicine and Pharmacy Iuliu Hatieganu, Cluj-Napoca, Romania. The error has been corrected in the HTML and PDF versions of the article."", ""order"": 6, ""name"": ""change_details"", ""label"": ""Change Details"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""The authors declare no competing financial interests."", ""order"": 1, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Competing interests""}}]}",unchanged claim; verified v7.2 evidence ledger reused
5,10.1038/ng1016-1296d,Erratum: Corrigendum: Stromal contribution to the colorectal cancer transcriptome,2026-09-08T19:57:48.757433+00:00,verified,"{""update-to"": [{""DOI"": ""10.1038/ng.3224"", ""type"": ""erratum"", ""label"": ""Erratum"", ""source"": ""publisher"", ""updated"": {""date-parts"": [[2016, 9, 28]], ""date-time"": ""2016-09-28T00:00:00Z"", ""timestamp"": 1475020800000}}], ""assertion"": [{""value"": ""28 September 2016"", ""order"": 1, ""name"": ""first_online"", ""label"": ""First Online"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}]}",unchanged claim; verified v7.2 evidence ledger reused
6,10.1038/ng.3225,Stromal gene expression defines poor-prognosis subtypes in colorectal cancer,2026-09-08T19:57:48.765434+00:00,verified,"{""relation"": {""has-review"": [{""id-type"": ""doi"", ""id"": ""10.3410/f.725363956.793530564"", ""asserted-by"": ""object""}, {""id-type"": ""doi"", ""id"": ""10.3410/f.725363956.793532293"", ""asserted-by"": ""object""}]}, ""assertion"": [{""value"": ""24 September 2014"", ""order"": 1, ""name"": ""received"", ""label"": ""Received"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""28 January 2015"", ""order"": 2, ""name"": ""accepted"", ""label"": ""Accepted"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""23 February 2015"", ""order"": 3, ""name"": ""first_online"", ""label"": ""First Online"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""The authors declare no competing financial interests."", ""order"": 1, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Competing interests""}}]}",unchanged claim; verified v7.2 evidence ledger reused
7,10.1038/s41467-022-29366-6,Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer,2026-09-08T19:57:49.037341+00:00,verified,"{""assertion"": [{""value"": ""1 February 2021"", ""order"": 1, ""name"": ""received"", ""label"": ""Received"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""11 March 2022"", ""order"": 2, ""name"": ""accepted"", ""label"": ""Accepted"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""1 April 2022"", ""order"": 3, ""name"": ""first_online"", ""label"": ""First Online"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""The authors declare no competing interests. A patent titled “Biomarker panel and application of cell subpopulation of tumor boundary in Colorectal cancer” related to this work is under application and currently has no identification number. The authors declare non-financial competing interests in this patent."", ""order"": 1, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Competing interests""}}]}",unchanged claim; verified v7.2 evidence ledger reused
8,10.1038/s41467-022-32552-1,A new gene set identifies senescent cells and predicts senescence-associated pathways across tissues,2026-09-08T19:57:49.282618+00:00,verified,"{""relation"": {""has-preprint"": [{""id-type"": ""doi"", ""id"": ""10.1101/2021.12.10.472095"", ""asserted-by"": ""object""}, {""id-type"": ""doi"", ""id"": ""10.21203/rs.3.rs-1034608/v1"", ""asserted-by"": ""object""}]}, ""assertion"": [{""value"": ""23 November 2021"", ""order"": 1, ""name"": ""received"", ""label"": ""Received"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""5 August 2022"", ""order"": 2, ""name"": ""accepted"", ""label"": ""Accepted"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""16 August 2022"", ""order"": 3, ""name"": ""first_online"", ""label"": ""First Online"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""J.L.K., T.T., and N.K.L. have a financial interest related to this research. Patents on senolytic drugs and their uses and SASP biomarkers are held by Mayo Clinic and the University of Minnesota. This research has been reviewed by the Mayo Clinic Conflict of Interest Review Board and was conducted in compliance with Mayo Clinic Conflict of Interest policies. The remaining authors declare no competing interests"", ""order"": 1, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Competing interests""}}]}",unchanged claim; verified v7.2 evidence ledger reused
9,10.1111/febs.15570,A guide to assessing cellular senescence <i>in vitro</i> and <i>in vivo</i>,2026-09-08T19:57:49.622276+00:00,verified,"{""assertion"": [{""value"": ""2020-08-03"", ""order"": 0, ""name"": ""received"", ""label"": ""Received"", ""group"": {""name"": ""publication_history"", ""label"": ""Publication History""}}, {""value"": ""2020-09-15"", ""order"": 1, ""name"": ""accepted"", ""label"": ""Accepted"", ""group"": {""name"": ""publication_history"", ""label"": ""Publication History""}}, {""value"": ""2020-10-10"", ""order"": 2, ""name"": ""published"", ""label"": ""Published"", ""group"": {""name"": ""publication_history"", ""label"": ""Publication History""}}]}",unchanged claim; verified v7.2 evidence ledger reused
10,10.1038/s41580-024-00738-8,SenNet recommendations for detecting senescent cells in different tissues,2026-09-08T19:57:49.849090+00:00,verified,"{""assertion"": [{""value"": ""15 April 2024"", ""order"": 1, ""name"": ""accepted"", ""label"": ""Accepted"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""3 June 2024"", ""order"": 2, ""name"": ""first_online"", ""label"": ""First Online"", ""group"": {""name"": ""ArticleHistory"", ""label"": ""Article History""}}, {""value"": ""The authors declare the following competing interests: J.C. is a founder and shareholder of Unity Biotechnology, which develops senolytic drugs. M.J.S., C.M.C. and Mayo Clinic have intellectual property related to this research. Research in the M.J.S. and D.J.B. laboratory is reviewed by the Mayo Clinic Conflict of Interest Review Board and conducted in compliance with Mayo Clinic Conflict of Interest policies. D.J.B. has a potential financial interest related to this research; he is a co-inventor on patents held by Mayo Clinic and patent applications licensed to or filed by Unity Biotechnology and a Unity Biotechnology shareholder. N. Slavov is a founding director and CEO of Parallel Squared Technology Institute, which is a non-profit research institute."", ""order"": 1, ""name"": ""Ethics"", ""group"": {""name"": ""EthicsHeading"", ""label"": ""Competing interests""}}]}",unchanged claim; verified v7.2 evidence ledger reused
