"order","gene"
1,"ACVR1B"
2,"ANGPT1"
3,"ANGPTL4"
4,"AREG"
5,"AXL"
6,"BMP2"
7,"BMP6"
8,"C3"
9,"CCL1"
10,"CCL13"
11,"CCL2"
12,"CCL20"
13,"CCL24"
14,"CCL26"
15,"CCL3"
16,"CCL4"
17,"CCL5"
18,"CCL7"
19,"CCL8"
20,"CD55"
21,"CD9"
22,"CSF1"
23,"CSF2"
24,"CSF2RB"
25,"CTNNB1"
26,"CTSB"
27,"CXCL1"
28,"CXCL10"
29,"CXCL16"
30,"CXCL2"
31,"CXCL3"
32,"CXCL8"
33,"CXCR2"
34,"DKK1"
35,"EDN1"
36,"EGF"
37,"EGFR"
38,"EREG"
39,"ESM1"
40,"ETS2"
41,"FAS"
42,"FGF1"
43,"FGF2"
44,"FGF7"
45,"GDF15"
46,"GEM"
47,"GMFG"
48,"HGF"
49,"ICAM1"
50,"ICAM3"
51,"IGF1"
52,"IGFBP1"
53,"IGFBP2"
54,"IGFBP3"
55,"IGFBP4"
56,"IGFBP5"
57,"IGFBP6"
58,"IGFBP7"
59,"IL10"
60,"IL13"
61,"IL15"
62,"IL18"
63,"IL1A"
64,"IL1B"
65,"IL2"
66,"IL32"
67,"IL6"
68,"IL7"
69,"IQGAP2"
70,"ITGA2"
71,"ITPKA"
72,"JUN"
73,"KITLG"
74,"LCP1"
75,"MIF"
76,"MMP1"
77,"MMP10"
78,"MMP12"
79,"MMP13"
80,"MMP14"
81,"MMP3"
82,"NAP1L4"
83,"NRG1"
84,"PAPPA"
85,"PECAM1"
86,"PGF"
87,"PIGF"
88,"PLAT"
89,"PLAU"
90,"PLAUR"
91,"PTBP1"
92,"PTGER2"
93,"PTGES"
94,"SCAMP4"
95,"SELPLG"
96,"SEMA3F"
97,"SERPINB4"
98,"SERPINE1"
99,"SERPINE2"
100,"SPP1"
101,"TIMP2"
102,"TNF"
103,"TNFRSF10C"
104,"TNFRSF11B"
105,"TNFRSF1A"
106,"TNFRSF1B"
107,"TUBGCP2"
108,"VEGFA"
109,"VEGFC"
110,"VGF"
111,"WNT16"
