cohort,patient,compartment,score,cell_count,common_core_n,retained_nonzero_variance_n
GSE132465,SMC01,Epithelial,-0.034453213440924876,1093,111,111
GSE132465,SMC01,Fibroblast,0.5631625537243818,93,111,111
GSE132465,SMC02,Epithelial,-0.05007694393244008,352,111,111
GSE132465,SMC02,Fibroblast,0.5424746808512935,64,111,111
GSE132465,SMC03,Epithelial,0.022913526250683814,796,111,111
GSE132465,SMC03,Fibroblast,0.6192368923740893,180,111,111
GSE132465,SMC04,Epithelial,-0.06808316490945461,307,111,111
GSE132465,SMC04,Fibroblast,0.45212563411774237,39,111,111
GSE132465,SMC05,Epithelial,-0.1137901135050355,13,111,111
GSE132465,SMC05,Fibroblast,0.4797713297107776,8,111,111
GSE132465,SMC06,Epithelial,-0.0842158224067145,189,111,111
GSE132465,SMC06,Fibroblast,0.31497632227390504,67,111,111
GSE132465,SMC07,Epithelial,-0.10564927060445428,542,111,111
GSE132465,SMC07,Fibroblast,0.37975291949255274,66,111,111
GSE132465,SMC08,Epithelial,-0.10940246758016567,320,111,111
GSE132465,SMC08,Fibroblast,0.3291048861979433,126,111,111
GSE132465,SMC09,Epithelial,-0.0036195273874065595,1887,111,111
GSE132465,SMC09,Fibroblast,0.38918259475580436,14,111,111
GSE132465,SMC10,Epithelial,0.02155344607226061,511,111,111
GSE132465,SMC10,Fibroblast,0.43076611585371377,93,111,111
GSE132465,SMC11,Epithelial,-0.06876323563920025,326,111,111
GSE132465,SMC11,Fibroblast,0.3668573547338655,22,111,111
GSE132465,SMC14,Epithelial,0.05411241553759495,166,111,111
GSE132465,SMC14,Fibroblast,0.5182845979677076,137,111,111
GSE132465,SMC15,Epithelial,-0.01587462252843062,319,111,111
GSE132465,SMC15,Fibroblast,0.4767919581149788,115,111,111
GSE132465,SMC16,Epithelial,-0.07650112389396796,2720,111,111
GSE132465,SMC16,Fibroblast,0.46692503694357584,16,111,111
GSE132465,SMC17,Epithelial,0.047956407993737515,505,111,111
GSE132465,SMC17,Fibroblast,0.47631933684508393,76,111,111
GSE132465,SMC18,Epithelial,-0.047138370891716366,1516,111,111
GSE132465,SMC18,Fibroblast,0.7228795720191303,2,111,111
GSE132465,SMC19,Epithelial,-0.09829544099859587,382,111,111
GSE132465,SMC19,Fibroblast,0.6556802664070808,24,111,111
GSE132465,SMC20,Epithelial,0.11719857328260722,524,111,111
GSE132465,SMC20,Fibroblast,0.46230420437443487,305,111,111
GSE132465,SMC21,Epithelial,-0.05396002141035622,1727,111,111
GSE132465,SMC21,Fibroblast,0.16788276269620223,4,111,111
GSE132465,SMC22,Epithelial,-0.0759834273338465,1902,111,111
GSE132465,SMC22,Fibroblast,0.38562781708875876,4,111,111
GSE132465,SMC23,Epithelial,-0.14687866249116302,639,111,111
GSE132465,SMC23,Fibroblast,0.5345926501732047,14,111,111
GSE132465,SMC24,Epithelial,0.15131821682166352,317,111,111
GSE132465,SMC24,Fibroblast,0.7259869540458063,28,111,111
GSE132465,SMC25,Epithelial,-0.05890194225897569,416,111,111
GSE132465,SMC25,Fibroblast,0.6331676426792372,4,111,111
