"cohort","patient","compartment","score","cell_count","common_core_n","retained_nonzero_variance_n"
"GSE166555","p007","Epithelial",-0.216100072063543,1011,111,111
"GSE166555","p007","Fibroblast",0.0326022606937068,35,111,111
"GSE166555","p008","Epithelial",-0.00415416083878114,570,111,111
"GSE166555","p008","Fibroblast",0.0734718398793326,238,111,111
"GSE166555","p009","Epithelial",-0.325607610904995,3986,111,111
"GSE166555","p009","Fibroblast",-0.294314621051997,27,111,111
"GSE166555","p012","Epithelial",0.0875795576770328,906,111,111
"GSE166555","p012","Fibroblast",0.136498643799594,45,111,111
"GSE166555","p013","Epithelial",-0.179193311518902,1125,111,111
"GSE166555","p013","Fibroblast",0.191898152760143,47,111,111
"GSE166555","p014","Epithelial",0.0860114817730809,1277,111,111
"GSE166555","p014","Fibroblast",0.350708824907396,123,111,111
"GSE166555","p016","Epithelial",-0.109979583663109,967,111,111
"GSE166555","p016","Fibroblast",0.24724415853729,261,111,111
"GSE166555","p017","Epithelial",-0.368812370107602,1775,111,111
"GSE166555","p017","Fibroblast",0.15853182557651,402,111,111
"GSE166555","p021","Epithelial",0.0201224654803231,132,111,111
"GSE166555","p021","Fibroblast",-0.087641496273921,44,111,111
"GSE166555","p026","Epithelial",0.0665508529264801,890,111,111
"GSE166555","p026","Fibroblast",0.134583162411961,93,111,111
