"cohort","patient","archived_mean_difference","reconstructed_mean_difference","absolute_difference","represented_nonoverlap_n"
"GSE280315","P1",0.0637656917226727,0.0637656916602418,0.0000000000624309354213537,118
"GSE280315","P2",0.00158820279600712,0.00158820283406284,0.0000000000380557198167292,118
"GSE280315","P5",0.0196158936400577,0.0196158937365652,0.0000000000965075207248756,118
"GSE334323","CRC03",-0.207075778558279,-0.207075778558279,0.00000000000000024980018054066,118
"GSE334323","CRC07",-0.0408061373733896,-0.0408061373733896,0.0000000000000000416333634234434,118
"GSE334323","CRC08",0.0669119498743688,0.0669119498743688,0.0000000000000000416333634234434,118
"Valdeolivas_Visium","A121573",NA,0.120790778216475,NA,119
"Valdeolivas_Visium","A121573",NA,0.08280301539012,NA,121
"Valdeolivas_Visium","A416371",NA,0.00508620541653329,NA,117
"Valdeolivas_Visium","A416371",NA,0.0121901590583542,NA,118
"Valdeolivas_Visium","A551763",NA,0.125100451256369,NA,117
"Valdeolivas_Visium","A551763",NA,0.0551187019708998,NA,114
"Valdeolivas_Visium","A595688",NA,0.11092972666351,NA,118
"Valdeolivas_Visium","A595688",NA,0.135129183162268,NA,111
"Valdeolivas_Visium","A938797",NA,0.0830931759989124,NA,118
"Valdeolivas_Visium","A938797",NA,0.163015410091685,NA,120
"Valdeolivas_Visium","A120838",NA,0.252596646057035,NA,113
"Valdeolivas_Visium","A120838",NA,0.182752575074425,NA,113
