gene,SenMayo125_source,excluded_from_SenMayo_for_FAP13_overlap,SenMayo121_nonoverlap_candidate,SASP25,FAP13,matrix4,receptor2,common_core111,SenMayo_represented_GSE132465,SenMayo_represented_GSE166555,SenMayo_represented_GSE280315,SenMayo_represented_GSE334323,SenMayo_represented_Valdeolivas_Visium
ACTA2,False,False,False,False,True,False,False,False,False,False,False,False,False
ACVR1B,True,False,True,False,False,False,False,True,True,True,True,True,True
ANG,True,False,True,False,False,False,False,False,True,False,True,True,True
ANGPT1,True,False,True,False,False,False,False,True,True,True,True,True,True
ANGPTL4,True,False,True,False,False,False,False,True,True,True,True,True,True
AREG,True,False,True,False,False,False,False,True,True,True,True,True,True
AXL,True,False,True,False,False,False,False,True,True,True,True,True,True
BEX3,True,False,True,False,False,False,False,False,False,False,True,True,True
BMP2,True,False,True,False,False,False,False,True,True,True,True,True,True
BMP6,True,False,True,False,False,False,False,True,True,True,True,True,True
C3,True,False,True,False,False,False,False,True,True,True,True,True,True
CCL1,True,False,True,False,False,False,False,True,True,True,True,True,True
CCL13,True,False,True,False,False,False,False,True,True,True,True,True,True
CCL16,True,False,True,False,False,False,False,False,True,False,True,True,True
CCL2,True,False,True,True,False,False,False,True,True,True,True,True,True
CCL20,True,False,True,False,False,False,False,True,True,True,True,True,True
CCL24,True,False,True,False,False,False,False,True,True,True,True,True,True
CCL26,True,False,True,False,False,False,False,True,True,True,True,True,True
CCL3,True,False,True,False,False,False,False,True,True,True,True,True,True
CCL3L1,True,False,True,False,False,False,False,False,False,False,True,True,True
CCL4,True,False,True,False,False,False,False,True,True,True,True,True,True
CCL5,True,False,True,True,False,False,False,True,True,True,True,True,True
CCL7,True,False,True,False,False,False,False,True,True,True,True,True,True
CCL8,True,False,True,False,False,False,False,True,True,True,True,True,True
CD44,False,False,False,False,False,False,True,False,False,False,False,False,False
CD55,True,False,True,False,False,False,False,True,True,True,True,True,True
CD9,True,False,True,False,False,False,False,True,True,True,True,True,True
COL1A1,False,False,False,False,False,True,False,False,False,False,False,False,False
COL1A2,False,False,False,False,False,True,False,False,False,False,False,False,False
COL3A1,False,False,False,False,False,True,False,False,False,False,False,False,False
CSF1,True,False,True,False,False,False,False,True,True,True,True,True,True
CSF2,True,False,True,True,False,False,False,True,True,True,True,True,True
CSF2RB,True,False,True,False,False,False,False,True,True,True,True,True,True
CST4,True,False,True,False,False,False,False,False,True,False,True,True,True
CTNNB1,True,False,True,False,False,False,False,True,True,True,True,True,True
CTSB,True,False,True,False,False,False,False,True,True,True,True,True,True
CXCL1,True,False,True,True,False,False,False,True,True,True,True,True,True
CXCL10,True,False,True,True,False,False,False,True,True,True,True,True,True
CXCL12,True,True,False,False,True,False,False,False,False,False,False,False,False
CXCL16,True,False,True,False,False,False,False,True,True,True,True,True,True
CXCL2,True,False,True,True,False,False,False,True,True,True,True,True,True
CXCL3,True,False,True,True,False,False,False,True,True,True,True,True,True
CXCL8,True,False,True,True,False,False,False,True,True,True,True,True,True
CXCR2,True,False,True,False,False,False,False,True,True,True,True,True,True
DKK1,True,False,True,False,False,False,False,True,True,True,True,True,True
EDN1,True,False,True,False,False,False,False,True,True,True,True,True,True
EGF,True,False,True,False,False,False,False,True,True,True,True,True,True
EGFR,True,False,True,False,False,False,False,True,True,True,True,True,True
EREG,True,False,True,False,False,False,False,True,True,True,True,True,True
ESM1,True,False,True,False,False,False,False,True,True,True,True,True,True
ETS2,True,False,True,False,False,False,False,True,True,True,True,True,True
FAP,False,False,False,False,True,False,False,False,False,False,False,False,False
FAS,True,False,True,True,False,False,False,True,True,True,True,True,True
FGF1,True,False,True,False,False,False,False,True,True,True,True,True,True
FGF2,True,False,True,False,False,False,False,True,True,True,True,True,True
FGF7,True,False,True,False,False,False,False,True,True,True,True,True,True
FN1,False,False,False,False,False,True,False,False,False,False,False,False,False
GDF15,True,False,True,True,False,False,False,True,True,True,True,True,True
GEM,True,False,True,False,False,False,False,True,True,True,True,True,True
GMFG,True,False,True,False,False,False,False,True,True,True,True,True,True
HGF,True,False,True,True,False,False,False,True,True,True,True,True,True
HMGB1,True,False,True,False,False,False,False,False,True,True,False,False,True
ICAM1,True,False,True,False,False,False,False,True,True,True,True,True,True
ICAM3,True,False,True,False,False,False,False,True,True,True,True,True,True
IGF1,True,False,True,False,False,False,False,True,True,True,True,True,True
IGFBP1,True,False,True,False,False,False,False,True,True,True,True,True,True
IGFBP2,True,False,True,False,False,False,False,True,True,True,True,True,True
IGFBP3,True,False,True,True,False,False,False,True,True,True,True,True,True
IGFBP4,True,False,True,False,False,False,False,True,True,True,True,True,True
IGFBP5,True,False,True,False,False,False,False,True,True,True,True,True,True
IGFBP6,True,False,True,False,False,False,False,True,True,True,True,True,True
