analysis_family,model_id_or_gene,estimator,term,endpoint,predictor,estimate,std_error,df,statistic,p_value,ci_low,ci_high,patient_clusters,bootstrap_requested,bootstrap_valid,diagnostic,source_note
signature or matrix score model,GSE132_FAPdet_SenMayo_depth_subtype,random-intercept lmer; Satterthwaite inference,FAP_statusFAP+,SenMayo,binary FAP-detected,0.0238282995518691,0.0147477286013046,1492.73416997774,1.61572674654192,0.106364719392159,-0.0050767173604591,0.0527333164641974,23,,,converged,"depth, subtype, MKI67 and patient-adjusted model"
signature or matrix score model,GSE132_FAPdet_SASP_depth_subtype,random-intercept lmer; Satterthwaite inference,FAP_statusFAP+,SASP25,binary FAP-detected,0.0322565378786103,0.0383401811826954,1497.21838719046,0.841324607333078,0.400300458355478,-0.042888836400213,0.107401912157434,23,,,converged,"depth, subtype, MKI67 and patient-adjusted model"
signature or matrix score model,GSE132_matrix4_on_FAP_depth_subtype,random-intercept lmer; Satterthwaite inference,FAP_expr,matrix4,continuous FAP expression,0.301527336606263,0.0359759250459802,1494.29376251787,8.38136437689612,1e-16,0.231015819205629,0.372038854006897,23,,,converged,"depth, subtype, MKI67 and patient-adjusted model"
signature or matrix score model,GSE132_FAPdet_SenMayo_depth_subtype,patient fixed effects with patient-cluster percentile bootstrap,FAP_statusFAP+,SenMayo,binary FAP-detected,0.0239352966902746,0.0214169664314475,22.0,,0.273945210957808,-0.017467965657271,0.0674826479484025,23,5000.0,5000.0,converged,"depth, subtype, MKI67 and patient-adjusted model"
signature or matrix score model,GSE132_FAPdet_SASP_depth_subtype,patient fixed effects with patient-cluster percentile bootstrap,FAP_statusFAP+,SASP25,binary FAP-detected,0.0340399533940065,0.0368445094638096,22.0,,0.362727454509098,-0.0374248478921378,0.109496413037663,23,5000.0,5000.0,converged,"depth, subtype, MKI67 and patient-adjusted model"
signature or matrix score model,GSE132_matrix4_on_FAP_depth_subtype,patient fixed effects with patient-cluster percentile bootstrap,FAP_expr,matrix4,continuous FAP expression,0.298579658138803,0.0701618241737324,22.0,,0.0003999200159968,0.187200453753113,0.455206626229917,23,5000.0,5000.0,converged,"depth, subtype, MKI67 and patient-adjusted model"
single-gene detection model,CDKN2A,patient random-intercept logistic model,FAP-detected,CDKN2A transcript detection,binary FAP-detected,0.8902096,,,,0.5285691,0.6200189,1.278143,23,,,converged,v6.4 frozen adjusted marker-detection model
single-gene detection model,CDKN2B,patient random-intercept logistic model,FAP-detected,CDKN2B transcript detection,binary FAP-detected,0.9812225,,,,0.9112278,0.7031367,1.369289,23,,,converged,v6.4 frozen adjusted marker-detection model
single-gene detection model,CDKN1A,patient random-intercept logistic model,FAP-detected,CDKN1A transcript detection,binary FAP-detected,0.9618322,,,,0.7884639,0.7238329,1.278087,23,,,converged,v6.4 frozen adjusted marker-detection model
single-gene detection model,LMNB1,patient random-intercept logistic model,FAP-detected,LMNB1 transcript detection,binary FAP-detected,0.8561041,,,,0.6012626,0.4780376,1.533173,23,,,singular fit,v6.4 frozen adjusted marker-detection model
single-gene detection model,MKI67,patient random-intercept logistic model,FAP-detected,MKI67 transcript detection,binary FAP-detected,0.8363848,,,,0.6139833,0.4177235,1.674647,23,,,converged,v6.4 frozen adjusted marker-detection model
