analysis,cohort,patient,definition,effect_name,effect_value,n_stromal,n_tumour,n_sections,cohort_raw_p,cohort_holm_p,rho_fap_matrix4,rho_fap_senmayo,rho_senmayo_matrix4,null_center,null_q025,null_q975,observed_minus_null_center,empirical_p,monte_carlo_draws,technical_note
H1 source-available SenMayo,GSE280315,P1,author_deconvolution_singlet,stromal-minus-tumour patient median,0.0536603744526923,32143,121378,,0.75,0.75,,,,,,,,,,
H1 source-available SenMayo,GSE280315,P2,author_deconvolution_singlet,stromal-minus-tumour patient median,-0.009951767199303,44952,199861,,0.75,0.75,,,,,,,,,,
H1 source-available SenMayo,GSE280315,P5,author_deconvolution_singlet,stromal-minus-tumour patient median,0.002546555483849,30354,70003,,0.75,0.75,,,,,,,,,,
H1 source-available SenMayo,Valdeolivas_Visium,A121573,,stromal-minus-tumour patient median,0.0871774135875678,645,710,2.0,0.03125,0.0625,,,,,,,,,,
H1 source-available SenMayo,Valdeolivas_Visium,A416371,,stromal-minus-tumour patient median,0.0075723469283171,1252,1299,2.0,0.03125,0.0625,,,,,,,,,,
H1 source-available SenMayo,Valdeolivas_Visium,A551763,,stromal-minus-tumour patient median,0.0733974956082171,120,1073,2.0,0.03125,0.0625,,,,,,,,,,
H1 source-available SenMayo,Valdeolivas_Visium,A595688,,stromal-minus-tumour patient median,0.105047411785804,283,397,2.0,0.03125,0.0625,,,,,,,,,,
H1 source-available SenMayo,Valdeolivas_Visium,A938797,,stromal-minus-tumour patient median,0.120445511591333,1982,286,2.0,0.03125,0.0625,,,,,,,,,,
H1 source-available SenMayo,Valdeolivas_Visium,A120838,,stromal-minus-tumour patient median,0.217025960355804,564,275,2.0,0.03125,0.0625,,,,,,,,,,
H1 source-available SenMayo,GSE334323,CRC03,frozen_marker_margin,stromal-minus-tumour patient median,-0.245001232890349,2310,1641,,,,,,,,,,,,,
H1 source-available SenMayo,GSE334323,CRC07,frozen_marker_margin,stromal-minus-tumour patient median,-0.101302077458619,1013,1501,,,,,,,,,,,,,
H1 source-available SenMayo,GSE334323,CRC08,frozen_marker_margin,stromal-minus-tumour patient median,0.0799936463960744,1486,1666,,,,,,,,,,,,,
H1 111-gene common core,Valdeolivas_Visium,A120838,111-gene common core,stromal-minus-tumour patient mean,0.230776503333987,,,2.0,,,,,,,,,,,,
H1 111-gene common core,Valdeolivas_Visium,A121573,111-gene common core,stromal-minus-tumour patient mean,0.115304211200935,,,2.0,,,,,,,,,,,,
H1 111-gene common core,Valdeolivas_Visium,A416371,111-gene common core,stromal-minus-tumour patient mean,0.0173246818288662,,,2.0,,,,,,,,,,,,
H1 111-gene common core,Valdeolivas_Visium,A551763,111-gene common core,stromal-minus-tumour patient mean,0.100691520275811,,,2.0,,,,,,,,,,,,
H1 111-gene common core,Valdeolivas_Visium,A595688,111-gene common core,stromal-minus-tumour patient mean,0.133081500979361,,,2.0,,,,,,,,,,,,
H1 111-gene common core,Valdeolivas_Visium,A938797,111-gene common core,stromal-minus-tumour patient mean,0.12036893304004,,,2.0,,,,,,,,,,,,
H1 111-gene common core,GSE334323,CRC03,111-gene common core,stromal-minus-tumour patient mean,-0.214011799539304,,,1.0,,,,,,,,,,,,
H1 111-gene common core,GSE334323,CRC07,111-gene common core,stromal-minus-tumour patient mean,-0.0376616753411128,,,1.0,,,,,,,,,,,,
H1 111-gene common core,GSE334323,CRC08,111-gene common core,stromal-minus-tumour patient mean,0.0716313022563782,,,1.0,,,,,,,,,,,,
H1 111-gene common core,GSE280315,P1,111-gene common core,stromal-minus-tumour patient mean,0.066048112953867,,,1.0,,,,,,,,,,,,
H1 111-gene common core,GSE280315,P2,111-gene common core,stromal-minus-tumour patient mean,0.0048685551766931,,,1.0,,,,,,,,,,,,
H1 111-gene common core,GSE280315,P5,111-gene common core,stromal-minus-tumour patient mean,0.0230533140497261,,,1.0,,,,,,,,,,,,
H2 FAP-matrix comparative correlation,GSE280315,P1,author_deconvolution_singlet,Fisher-z FAP-matrix contrast,0.0176897220050365,32143,,,0.25,0.5,0.056001897566826,0.038352010286945,0.0089815331599148,,,,,,,
H2 FAP-matrix comparative correlation,GSE280315,P2,author_deconvolution_singlet,Fisher-z FAP-matrix contrast,0.0266127293258116,44952,,,0.25,0.5,0.0455911194742346,0.0190077277903434,-0.0177140281284538,,,,,,,
H2 FAP-matrix comparative correlation,GSE280315,P5,author_deconvolution_singlet,Fisher-z FAP-matrix contrast,0.0673555372480462,30354,,,0.25,0.5,0.0910310437411343,0.0179550841838476,0.0239236459020789,,,,,,,
H2 FAP-matrix comparative correlation,Valdeolivas_Visium,A121573,,Fisher-z FAP-matrix contrast,-0.0285800779684175,645,,2.0,1.0,1.0,0.133700171745264,0.0566714174681688,0.161654929220335,,,,,,,
