module,cohort,program,variant,model,outcome,cells,r,ci_low,ci_high,p,p_signflip,patients,positive_patients,negative_patients,loo_min,loo_max,q,observed_r,null_median,null_low,null_high,empirical_p,null_draws,pool_genes,target,rho,bootstrap
single_cell_primary,GSE132465,Troph_MMPplus,purged,adjusted,common_SenMayo,1435,0.025729144663303345,-0.0589958517487827,0.10599920673799457,0.5624819612293182,0.5606287874242515,15,8,7,0.003681166311974599,0.053510313237441376,0.5624819612293182,,,,,,,,,,
single_cell_primary,GSE132465,Troph_MMPminus,purged,adjusted,common_SenMayo,1435,-0.06766793384336375,-0.1482398747932568,-0.0005868579521057098,0.11240234921315312,0.09207815843683126,15,3,12,-0.08321067117965592,-0.035731724633253574,0.33720704763945936,,,,,,,,,,
single_cell_primary,GSE132465,Telocyte_CAF,purged,adjusted,common_SenMayo,1435,0.0627910067581795,-0.04354971863114442,0.16652371572132735,0.27443503339233855,0.28051438971220577,15,12,3,0.029437218957667537,0.09279092838534435,0.4116525500885078,,,,,,,,,,
single_cell_primary,GSE166555,Troph_MMPplus,purged,adjusted,common_SenMayo,1315,0.20621192769159571,0.06806974551420054,0.33116792452829324,0.02088273227323512,0.025599488010239795,10,8,2,0.16911884185889817,0.24431654147679263,0.03132409840985268,,,,,,,,,,
single_cell_primary,GSE166555,Troph_MMPminus,purged,adjusted,common_SenMayo,1315,0.1577133118737364,0.027877712900827675,0.2885721038257146,0.05339272975911674,0.051438971220575586,10,8,2,0.11306520828959096,0.1930770366611965,0.05339272975911674,,,,,,,,,,
single_cell_primary,GSE166555,Telocyte_CAF,purged,adjusted,common_SenMayo,1315,0.40897345571203725,0.33914206436176314,0.48224031777305393,5.525202485420063e-06,0.002239955200895982,10,10,0,0.3796167679012776,0.4269331622717535,1.657560745626019e-05,,,,,,,,,,
matched_null,GSE132465,Troph_MMPplus,,,,,,,,,,,,,,,0.16933066933066931,0.025729144663303345,0.13543387640359725,0.006294324160847551,0.2695046335684198,0.11288711288711288,1000,13544,,,
matched_null,GSE132465,Troph_MMPminus,,,,,,,,,,,,,,,0.002997002997002997,-0.06766793384336375,0.12933022311966622,0.008456663852682636,0.25891448505370607,0.000999000999000999,1000,13544,,,
matched_null,GSE132465,Telocyte_CAF,,,,,,,,,,,,,,,0.33266733266733267,0.0627910067581795,0.12399263053156921,-0.002493826760845461,0.24104168661200223,0.33266733266733267,1000,13544,,,
matched_null,GSE166555,Troph_MMPplus,,,,,,,,,,,,,,,0.528971028971029,0.20621192769159571,0.11900373993720548,-0.05691651833607682,0.28165902845125207,0.35264735264735264,1000,12655,,,
matched_null,GSE166555,Troph_MMPminus,,,,,,,,,,,,,,,0.7082917082917083,0.1577133118737364,0.1259080380834709,-0.038332961361739755,0.2849500848540124,0.7082917082917083,1000,12655,,,
matched_null,GSE166555,Telocyte_CAF,,,,,,,,,,,,,,,0.002997002997002997,0.40897345571203725,0.07530127884319382,-0.07450715690862107,0.23592899656128244,0.000999000999000999,1000,12655,,,
bulk,TCGA-COAD/READ,Troph_MMPplus,,marginal,,,,0.7694259247977547,0.8470900322373538,3.3828592937482425e-91,,380,,,,,5.074288940622364e-91,,,,,,,,SenMayo,0.8139818725964351,5000
bulk,TCGA-COAD/READ,Troph_MMPplus,,fib5_adjusted,,,,0.23787133701790505,0.43961790730589856,7.099253448885207e-12,,380,,,,,1.2778656207993374e-11,,,,,,,,SenMayo,0.342570564992044,5000
bulk,TCGA-COAD/READ,Troph_MMPplus,,marginal,,,,0.9542973025518808,0.97079758221855,3.1239232862192915e-220,,380,,,,,2.8115309575973624e-219,,,,,,,,FAP13,0.9643019834296855,5000
bulk,TCGA-COAD/READ,Troph_MMPplus,,fib5_adjusted,,,,0.6681848175013325,0.7788890042940962,2.8366279310361756e-64,,380,,,,,1.276482568966279e-63,,,,,,,,FAP13,0.7299224627577982,5000
bulk,TCGA-COAD/READ,Troph_MMPplus,,marginal,,,,0.930740864329156,0.9556311073038514,5.197137808472588e-186,,380,,,,,1.5591413425417762e-185,,,,,,,,matrix4,0.9453133696435425,5000
bulk,TCGA-COAD/READ,Troph_MMPplus,,fib5_adjusted,,,,0.6847722528701763,0.7840967135850976,6.89966414485102e-67,,380,,,,,6.209697730365919e-66,,,,,,,,matrix4,0.7398900209019259,5000
bulk,TCGA-COAD/READ,Troph_MMPminus,,marginal,,,,0.7237154966234278,0.8134501822781992,9.182292696353e-77,,380,,,,,1.0330079283397124e-76,,,,,,,,SenMayo,0.7731767350772585,5000
bulk,TCGA-COAD/READ,Troph_MMPminus,,fib5_adjusted,,,,-0.014116615623196334,0.19454189097994934,0.08831006362126828,,380,,,,,0.11354151037020208,,,,,,,,SenMayo,0.08766908400268303,5000
bulk,TCGA-COAD/READ,Troph_MMPminus,,marginal,,,,0.9521349137567812,0.9703560318953179,9.34332663871321e-218,,380,,,,,4.2044969874209445e-217,,,,,,,,FAP13,0.963188183618417,5000
bulk,TCGA-COAD/READ,Troph_MMPminus,,fib5_adjusted,,,,0.5510726830801715,0.6953572927651562,4.9566833852925845e-43,,380,,,,,1.1152537616908315e-42,,,,,,,,FAP13,0.6283680848021641,5000
bulk,TCGA-COAD/READ,Troph_MMPminus,,marginal,,,,0.9086914320158973,0.940321871207464,7.837727906287085e-163,,380,,,,,1.7634887789145942e-162,,,,,,,,matrix4,0.9267798545040223,5000
bulk,TCGA-COAD/READ,Troph_MMPminus,,fib5_adjusted,,,,0.5638138617361413,0.6914903600368726,5.08918908368963e-44,,380,,,,,1.5267567251068892e-43,,,,,,,,matrix4,0.6340989862516934,5000
bulk,TCGA-COAD/READ,Telocyte_CAF,,marginal,,,,0.6825572915384497,0.7822095852029418,1.9281045198624085e-66,,380,,,,,1.9281045198624085e-66,,,,,,,,SenMayo,0.7375762552663836,5000
bulk,TCGA-COAD/READ,Telocyte_CAF,,fib5_adjusted,,,,-0.044370257613844784,0.17604153051237093,0.19087165103362008,,380,,,,,0.2147306074128226,,,,,,,,SenMayo,0.06733384079183295,5000
