sample_id,patient_id,CLDN1,CLDN4,COL1A1,COL1A2,FAP,FN1
01CO005,01CO005,,-0.962,-2.12,-1.91,-0.86,-0.356
01CO006,01CO006,,0.502,-0.976,-0.706,-1.2,-1.95
01CO008,01CO008,-0.144,-0.594,-2.59,-2.65,-1.12,-1.64
01CO013,01CO013,,1.02,-3.26,-2.83,-1.1,-1.03
01CO014,01CO014,,,-3.2,-2.69,-0.552,-0.391
01CO015,01CO015,,0.159,-1.68,-1.66,0.449,-0.235
01CO019,01CO019,0.351,0.121,-1.04,-1.11,0.147,-0.387
01CO022,01CO022,,-0.465,-2.05,-2.43,-0.244,0.25
05CO002,05CO002,-0.313,0.402,-2.28,-1.88,0.681,-0.65
05CO003,05CO003,,-0.617,-1.02,-0.93,1.03,1.21
05CO006,05CO006,,-0.0749,-0.646,-0.417,0.291,-0.203
05CO011,05CO011,,-0.657,-0.665,-1.12,0.723,-0.263
05CO015,05CO015,,-0.0431,-0.97,-0.842,1.02,0.384
05CO020,05CO020,,,-0.284,-0.153,0.331,-0.0869
05CO026,05CO026,,,-3.51,-3.27,-1.74,-0.867
05CO028,05CO028,,-0.287,-2.96,-3.1,-1.17,-1.73
05CO029,05CO029,,,-2.67,-2.64,-1.6,-1.74
05CO032,05CO032,,,-0.518,-0.452,0.546,-0.0412
05CO033,05CO033,,-0.309,-0.0378,-0.213,1.26,0.546
05CO034,05CO034,-0.265,0.0866,-0.685,-0.704,0.603,0.0069
05CO035,05CO035,,-0.31,-1.81,-1.73,-0.0955,-0.121
05CO037,05CO037,,,0.191,0.527,1.24,1.68
05CO039,05CO039,-1.06,-0.851,-2.47,-2.07,-0.738,-0.73
05CO041,05CO041,1.4,0.624,-2.2,-1.99,0.356,-0.116
05CO044,05CO044,,-0.417,-1.48,-1.31,1.14,1.24
05CO045,05CO045,,0.152,-0.639,-0.506,0.36,-0.486
05CO047,05CO047,,-0.0346,-1.47,-1.29,0.0763,-0.915
05CO048,05CO048,,,-0.436,-0.197,0.444,0.861
05CO049,05CO049,,,-1.6,-1.51,-0.0544,-0.976
05CO050,05CO050,,-0.209,-2.9,-2.09,-0.919,-0.434
05CO053,05CO053,,-0.385,-2.75,-2.69,-0.159,-0.558
05CO054,05CO054,,,-3.34,-3.6,-1.16,-2.26
06CO001,06CO001,,1.26,-1.63,-1.97,0.285,-0.348
06CO002,06CO002,,-0.611,0.265,0.415,1.97,0.119
09CO005,09CO005,0.0876,0.0961,-2.06,-1.73,0.0078,-0.917
09CO006,09CO006,,0.14,-1.12,-1.03,-0.131,-0.833
09CO008,09CO008,,,-1.13,-0.785,1.15,0.184
09CO011,09CO011,-0.0455,-1.09,-2.1,-1.94,-0.445,-1.17
09CO013,09CO013,,1.8,-2.39,-2,0.845,0.364
09CO014,09CO014,,-0.271,-1.32,-1.17,0.154,-0.134
09CO015,09CO015,,-0.35,-1.93,-1.91,0.609,-0.63
09CO018,09CO018,0.832,1.36,-2.98,-2.87,-0.214,-1.52
09CO019,09CO019,,,-0.827,-0.711,0.141,-0.0105
09CO022,09CO022,,-0.169,-2.6,-2.41,-1.39,-1.54
11CO005,11CO005,,-0.0668,0.394,0.308,0.451,-0.181
11CO007,11CO007,,-1.13,-1.16,-1.08,0.229,0.667
11CO008,11CO008,,0.32,0.266,0.338,1.9,1.44
11CO010,11CO010,,-0.813,-0.844,-0.773,-0.313,-0.422
11CO018,11CO018,,,-1.37,-1.19,0.787,0.821
11CO019,11CO019,,-0.0689,-0.117,0.0585,1.18,0.576
11CO020,11CO020,0.0751,-0.236,-1.14,-0.817,0.119,0.0112
11CO021,11CO021,0.718,0.743,-0.479,-0.233,0.708,0.664
11CO022,11CO022,,,-0.465,-0.228,-0.174,-0.395
11CO027,11CO027,,-0.619,-0.477,-0.356,0.306,-0.16
11CO030,11CO030,,,0.213,0.39,1.05,0.381
11CO031,11CO031,,-1.31,-0.65,-0.416,0.294,0.0244
11CO032,11CO032,,,-0.558,-0.59,-0.38,-0.173
11CO033,11CO033,-0.682,-1.77,-0.538,-0.466,0.521,0.603
11CO036,11CO036,-0.13,0.221,0.259,0.701,0.777,1.72
11CO037,11CO037,0.884,-0.329,0.533,0.451,-0.0488,0.176
11CO039,11CO039,,-0.663,-0.828,-0.85,-0.522,0.0498
11CO042,11CO042,,0.257,-0.228,-0.0606,0.577,-0.0659
11CO043,11CO043,,,-0.254,-0.444,0.741,0.692
11CO044,11CO044,,-0.171,-0.232,-0.0334,0.744,0.571
11CO045,11CO045,,,0.0319,0.178,1.72,0.219
11CO047,11CO047,,-0.924,-0.208,0.207,1.62,1.46
11CO048,11CO048,,,-0.391,-0.312,0.58,0.281
11CO051,11CO051,,-0.308,0.109,0.2,0.607,0.198
11CO052,11CO052,,,-0.43,-0.209,0.72,0.251
11CO053,11CO053,,0.389,-0.994,-0.79,0.12,0.446
11CO054,11CO054,0.101,-1.31,-1.11,-0.896,0.0194,0.239
11CO057,11CO057,,-1.61,-0.083,-0.0069,1.29,1.25
