Var1,Var2,Freq,method
CMS2,CMS1,0.00148724809096,SSP
CMS3,CMS1,3.92983360411364e-05,SSP
CMS4,CMS1,4.21529477989679e-12,SSP
CMS2,CMS2,,SSP
CMS3,CMS2,0.00478671484053489,SSP
CMS4,CMS2,0,SSP
CMS2,CMS3,,SSP
CMS3,CMS3,,SSP
CMS4,CMS3,2.78044254287124e-12,SSP
CMS2,CMS1,1.82897890325064e-11,legacy
CMS3,CMS1,0.240525653134667,legacy
CMS4,CMS1,1.10871312131167e-11,legacy
CMS2,CMS2,,legacy
CMS3,CMS2,0.000486736660134213,legacy
CMS4,CMS2,0,legacy
CMS2,CMS3,,legacy
CMS3,CMS3,,legacy
CMS4,CMS3,3.65121266554525e-11,legacy
