scope,predictor,outcome,n,spearman_rho,ci_low,ci_high,p_value,fdr_bh_four_outcomes
all_profiles,reduced_FAP_CAF,CLDN1,434,0.155047899735653,0.0618214943001826,0.245592271667748,0.00119377931838779,0.00255378785701058
all_profiles,reduced_FAP_CAF,CLDN2,434,-0.0757920583766873,-0.168717052573963,0.0184683548156746,0.114872516011963,0.153163354682617
all_profiles,reduced_FAP_CAF,CLDN4,434,-0.154138374016951,-0.244716478443136,-0.0608932075305325,0.00127689392850529,0.00255378785701058
all_profiles,reduced_FAP_CAF,CLDN_core,434,-0.0539907790062568,-0.147370486651472,0.0403429030034153,0.261715008484681,0.261715008484681
all_tumours,reduced_FAP_CAF,CLDN1,383,0.102735346996158,0.0025550586363334,0.200873989753429,0.0445034175949083,0.0445034175949083
all_tumours,reduced_FAP_CAF,CLDN2,383,-0.172533847353092,-0.268105161550153,-0.0735997230156949,0.000696428940442779,0.00278571576177112
all_tumours,reduced_FAP_CAF,CLDN4,383,-0.108764247017636,-0.206717843120119,-0.00865195165347488,0.0333439497252175,0.0444585996336234
all_tumours,reduced_FAP_CAF,CLDN_core,383,-0.145613474498654,-0.242284785080285,-0.0460792444982808,0.00429512015847774,0.00859024031695548
primary_tumours,reduced_FAP_CAF,CLDN1,380,0.100173100420934,-0.000433081096630146,0.198771775883157,0.0510320196935129,0.0510320196935129
primary_tumours,reduced_FAP_CAF,CLDN2,380,-0.178877834053989,-0.274539198808349,-0.0797104410245546,0.000458698125355826,0.00183479250142331
primary_tumours,reduced_FAP_CAF,CLDN4,380,-0.109397444153773,-0.207713256052014,-0.00889350525085921,0.0330129624959208,0.0440172833278944
primary_tumours,reduced_FAP_CAF,CLDN_core,380,-0.151562720400819,-0.248377406699933,-0.0517499600430496,0.00305750424347391,0.00611500848694782
