"omitted_patient","predictor","patients","spearman_rho","p_value"
"p007","FAP_log_cpm",9,-0.5,0.170470660787054
"p007","FAP_CAF",9,-0.45,0.224216107492337
"p007","FAP_CAF_de_ligand",9,-0.45,0.224216107492337
"p008","FAP_log_cpm",9,-0.533333333333333,0.139226867543978
"p008","FAP_CAF",9,-0.383333333333333,0.308495272380372
"p008","FAP_CAF_de_ligand",9,-0.383333333333333,0.308495272380372
"p009","FAP_log_cpm",9,-0.4,0.286105101908313
"p009","FAP_CAF",9,-0.183333333333333,0.636819811762894
"p009","FAP_CAF_de_ligand",9,-0.183333333333333,0.636819811762894
"p012","FAP_log_cpm",9,-0.2,0.605901274179553
"p012","FAP_CAF",9,-0.283333333333333,0.46003032896572
"p012","FAP_CAF_de_ligand",9,-0.283333333333333,0.46003032896572
"p013","FAP_log_cpm",9,-0.2,0.605901274179553
"p013","FAP_CAF",9,-0.283333333333333,0.46003032896572
"p013","FAP_CAF_de_ligand",9,-0.283333333333333,0.46003032896572
"p014","FAP_log_cpm",9,-0.4,0.286105101908313
"p014","FAP_CAF",9,-0.383333333333333,0.308495272380372
"p014","FAP_CAF_de_ligand",9,-0.383333333333333,0.308495272380372
"p016","FAP_log_cpm",9,-0.483333333333333,0.187469855215542
"p016","FAP_CAF",9,-0.35,0.355819572501788
"p016","FAP_CAF_de_ligand",9,-0.35,0.355819572501788
"p017","FAP_log_cpm",9,-0.6,0.0876228290414023
"p017","FAP_CAF",9,-0.766666666666667,0.015944016578974
"p017","FAP_CAF_de_ligand",9,-0.766666666666667,0.015944016578974
"p021","FAP_log_cpm",9,-0.366666666666667,0.331739801433015
"p021","FAP_CAF",9,-0.316666666666667,0.406397014486386
"p021","FAP_CAF_de_ligand",9,-0.316666666666667,0.406397014486386
"p026","FAP_log_cpm",9,-0.45,0.224216107492337
"p026","FAP_CAF",9,-0.4,0.286105101908313
"p026","FAP_CAF_de_ligand",9,-0.4,0.286105101908313
