patient,sample_origin,analysis_group,gene,count_sum,positive_cells,cell_count,total_umi,log_cpm,positive_fraction
p007,Normal,CAF_like,ACTA2,108,4,23,195413.0,6.316578983190417,0.17391304347826086
p007,Normal,CAF_like,CLDN1,2,2,23,195413.0,2.419010195117733,0.08695652173913043
p007,Normal,CAF_like,CLDN2,0,0,23,195413.0,0.0,0.0
p007,Normal,CAF_like,CLDN4,9,2,23,195413.0,3.8513447841546835,0.08695652173913043
p007,Normal,CAF_like,CLDN7,0,0,23,195413.0,0.0,0.0
p007,Normal,CAF_like,COL1A1,117,7,23,195413.0,6.396482749543753,0.30434782608695654
p007,Normal,CAF_like,COL1A2,152,6,23,195413.0,6.657805318389098,0.2608695652173913
p007,Normal,CAF_like,COL3A1,254,6,23,195413.0,7.170743325137983,0.2608695652173913
p007,Normal,CAF_like,CXCL12,5,3,23,195413.0,3.2804161323020566,0.13043478260869565
p007,Normal,CAF_like,EPCAM,22,3,23,195413.0,4.732525657299441,0.13043478260869565
p007,Normal,CAF_like,FAP,1,1,23,195413.0,1.8111317437618146,0.043478260869565216
p007,Normal,CAF_like,FN1,19,4,23,195413.0,4.587311355633108,0.17391304347826086
p007,Normal,CAF_like,INHBA,0,0,23,195413.0,0.0,0.0
p007,Normal,CAF_like,KRT19,17,3,23,195413.0,4.477282673597865,0.13043478260869565
p007,Normal,CAF_like,MMP2,25,5,23,195413.0,4.859301965531526,0.21739130434782608
p007,Normal,CAF_like,MMP9,10,3,23,195413.0,3.9545779246518733,0.13043478260869565
p007,Normal,CAF_like,PDPN,0,0,23,195413.0,0.0,0.0
p007,Normal,CAF_like,PECAM1,8,4,23,195413.0,3.7362146189012275,0.17391304347826086
p007,Normal,CAF_like,POSTN,228,3,23,195413.0,7.062842347829187,0.13043478260869565
p007,Normal,CAF_like,PTPRC,88,10,23,195413.0,6.112194966249641,0.43478260869565216
p007,Normal,CAF_like,TAGLN,176,6,23,195413.0,6.804233691638094,0.2608695652173913
p007,Normal,CAF_like,TGFB1,18,6,23,195413.0,4.533809540742088,0.2608695652173913
p007,Normal,CAF_like,THY1,15,3,23,195413.0,4.353633617384823,0.13043478260869565
p007,Normal,CAF_like,VWF,0,0,23,195413.0,0.0,0.0
p007,Normal,CAF_like,WNT2,0,0,23,195413.0,0.0,0.0
p007,Normal,CAF_like,WNT5A,3,2,23,195413.0,2.794356355343326,0.08695652173913043
p007,Normal,Epithelial,ACTA2,11,11,837,3243414.0,1.4796681456882168,0.013142174432497013
p007,Normal,Epithelial,CLDN1,2,2,837,3243414.0,0.4803463341472605,0.0023894862604540022
p007,Normal,Epithelial,CLDN2,0,0,837,3243414.0,0.0,0.0
p007,Normal,Epithelial,CLDN4,4903,749,837,3243414.0,7.321637360408532,0.8948626045400239
p007,Normal,Epithelial,CLDN7,176,138,837,3243414.0,4.012118258072394,0.16487455197132617
p007,Normal,Epithelial,COL1A1,24,20,837,3243414.0,2.1281853250727303,0.023894862604540025
p007,Normal,Epithelial,COL1A2,4,4,837,3243414.0,0.8034661634637619,0.0047789725209080045
p007,Normal,Epithelial,COL3A1,2,2,837,3243414.0,0.4803463341472605,0.0023894862604540022
p007,Normal,Epithelial,CXCL12,0,0,837,3243414.0,0.0,0.0
p007,Normal,Epithelial,EPCAM,2022,588,837,3243414.0,6.43681869800925,0.7025089605734767
p007,Normal,Epithelial,FAP,0,0,837,3243414.0,0.0,0.0
p007,Normal,Epithelial,FN1,18,15,837,3243414.0,1.8794204391687561,0.017921146953405017
p007,Normal,Epithelial,INHBA,1,1,837,3243414.0,0.26874165518075216,0.0011947431302270011
p007,Normal,Epithelial,KRT19,12434,691,837,3243414.0,8.251824272472037,0.8255675029868578
p007,Normal,Epithelial,MMP2,1,1,837,3243414.0,0.26874165518075216,0.0011947431302270011
p007,Normal,Epithelial,MMP9,1,1,837,3243414.0,0.26874165518075216,0.0011947431302270011
p007,Normal,Epithelial,PDPN,0,0,837,3243414.0,0.0,0.0
p007,Normal,Epithelial,PECAM1,1,1,837,3243414.0,0.26874165518075216,0.0011947431302270011
p007,Normal,Epithelial,POSTN,0,0,837,3243414.0,0.0,0.0
p007,Normal,Epithelial,PTPRC,10,10,837,3243414.0,1.4068738935030145,0.011947431302270013
p007,Normal,Epithelial,TAGLN,71,65,837,3243414.0,3.1307225946601425,0.07765830346475508
p007,Normal,Epithelial,TGFB1,24,20,837,3243414.0,2.1281853250727303,0.023894862604540025
p007,Normal,Epithelial,THY1,0,0,837,3243414.0,0.0,0.0
p007,Normal,Epithelial,VWF,1,1,837,3243414.0,0.26874165518075216,0.0011947431302270011
p007,Normal,Epithelial,WNT2,1,1,837,3243414.0,0.26874165518075216,0.0011947431302270011
p007,Normal,Epithelial,WNT5A,2,2,837,3243414.0,0.4803463341472605,0.0023894862604540022
p007,Normal,Immune,ACTA2,3,3,344,2995196.0,0.6939488100264777,0.00872093023255814
p007,Normal,Immune,CLDN1,0,0,344,2995196.0,0.0,0.0
p007,Normal,Immune,CLDN2,0,0,344,2995196.0,0.0,0.0
p007,Normal,Immune,CLDN4,16,16,344,2995196.0,1.8471764332610645,0.046511627906976744
p007,Normal,Immune,CLDN7,0,0,344,2995196.0,0.0,0.0
p007,Normal,Immune,COL1A1,1,1,344,2995196.0,0.28808296751127016,0.0029069767441860465
p007,Normal,Immune,COL1A2,0,0,344,2995196.0,0.0,0.0
p007,Normal,Immune,COL3A1,2,2,344,2995196.0,0.5114669787397587,0.005813953488372093
p007,Normal,Immune,CXCL12,0,0,344,2995196.0,0.0,0.0
p007,Normal,Immune,EPCAM,11,10,344,2995196.0,1.5417044560409754,0.029069767441860465
p007,Normal,Immune,FAP,1,1,344,2995196.0,0.28808296751127016,0.0029069767441860465
p007,Normal,Immune,FN1,0,0,344,2995196.0,0.0,0.0
p007,Normal,Immune,INHBA,0,0,344,2995196.0,0.0,0.0
p007,Normal,Immune,KRT19,46,35,344,2995196.0,2.7947125806578264,0.10174418604651163
p007,Normal,Immune,MMP2,0,0,344,2995196.0,0.0,0.0
p007,Normal,Immune,MMP9,1,1,344,2995196.0,0.28808296751127016,0.0029069767441860465
p007,Normal,Immune,PDPN,0,0,344,2995196.0,0.0,0.0
p007,Normal,Immune,PECAM1,80,55,344,2995196.0,3.321773054773283,0.15988372093023256
p007,Normal,Immune,POSTN,0,0,344,2995196.0,0.0,0.0
p007,Normal,Immune,PTPRC,568,151,344,2995196.0,5.250371124480477,0.438953488372093
p007,Normal,Immune,TAGLN,10,10,344,2995196.0,1.4675700788736763,0.029069767441860465
p007,Normal,Immune,TGFB1,391,199,344,2995196.0,4.87932904450004,0.5784883720930233
p007,Normal,Immune,THY1,0,0,344,2995196.0,0.0,0.0
