sample_id,patient,sample_origin,analysis_group,cell_count,total_umi
p007n,p007,Normal,CAF_like,23,195413.0
p007n,p007,Normal,Epithelial,837,3243414.0
p007n,p007,Normal,Immune,344,2995196.0
p007n,p007,Normal,Vascular,4,20517.0
p007t,p007,Tumor,CAF_like,35,206666.0
p007t,p007,Tumor,Epithelial,1011,5953867.0
p007t,p007,Tumor,Immune,973,4437573.0
p007t,p007,Tumor,Other_stromal,2,10568.0
p007t,p007,Tumor,Vascular,23,161894.0
p008n,p008,Normal,Epithelial,757,4440689.0
p008n,p008,Normal,Immune,550,4342257.0
p008t,p008,Tumor,CAF_like,238,2419366.0
p008t,p008,Tumor,Epithelial,570,4705338.0
p008t,p008,Tumor,Immune,2360,12167053.0
p008t,p008,Tumor,Other_stromal,10,39281.0
p008t,p008,Tumor,Vascular,158,1223343.0
p009n1,p009,Normal,CAF_like,19,75480.0
p009n1,p009,Normal,Epithelial,2303,10856809.0
p009n1,p009,Normal,Immune,754,6371422.0
p009n1,p009,Normal,Other_stromal,3,6985.0
p009n1,p009,Normal,Vascular,9,51949.0
p009n2,p009,Normal,CAF_like,72,362594.0
p009n2,p009,Normal,Epithelial,3332,15127118.0
p009n2,p009,Normal,Immune,582,3577277.0
p009n2,p009,Normal,Other_stromal,3,5010.0
p009n2,p009,Normal,Vascular,8,21891.0
p009t1,p009,Tumor,CAF_like,7,39176.0
p009t1,p009,Tumor,Epithelial,2055,12011533.0
p009t1,p009,Tumor,Immune,785,5118309.0
p009t1,p009,Tumor,Vascular,42,252352.0
p009t2,p009,Tumor,CAF_like,20,138082.0
p009t2,p009,Tumor,Epithelial,1931,13082454.0
p009t2,p009,Tumor,Immune,2089,12458623.0
p009t2,p009,Tumor,Vascular,72,417704.0
p012n,p012,Normal,CAF_like,304,1347521.0
p012n,p012,Normal,Epithelial,1124,3781347.0
p012n,p012,Normal,Immune,3082,18804372.0
p012n,p012,Normal,Other_stromal,12,27548.0
p012n,p012,Normal,Vascular,44,201523.0
p012t,p012,Tumor,CAF_like,45,295947.0
p012t,p012,Tumor,Epithelial,906,4851138.0
p012t,p012,Tumor,Immune,3149,23361666.0
p012t,p012,Tumor,Other_stromal,5,13115.0
p012t,p012,Tumor,Vascular,17,114185.0
p013n,p013,Normal,CAF_like,32,115688.0
p013n,p013,Normal,Epithelial,1396,6278649.0
p013n,p013,Normal,Immune,2224,19536701.0
p013n,p013,Normal,Other_stromal,7,10000.0
p013n,p013,Normal,Vascular,11,56896.0
p013t,p013,Tumor,CAF_like,47,279124.0
p013t,p013,Tumor,Epithelial,1125,8212854.0
p013t,p013,Tumor,Immune,2203,14769114.0
p013t,p013,Tumor,Other_stromal,10,37514.0
p013t,p013,Tumor,Vascular,39,292528.0
p014n,p014,Normal,CAF_like,35,170177.0
p014n,p014,Normal,Epithelial,1961,8986938.0
p014n,p014,Normal,Immune,943,9483044.0
p014n,p014,Normal,Other_stromal,2,13771.0
p014n,p014,Normal,Vascular,15,75620.0
p014t,p014,Tumor,CAF_like,123,794873.0
p014t,p014,Tumor,Epithelial,1277,7611148.0
p014t,p014,Tumor,Immune,1991,10352298.0
p014t,p014,Tumor,Other_stromal,8,25603.0
p014t,p014,Tumor,Vascular,102,821539.0
p016n,p016,Normal,CAF_like,43,170632.0
p016n,p016,Normal,Epithelial,2709,12332922.0
p016n,p016,Normal,Immune,1114,8895359.0
p016n,p016,Normal,Other_stromal,7,12615.0
p016n,p016,Normal,Vascular,21,100914.0
p016t,p016,Tumor,CAF_like,261,2917314.0
p016t,p016,Tumor,Epithelial,967,8613057.0
p016t,p016,Tumor,Immune,1576,7675636.0
p016t,p016,Tumor,Vascular,115,1037002.0
p017n,p017,Normal,CAF_like,77,285668.0
p017n,p017,Normal,Epithelial,1475,5352379.0
p017n,p017,Normal,Immune,1464,4869438.0
p017n,p017,Normal,Other_stromal,7,10704.0
p017n,p017,Normal,Vascular,7,34786.0
p017t,p017,Tumor,CAF_like,402,1562672.0
p017t,p017,Tumor,Epithelial,1775,7940696.0
p017t,p017,Tumor,Immune,3192,13161205.0
p017t,p017,Tumor,Other_stromal,33,61246.0
p017t,p017,Tumor,Vascular,130,671663.0
p020n,p020,Normal,Epithelial,658,3333029.0
p020n,p020,Normal,Immune,224,2830120.0
p020t,p020,Tumor,Epithelial,320,2125814.0
p020t,p020,Tumor,Immune,97,461054.0
p021n,p021,Normal,Epithelial,1090,3873006.0
p021n,p021,Normal,Immune,77,815770.0
p021t,p021,Tumor,CAF_like,44,639246.0
p021t,p021,Tumor,Epithelial,132,450118.0
p021t,p021,Tumor,Immune,1056,7608765.0
p021t,p021,Tumor,Other_stromal,1,5743.0
p021t,p021,Tumor,Vascular,22,259614.0
p025n,p025,Normal,CAF_like,57,404820.0
p025n,p025,Normal,Epithelial,232,1177665.0
p025n,p025,Normal,Immune,411,5738429.0
p025n,p025,Normal,Other_stromal,1,4053.0
p025n,p025,Normal,Vascular,3,31766.0
p025t,p025,Tumor,CAF_like,9,56712.0
p025t,p025,Tumor,Epithelial,414,3004474.0
p025t,p025,Tumor,Immune,680,2545460.0
p025t,p025,Tumor,Vascular,14,114029.0
p026t,p026,Tumor,CAF_like,93,717866.0
p026t,p026,Tumor,Epithelial,890,4417519.0
p026t,p026,Tumor,Immune,2532,14646924.0
p026t,p026,Tumor,Other_stromal,4,10001.0
p026t,p026,Tumor,Vascular,46,311993.0
