sample_id,patient,sample_origin,analysis_group,gene,count_sum,positive_cells,cell_count,total_umi
p007n,p007,Normal,CAF_like,ACTA2,108,4,23,195413.0
p007n,p007,Normal,CAF_like,CLDN1,2,2,23,195413.0
p007n,p007,Normal,CAF_like,CLDN2,0,0,23,195413.0
p007n,p007,Normal,CAF_like,CLDN4,9,2,23,195413.0
p007n,p007,Normal,CAF_like,CLDN7,0,0,23,195413.0
p007n,p007,Normal,CAF_like,COL1A1,117,7,23,195413.0
p007n,p007,Normal,CAF_like,COL1A2,152,6,23,195413.0
p007n,p007,Normal,CAF_like,COL3A1,254,6,23,195413.0
p007n,p007,Normal,CAF_like,CXCL12,5,3,23,195413.0
p007n,p007,Normal,CAF_like,EPCAM,22,3,23,195413.0
p007n,p007,Normal,CAF_like,FAP,1,1,23,195413.0
p007n,p007,Normal,CAF_like,FN1,19,4,23,195413.0
p007n,p007,Normal,CAF_like,INHBA,0,0,23,195413.0
p007n,p007,Normal,CAF_like,KRT19,17,3,23,195413.0
p007n,p007,Normal,CAF_like,MMP2,25,5,23,195413.0
p007n,p007,Normal,CAF_like,MMP9,10,3,23,195413.0
p007n,p007,Normal,CAF_like,PDPN,0,0,23,195413.0
p007n,p007,Normal,CAF_like,PECAM1,8,4,23,195413.0
p007n,p007,Normal,CAF_like,POSTN,228,3,23,195413.0
p007n,p007,Normal,CAF_like,PTPRC,88,10,23,195413.0
p007n,p007,Normal,CAF_like,TAGLN,176,6,23,195413.0
p007n,p007,Normal,CAF_like,TGFB1,18,6,23,195413.0
p007n,p007,Normal,CAF_like,THY1,15,3,23,195413.0
p007n,p007,Normal,CAF_like,VWF,0,0,23,195413.0
p007n,p007,Normal,CAF_like,WNT2,0,0,23,195413.0
p007n,p007,Normal,CAF_like,WNT5A,3,2,23,195413.0
p007n,p007,Normal,Epithelial,ACTA2,11,11,837,3243414.0
p007n,p007,Normal,Epithelial,CLDN1,2,2,837,3243414.0
p007n,p007,Normal,Epithelial,CLDN2,0,0,837,3243414.0
p007n,p007,Normal,Epithelial,CLDN4,4903,749,837,3243414.0
p007n,p007,Normal,Epithelial,CLDN7,176,138,837,3243414.0
p007n,p007,Normal,Epithelial,COL1A1,24,20,837,3243414.0
p007n,p007,Normal,Epithelial,COL1A2,4,4,837,3243414.0
p007n,p007,Normal,Epithelial,COL3A1,2,2,837,3243414.0
p007n,p007,Normal,Epithelial,CXCL12,0,0,837,3243414.0
p007n,p007,Normal,Epithelial,EPCAM,2022,588,837,3243414.0
p007n,p007,Normal,Epithelial,FAP,0,0,837,3243414.0
p007n,p007,Normal,Epithelial,FN1,18,15,837,3243414.0
p007n,p007,Normal,Epithelial,INHBA,1,1,837,3243414.0
p007n,p007,Normal,Epithelial,KRT19,12434,691,837,3243414.0
p007n,p007,Normal,Epithelial,MMP2,1,1,837,3243414.0
p007n,p007,Normal,Epithelial,MMP9,1,1,837,3243414.0
p007n,p007,Normal,Epithelial,PDPN,0,0,837,3243414.0
p007n,p007,Normal,Epithelial,PECAM1,1,1,837,3243414.0
p007n,p007,Normal,Epithelial,POSTN,0,0,837,3243414.0
p007n,p007,Normal,Epithelial,PTPRC,10,10,837,3243414.0
p007n,p007,Normal,Epithelial,TAGLN,71,65,837,3243414.0
p007n,p007,Normal,Epithelial,TGFB1,24,20,837,3243414.0
p007n,p007,Normal,Epithelial,THY1,0,0,837,3243414.0
p007n,p007,Normal,Epithelial,VWF,1,1,837,3243414.0
p007n,p007,Normal,Epithelial,WNT2,1,1,837,3243414.0
p007n,p007,Normal,Epithelial,WNT5A,2,2,837,3243414.0
p007n,p007,Normal,Immune,ACTA2,3,3,344,2995196.0
p007n,p007,Normal,Immune,CLDN1,0,0,344,2995196.0
p007n,p007,Normal,Immune,CLDN2,0,0,344,2995196.0
p007n,p007,Normal,Immune,CLDN4,16,16,344,2995196.0
p007n,p007,Normal,Immune,CLDN7,0,0,344,2995196.0
p007n,p007,Normal,Immune,COL1A1,1,1,344,2995196.0
p007n,p007,Normal,Immune,COL1A2,0,0,344,2995196.0
p007n,p007,Normal,Immune,COL3A1,2,2,344,2995196.0
p007n,p007,Normal,Immune,CXCL12,0,0,344,2995196.0
p007n,p007,Normal,Immune,EPCAM,11,10,344,2995196.0
p007n,p007,Normal,Immune,FAP,1,1,344,2995196.0
p007n,p007,Normal,Immune,FN1,0,0,344,2995196.0
p007n,p007,Normal,Immune,INHBA,0,0,344,2995196.0
p007n,p007,Normal,Immune,KRT19,46,35,344,2995196.0
p007n,p007,Normal,Immune,MMP2,0,0,344,2995196.0
p007n,p007,Normal,Immune,MMP9,1,1,344,2995196.0
p007n,p007,Normal,Immune,PDPN,0,0,344,2995196.0
p007n,p007,Normal,Immune,PECAM1,80,55,344,2995196.0
p007n,p007,Normal,Immune,POSTN,0,0,344,2995196.0
p007n,p007,Normal,Immune,PTPRC,568,151,344,2995196.0
p007n,p007,Normal,Immune,TAGLN,10,10,344,2995196.0
p007n,p007,Normal,Immune,TGFB1,391,199,344,2995196.0
p007n,p007,Normal,Immune,THY1,0,0,344,2995196.0
p007n,p007,Normal,Immune,VWF,0,0,344,2995196.0
p007n,p007,Normal,Immune,WNT2,0,0,344,2995196.0
p007n,p007,Normal,Immune,WNT5A,5,3,344,2995196.0
p007n,p007,Normal,Vascular,ACTA2,0,0,4,20517.0
p007n,p007,Normal,Vascular,CLDN1,0,0,4,20517.0
p007n,p007,Normal,Vascular,CLDN2,0,0,4,20517.0
p007n,p007,Normal,Vascular,CLDN4,0,0,4,20517.0
p007n,p007,Normal,Vascular,CLDN7,0,0,4,20517.0
p007n,p007,Normal,Vascular,COL1A1,4,1,4,20517.0
