population,gene,n_cells,mean_log_normalized,median_log_normalized,positive_cells,positive_percent
epithelial_all,FAP,18539,0.015312084976197817,0.0,429,2.3140406710178545
epithelial_all,COL1A1,18539,0.07606784640367373,0.0,2530,13.646906521387345
epithelial_all,COL1A2,18539,0.05216914443409157,0.0,1737,9.36943740223313
epithelial_all,COL3A1,18539,0.05358663707531476,0.0,1780,9.601380872754733
epithelial_all,FN1,18539,0.10114656887281383,0.0,2340,12.62204002373375
epithelial_all,POSTN,18539,0.008123252416683456,0.0,340,1.8339716273801174
epithelial_all,ACTA2,18539,0.026024944685737437,0.0,1070,5.7716165920491935
epithelial_all,TAGLN,18539,0.05339169402737095,0.0,1796,9.687685419925563
epithelial_all,CXCL12,18539,0.010433407913823075,0.0,390,2.1036733372889587
epithelial_all,CCL2,18539,0.030946297719601258,0.0,1009,5.442580505960408
epithelial_all,CD74,18539,0.8783163485663988,0.5924465890976417,11953,64.47489077080749
epithelial_all,HLA-DRA,18539,0.48199383955200237,0.0,8046,43.40039915853067
epithelial_all,CLDN1,18539,0.1984257582869721,0.0,6525,35.19607314310373
epithelial_all,CLDN2,18539,0.10903507163755734,0.0,2969,16.01488753438697
epithelial_all,CLDN3,18539,2.4380739907559303,2.529354054936946,17544,94.63293597281407
epithelial_all,CLDN4,18539,2.550129881668654,2.6965591292940005,17358,93.62964561195318
epithelial_all,CLDN7,18539,1.3688768397811706,1.4427167846267193,16276,87.79330060952586
epithelial_all,CLDN18,18539,0.008247614573766143,0.0,193,1.0410486002481256
epithelial_all,OCLN,18539,0.27609394107738566,0.0,8515,45.93020119747559
epithelial_all,TJP1,18539,0.21496748105570224,0.0,7456,40.217918981606346
epithelial_all,CDH1,18539,0.6206317519153729,0.6205727888231289,13354,72.0319326824532
epithelial_all,EPCAM,18539,2.3546644968482235,2.4801077873175332,17445,94.09892658719457
epithelial_all,VIM,18539,0.1011996776316098,0.0,3345,18.04304439290145
epithelial_all,ZEB1,18539,0.0034427282138856556,0.0,148,0.7983170613301689
epithelial_all,SNAI1,18539,0.06105220106510259,0.0,2351,12.681374399913695
epithelial_all,SNAI2,18539,0.0016709690417861043,0.0,65,0.3506122228814931
epithelial_all,TWIST1,18539,0.0008073169304096552,0.0,33,0.17800312853983494
epithelial_tumor,FAP,17469,0.016155421348204857,0.0,427,2.444329955921919
epithelial_tumor,COL1A1,17469,0.07883480322333575,0.0,2480,14.196576793176485
epithelial_tumor,COL1A2,17469,0.05302312155156417,0.0,1671,9.565516057015284
epithelial_tumor,COL3A1,17469,0.05480465090119203,0.0,1725,9.87463506783445
epithelial_tumor,FN1,17469,0.10215709107778632,0.0,2231,12.771194687732553
epithelial_tumor,POSTN,17469,0.00829025055864388,0.0,331,1.894785047798958
epithelial_tumor,ACTA2,17469,0.02559104840537638,0.0,1015,5.8102925181750535
epithelial_tumor,TAGLN,17469,0.05374767790783712,0.0,1732,9.914706050718415
epithelial_tumor,CXCL12,17469,0.009641456013501415,0.0,356,2.037895700955979
epithelial_tumor,CCL2,17469,0.0226040149771593,0.0,800,4.579540901024672
epithelial_tumor,CD74,17469,0.9058924698690178,0.6264956028872186,11516,65.92249127025016
epithelial_tumor,HLA-DRA,17469,0.4999430816581733,0.0,7815,44.73639017688477
epithelial_tumor,CLDN1,17469,0.2101250981134171,0.0,6511,37.271738508214554
epithelial_tumor,CLDN2,17469,0.11571361801412074,0.0,2969,16.995821168927815
epithelial_tumor,CLDN3,17469,2.421745290517297,2.513281258726845,16547,94.72207911156907
epithelial_tumor,CLDN4,17469,2.551272861290288,2.694611329562557,16396,93.85769076650065
epithelial_tumor,CLDN7,17469,1.350394802190034,1.4266700182111418,15389,88.09319365733586
epithelial_tumor,CLDN18,17469,0.00875279217946365,0.0,193,1.104814242372202
epithelial_tumor,OCLN,17469,0.28045227115591903,0.0,8238,47.15782242830156
epithelial_tumor,TJP1,17469,0.21632965807453888,0.0,7196,41.19297040471693
epithelial_tumor,CDH1,17469,0.6312887636515578,0.6340705809018695,12885,73.75923063712862
