patient,class,cell_type,cell_subtype,n_cells
SMC01,Normal,B cells,CD19+CD20+ B,135
SMC01,Normal,B cells,IgA+ Plasma,633
SMC01,Normal,B cells,IgG+ Plasma,11
SMC01,Normal,B cells,Unknown,9
SMC01,Normal,Epithelial cells,Goblet cells,24
SMC01,Normal,Epithelial cells,Intermediate,33
SMC01,Normal,Epithelial cells,Mature Enterocytes type 1,4
SMC01,Normal,Epithelial cells,Mature Enterocytes type 2,8
SMC01,Normal,Epithelial cells,Stem-like/TA,90
SMC01,Normal,Mast cells,Mast cells,82
SMC01,Normal,Myeloids,Pro-inflammatory,9
SMC01,Normal,Myeloids,Proliferating,1
SMC01,Normal,Myeloids,SPP1+,35
SMC01,Normal,Myeloids,cDC,22
SMC01,Normal,Stromal cells,Enteric glial cells,54
SMC01,Normal,Stromal cells,Lymphatic ECs,11
SMC01,Normal,Stromal cells,Myofibroblasts,1
SMC01,Normal,Stromal cells,Pericytes,22
SMC01,Normal,Stromal cells,Smooth muscle cells,19
SMC01,Normal,Stromal cells,Stalk-like ECs,22
SMC01,Normal,Stromal cells,Stromal 1,146
SMC01,Normal,Stromal cells,Stromal 2,26
SMC01,Normal,Stromal cells,Stromal 3,81
SMC01,Normal,Stromal cells,Tip-like ECs,58
SMC01,Normal,T cells,CD4+ T cells,514
SMC01,Normal,T cells,CD8+ T cells,230
SMC01,Normal,T cells,NK cells,22
SMC01,Normal,T cells,Regulatory T cells,20
SMC01,Normal,T cells,T follicular helper cells,9
SMC01,Normal,T cells,T helper 17 cells,1
SMC01,Normal,T cells,Unknown,33
SMC01,Normal,T cells,gamma delta T cells,70
SMC01,Tumor,B cells,CD19+CD20+ B,64
SMC01,Tumor,B cells,IgA+ Plasma,7
SMC01,Tumor,B cells,IgG+ Plasma,56
SMC01,Tumor,B cells,Unknown,2
SMC01,Tumor,Epithelial cells,CMS1,3
SMC01,Tumor,Epithelial cells,CMS2,1004
SMC01,Tumor,Epithelial cells,CMS3,86
SMC01,Tumor,Myeloids,Pro-inflammatory,62
SMC01,Tumor,Myeloids,Proliferating,3
SMC01,Tumor,Myeloids,SPP1+,64
SMC01,Tumor,Myeloids,Unknown,33
SMC01,Tumor,Myeloids,cDC,9
SMC01,Tumor,Stromal cells,Lymphatic ECs,2
SMC01,Tumor,Stromal cells,Myofibroblasts,69
SMC01,Tumor,Stromal cells,Pericytes,19
SMC01,Tumor,Stromal cells,Proliferative ECs,3
SMC01,Tumor,Stromal cells,Stalk-like ECs,19
SMC01,Tumor,Stromal cells,Stromal 1,5
SMC01,Tumor,Stromal cells,Stromal 2,19
SMC01,Tumor,Stromal cells,Tip-like ECs,18
SMC01,Tumor,T cells,CD4+ T cells,150
SMC01,Tumor,T cells,CD8+ T cells,451
SMC01,Tumor,T cells,NK cells,55
SMC01,Tumor,T cells,Regulatory T cells,239
SMC01,Tumor,T cells,T follicular helper cells,50
SMC01,Tumor,T cells,T helper 17 cells,117
SMC01,Tumor,T cells,Unknown,165
SMC01,Tumor,T cells,gamma delta T cells,17
SMC02,Normal,B cells,CD19+CD20+ B,102
SMC02,Normal,B cells,IgA+ Plasma,381
SMC02,Normal,B cells,IgG+ Plasma,5
SMC02,Normal,B cells,Unknown,12
