patient,tumor_myofibroblasts,strict_fap_high_senders,strict_sender_fraction,tumor_epithelial_cells
SMC01,69,5,0.07246376811594203,1093
SMC02,42,6,0.14285714285714285,352
SMC03,78,11,0.14102564102564102,796
SMC04,32,1,0.03125,307
SMC05,5,0,0.0,13
SMC06,65,17,0.26153846153846155,189
SMC07,26,2,0.07692307692307693,542
SMC08,120,20,0.16666666666666666,320
SMC09,12,1,0.08333333333333333,1887
SMC10,64,12,0.1875,511
SMC11,9,0,0.0,326
SMC14,133,37,0.2781954887218045,166
SMC15,81,26,0.32098765432098764,319
SMC16,3,0,0.0,2720
SMC17,74,15,0.20270270270270271,505
SMC18,1,0,0.0,1516
SMC19,2,1,0.5,382
SMC20,299,122,0.4080267558528428,524
SMC21,2,0,0.0,1727
SMC22,1,0,0.0,1902
SMC23,5,3,0.6,639
SMC24,22,5,0.22727272727272727,317
SMC25,1,0,0.0,416
