patient,row,col,DefineTypes,FAP_fibroblasts,SPP1_macrophages,immune_score,epithelial_flag,nhood_FAP_fibroblasts,nhood_SPP1_macrophages,nhood_immune_score,nhood_epithelial_flag,habitat
P6,373.989854,432.0616454,MSC cells,0.272257873519941,0.154300977225459,0,0,0.226107966293567,0.223298141904267,0.0444142728370609,0,Epithelial/other
P6,66.07780536,211.50159884,Endothelial cells,0.258817276082602,0.0746529084454786,0,0,0.357772404140456,0.245355784670601,0,0,Epithelial/other
P6,431.76095004,120.12779632,MARCO_FAP,0.742136348306391,0.442942260952564,0.128972159206157,0,0.782318189947846,0.427035931426905,0.0665081657996187,0.285714285714286,FAP+CAF/SPP1+TAM
P6,138.62056096,402.81902164,Fibroblast cells,0.101699845578974,0.0976318517558152,0,0,0.161930497065126,0.182729441733987,0,0,Epithelial/other
P6,327.08137784,82.91674552,Fibroblast cells,0.146565451927161,0.281405667700149,0,0,0.180945515696448,0.242413337820205,0,0,Epithelial/other
P6,353.27946108,97.83875276,Malignant epithelial cells,0.156137283809051,0.275273298226793,0,1,0.481666293980403,0.426820146126949,0.0708339040362192,0.571428571428571,SPP1+TAM-dominant
P6,523.5857956,209.96053512,MARCO_FAP,1.22227554541523,0.516192883447252,0.065000525627883,0,1.15219789985237,0.49261894889912,0.0949659343451121,0,FAP+CAF/SPP1+TAM
P6,451.15580076,48.6750614,Unknown,0.646907505829206,0.170080107251877,0.0842711499766887,0,0.722539267371597,0.323452617787834,0.0862886940696301,0,FAP+CAF-dominant
P6,445.81845812,413.04266388,Malignant epithelial cells,0.108622300490069,0.299591458359434,0,1,0.371270076866527,0.326768229451513,0.00841411644241607,0.857142857142857,Epithelial/other
P6,341.4771682,481.03740216,Epitheial cells,0.137610395003349,0.299239095431801,0,0,0.128341136152391,0.208123473602835,0.0223027819821397,0,Epithelial/other
P6,400.41345876,514.64010864,MARCO_FAP,0.234907511435384,0.295925530348632,0,0,0.171769238891082,0.250915939523171,0,0.428571428571429,Epithelial/other
P6,320.76677528,154.2943066,Fibroblast cells,0.186765307334892,0.179294695041496,0,0,0.282128868242461,0.263985463972983,0.0379137757686902,0,Epithelial/other
P6,386.31836376,206.65288616,Malignant epithelial cells,0.210592759218204,0.200472718552291,0.0511250980137485,1,0.299484791944485,0.296362025727455,0.0150667753465662,0.857142857142857,Epithelial/other
P6,471.79101984,360.38338896,Myofibroblast cells,0.434504349890822,0.367906156510842,0,0,0.728646867857995,0.435216397179886,0.0333733070371123,0,FAP+CAF/SPP1+TAM
P6,287.99098104,120.57883936,Myofibroblast cells,0.245118550640918,0.352970712922921,0,0,0.311994881546757,0.29559064978697,0,0,Epithelial/other
