gene,logFC,logCPM,F,PValue,FDR
CX3CL1,2.56134199310198,2.17284172205809,37.6314382538103,2.0651742193176e-05,0.184012622038482
ABLIM1,1.33588360795607,5.2582553162583,31.6982743019434,4.96689891061252e-05,0.184012622038482
MUC4,4.17164604171535,5.24757587243711,30.163436747311,6.45227678690389e-05,0.184012622038482
RBP2,-6.52258712058854,3.7437098404854,24.6778303669185,8.61175941465072e-05,0.184012622038482
MALSU1,-1.2196319244208,5.96471485346299,26.6531762455806,0.000119347707768738,0.184012622038482
PLAT,3.77312258564957,2.45254734422469,25.9423227673036,0.00013718622849983,0.184012622038482
THY1,2.0388593013746,1.85808323465979,25.8303442177731,0.000142930785649948,0.184012622038482
IGFBP7,1.86703875667997,4.95579272750707,25.5687724943723,0.0001462581593433,0.184012622038482
ACE2,-3.72691178380071,3.37613538985464,25.3640928650417,0.000151579513701667,0.184012622038482
RP11-350J20.12,3.11315693228486,2.60533959628671,25.150530658462,0.000161896054876287,0.184012622038482
NAA20,-1.55199660926449,6.77755203214939,23.7773155040376,0.000207038553554706,0.184012622038482
PLA2G12B,-5.09025142466349,2.30427437760339,20.7252431628812,0.000211859475174472,0.184012622038482
AC090498.1,1.43158088827693,7.95992130034888,23.6461741540986,0.000212503453375837,0.184012622038482
POSTN,2.66821106236394,1.94818085818404,23.7060203588925,0.000214827686789759,0.184012622038482
FAM71D,1.52102836151583,1.13887860503831,22.9348027824139,0.000252723162339646,0.184012622038482
TRIM8,1.09272764538674,4.12810960246714,22.7037148041489,0.000257451610016016,0.184012622038482
PNPLA4,-1.51713069196093,5.30476621883147,22.3504202841612,0.000276761984807413,0.184012622038482
LINC00493,-1.2948817203378,7.63901199369592,22.3135906292313,0.000278684345655559,0.184012622038482
ASRGL1,2.29964513486645,4.56828634356748,22.0513408156058,0.000294738262676896,0.184012622038482
CMC1,-0.97003485547814,6.21620560198483,22.0080910691304,0.00029701012353883,0.184012622038482
GNA15,2.82042647689507,3.22335068901156,21.6932522093721,0.000320896260334513,0.186999692460653
PELI1,1.06855486122081,4.93577982340008,21.3868359713514,0.000338708149253719,0.186999692460653
PRUNE2,3.01131461712598,3.28958062719525,21.3110937497235,0.000348188268662338,0.186999692460653
COL6A3,2.13986754889896,2.1889037484427,20.7815281328582,0.000392574778874244,0.186999692460653
TXNDC5,1.49984137608435,1.2383220912681,20.8207732431639,0.000392813369053657,0.186999692460653
PET117,-1.54934058957966,4.64208521763601,20.4917550218076,0.00041134022312265,0.186999692460653
ACTA2,2.09769597575755,2.81099194943845,20.2209000727098,0.000440096458091816,0.186999692460653
BGN,2.25292463481464,2.69037164533766,19.8075248387074,0.000483355287152503,0.186999692460653
ARID3A,-1.95291603494839,4.66918625181919,19.6734497515396,0.000493321355289039,0.186999692460653
MPLKIP,-1.01412846992053,6.71318470541462,19.6315655551047,0.000496915383141015,0.186999692460653
MUC1,2.61096449071154,7.23747448115287,19.5912720041649,0.000501414280668842,0.186999692460653
LDLRAP1,1.04658950965374,3.79381356042038,19.5613136989326,0.000505591435331155,0.186999692460653
LMO4,1.25824032780209,4.86362103252024,19.5222921244403,0.000509479385865748,0.186999692460653
MMP23B,3.44454247588519,2.39874774340558,19.5473544911957,0.000513113513329206,0.186999692460653
CCZ1B,-2.38250634286916,4.07686974764813,19.330596289668,0.000535035507724687,0.189417856463331
LYZ,4.60702599263783,9.37069820177772,19.1673591164215,0.000551874054463568,0.189951983579391
FADS2,3.76891790400037,2.59038763678972,19.0493687977038,0.000572862691552659,0.191847070568351
LUM,2.23830373726973,3.89849909109555,18.8014187596363,0.000601785140391874,0.193361791216924
CNBD2,-1.38420748214924,3.61765042118324,18.6569650478173,0.000623150664263347,0.193361791216924
FSTL1,2.42223507787561,2.1733135862546,18.6943367103845,0.000625902972165029,0.193361791216924
SLC5A6,-1.71103598039237,4.69690232324799,18.531055585486,0.000639805781607124,0.193361791216924
NME6,-0.837695123405549,3.7434354879283,18.1307276343043,0.000703255921161392,0.203261572254831
COL12A1,1.91406954425537,1.46032525002687,18.1562387250786,0.000712151531747053,0.203261572254831
SPARC,1.90351667919539,4.41890001152692,18.0145196943636,0.000721774608926846,0.203261572254831
TMEM191B,1.42666879981895,4.36874433496018,17.8302108670705,0.000753820382493156,0.207568630210504
GABARAP,1.31681960231755,4.0580020495831,17.6554251417361,0.000786134930508779,0.211760824433354
NSDHL,-0.90797575293049,4.33199762409008,17.538477103765,0.000808497616834395,0.213150935536064
ADAM8,3.12837877465149,2.8955391478074,17.3654311323601,0.000853434350216937,0.220310521532043
IGF2,-8.44197349631625,7.59198147226101,16.9763189406605,0.000906600871639845,0.224252480415141
C16orf91,-0.759362384530343,4.96855657240207,17.0188374945768,0.000916202642186667,0.224252480415141
CORO1A,1.13041096627184,3.68503186379672,16.928878518478,0.000937644549047444,0.224252480415141
MAST4,1.66539503850314,4.23069320566877,16.9120199554422,0.000941096681590455,0.224252480415141
CAPN12,2.45438948575154,4.77892935935658,16.8275508999518,0.00096068449133506,0.224600783625146
ZDHHC4,-0.902904971496612,5.28555110009346,16.4549166809555,0.00105276876733826,0.228474100579976
MRPS23,-0.941646114216886,5.84592651228626,16.4229441374245,0.00106107739251771,0.228474100579976
