test_ligand,auroc,aupr,aupr_corrected,pearson,rank,sender_mean_count,sender_positive_percent,cellchat_direct_support
TGFB1,0.658551467243567,0.0354744250473046,0.0190406435199296,0.0869915123346212,1,1.26408450704225,57.7464788732394,FALSE
BMP4,0.582025262506064,0.0332225037350398,0.0167887222076649,0.0649312992124104,2,0.179577464788732,14.0845070422535,FALSE
IGF2,0.593653125035854,0.032622270289573,0.0161884887621981,0.0647323549429573,3,0.690140845070423,26.4084507042254,TRUE
MMP14,0.580674507765286,0.0297230354360929,0.0132892539087179,0.0603686350541408,4,7.38732394366197,94.7183098591549,FALSE
RECK,0.584212653805403,0.030481596618784,0.014047815091409,0.0592594141542253,5,0.232394366197183,18.6619718309859,FALSE
VEGFA,0.591936371663475,0.0295092332336864,0.0130754517063114,0.0561158988599906,6,0.450704225352113,25.3521126760563,FALSE
THBS1,0.554667103698963,0.0271308276169618,0.0106970460895868,0.0554194293440324,7,1.72535211267606,53.169014084507,TRUE
TNFSF11,0.589328989767314,0.0290162333803826,0.0125824518530076,0.0534799565349486,8,0.552816901408451,26.7605633802817,FALSE
TIMP2,0.555071804535699,0.0278149897557988,0.0113812082284238,0.0532587605864865,9,5.97535211267606,94.3661971830986,FALSE
IL1B,0.586806179356515,0.0329975202801991,0.0165637387528241,0.0525655551618826,10,0.711267605633803,26.4084507042254,FALSE
VCAM1,0.569443701192195,0.0290905367209404,0.0126567551935654,0.0515102269826814,11,1.34507042253521,50.7042253521127,FALSE
ANG,0.587524798079597,0.0292886466438006,0.0128548651164256,0.0496324958487777,12,0.193661971830986,15.1408450704225,FALSE
JAM2,0.600686892470918,0.0268116011154785,0.0103778195881036,0.0484957358960207,13,0.211267605633803,15.4929577464789,FALSE
INHBA,0.568517715098246,0.0272339254371568,0.0108001439097818,0.0476414772349435,14,5.54577464788732,84.8591549295775,FALSE
THBS2,0.557874608677713,0.0272904032827846,0.0108566217554096,0.0467917405115808,15,8.16197183098592,90.8450704225352,TRUE
CD9,0.560497758138904,0.0271544737837408,0.0107206922563658,0.0447386119486348,16,2.96478873239437,66.1971830985916,FALSE
CD55,0.575713458429045,0.0252795932702899,0.00884581174291489,0.0442329877611545,17,2.72887323943662,72.887323943662,FALSE
CD47,0.558857453566923,0.024863597984598,0.00842981645722302,0.0431196139614591,18,1.01408450704225,54.9295774647887,FALSE
JAM3,0.590538314227489,0.0264200671113119,0.00998628558393695,0.0427884290925232,19,0.299295774647887,25,TRUE
SEMA4C,0.589276909022098,0.0257069039700001,0.00927312244262507,0.0424735905985987,20,0.147887323943662,13.3802816901408,FALSE
COPA,0.562006188530382,0.0283362983993347,0.0119025168719597,0.0423366854207107,21,0.767605633802817,47.887323943662,FALSE
MPDZ,0.597133934475729,0.0255982303456311,0.0091644488182561,0.0422273870443864,22,0.172535211267606,14.0845070422535,FALSE
COL4A1,0.572809359626634,0.0354402279385075,0.0190064464111325,0.042091064832399,23,1.9612676056338,50.7042253521127,TRUE
CXCL12,0.59504258198175,0.0270550483400272,0.0106212668126522,0.0420790946294838,24,1.93661971830986,43.3098591549296,FALSE
RSPO3,0.579987424172342,0.0265424940372893,0.0101087125099143,0.041969561754301,25,0.355633802816901,20.0704225352113,FALSE
SPINT1,0.571924942567831,0.0301853545314863,0.0137515730041113,0.0415642805647416,26,0.137323943661972,11.9718309859155,FALSE
EDIL3,0.587961511851473,0.0253146312475178,0.00888084972014276,0.0413848453861176,27,0.524647887323944,32.7464788732394,FALSE
CALM3,0.578095794169236,0.0265681932926059,0.0101344117652309,0.0412719199804366,28,1.47535211267606,64.4366197183099,FALSE
IL6,0.571587134431393,0.0253129130855673,0.00887913155819228,0.0405221134440883,29,1.19014084507042,21.4788732394366,FALSE
CLDN3,0.591117413889963,0.0257815730352625,0.00934779150788752,0.040436394588597,30,0.823943661971831,42.6056338028169,FALSE
COL1A1,0.577806722143002,0.028166281468851,0.011732499941476,0.0403443833430335,31,161.919014084507,100,TRUE
RARRES1,0.588318432187992,0.0274749271016949,0.0110411455743199,0.0397284916551469,32,1.13028169014085,35.2112676056338,FALSE
CDCP1,0.586851093026713,0.0251397783056877,0.00870599677831274,0.039285888625736,33,0.169014084507042,15.1408450704225,FALSE
CFH,0.584076001574849,0.0248797418685545,0.00844596034117947,0.0391220172027591,34,1.98239436619718,68.6619718309859,FALSE
LIN7B,0.587600769074902,0.0257404557649003,0.00930667423752529,0.0390537419362929,35,0.116197183098592,10.2112676056338,FALSE
IFITM1,0.588525799558873,0.0243556848690592,0.00792190334168417,0.039035911860369,36,1.49295774647887,55.6338028169014,FALSE
ANXA1,0.578915707552755,0.0255441373256849,0.0091103557983099,0.0390210703888933,37,4.79225352112676,84.1549295774648,FALSE
COL3A1,0.586216567983976,0.0250243487424749,0.00859056721509988,0.0382084948740181,38,126.133802816901,100,TRUE
GPI,0.553697159544821,0.0241606692757193,0.00772688774834432,0.0379873168202953,39,0.577464788732394,36.9718309859155,FALSE
FGF1,0.571969378433022,0.0264566606303541,0.0100228791029792,0.0377889283743798,40,0.140845070422535,10.9154929577465,FALSE
CSF1,0.584852434703157,0.0260992542412938,0.00966547271391883,0.0375928150037228,41,0.285211267605634,21.1267605633803,FALSE
GLG1,0.567673433659632,0.0239963062112345,0.00756252468385949,0.0371741482304745,42,1.15140845070423,57.3943661971831,FALSE
PAPLN,0.569394965081996,0.0236162959397336,0.00718251441235861,0.0368209916969261,43,0.109154929577465,10.5633802816901,FALSE
CXCL5,0.57575311624421,0.0246749273715895,0.00824114584421451,0.0367526565848488,44,1.77816901408451,24.2957746478873,FALSE
TNC,0.575699124278992,0.0245503170304783,0.00811653550310326,0.0365279012983495,45,2.01056338028169,43.3098591549296,TRUE
CFD,0.584049244494714,0.0251516841760943,0.00871790264871936,0.036351375139713,46,0.334507042253521,14.7887323943662,FALSE
HSPG2,0.582088810571307,0.0251695694118592,0.00873578788448425,0.0363370360426217,47,1.52464788732394,65.8450704225352,TRUE
UXS1,0.573258496328539,0.0243031119567163,0.00786933042934132,0.0361887373547894,48,0.383802816901408,26.7605633802817,FALSE
BMP2,0.565699143391186,0.0254439943035177,0.00901021277614273,0.0361638115950665,49,0.274647887323944,17.9577464788732,FALSE
