source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,sample_id,patient_id,replicate,sender_spots,receiver_spots,prespecified_direction
Fibroblastic_stroma,Fibroblastic_stroma,FN1,CD44,0.0827946948466408,0.01,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Tumor_stroma,Fibroblastic_stroma,FN1,CD44,0.065358604779093,0.01,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Fibroblastic_stroma,Tumor,FN1,CD44,0.0635698262482099,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,TRUE
Tumor_stroma,Tumor,FN1,CD44,0.0807680332355536,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Fibroblastic_stroma,Tumor_stroma,FN1,CD44,0.0752880088066059,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Tumor_stroma,Tumor_stroma,FN1,CD44,0.0828603507037838,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Fibroblastic_stroma,Fibroblastic_stroma,COL1A1,CD44,0.159129601657406,0.01,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Tumor_stroma,Fibroblastic_stroma,COL1A1,CD44,0.128931817665654,0.03,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Fibroblastic_stroma,Tumor,COL1A1,CD44,0.12167811731521,0,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,TRUE
Tumor_stroma,Tumor,COL1A1,CD44,0.15868628739476,0,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Fibroblastic_stroma,Tumor_stroma,COL1A1,CD44,0.143766112344494,0,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Tumor_stroma,Tumor_stroma,COL1A1,CD44,0.162417354729387,0,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Fibroblastic_stroma,Fibroblastic_stroma,COL1A2,CD44,0.172228635588245,0,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Tumor_stroma,Fibroblastic_stroma,COL1A2,CD44,0.12932377547521,0.4,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,FALSE
Fibroblastic_stroma,Tumor,COL1A2,CD44,0.131601534958863,0,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A121573_Rep1,A121573,Rep1,249,337,TRUE
